CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007	 2006
Nợ phải trả ###Liabilities	134669	67084	81140	81140	90520	121854	104781	136622	137457	131142	162162	149027	154399	154399	217034	273600	315682	355088	355088	380491	389457	400589	422427	422649	423571	433796	444951	476213	495157	465451	460652	464247	453716	453741	399681	404205	395994	405311	405571	371553	363769	340288	357756	358095	293550	256179	250910	250910	191421	191421	149123	149123	84927	84927	104686
Nợ ngắn hạn###Short term Liabilities	132469	63509	78390	77290	86395	118554	100106	131672	132507	125917	156662	149027	154399	154399	217034	273600	315682	355088	355088	380491	389457	400589	422427	422649	423571	433796	444951	283147	283237	275953	272022	279903	274819	274843	236444	244045	395294	311196	405311	371309	338265	338369	338059	355885	290952	252903	247340	247340	180333	180333	138808	138808	66080	66080	89955
Nợ dài hạn###Long term Liabilities	2200	3575	2750	3850	4125	3300	4675	4950	4950	5225	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193066	211920	189499	188630	184344	178897	178897	163237	160161	700	94115	261	244	25504	1919	19697	2211	2598	3276	3569	3569	11087	11087	10315	10315	18847	18847	14731
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	329924	390113	382884	382884	368355	341443	336283	320079	320091	292665	266055	151353	144985	144985	132104	114673	99556	90154	90154	81181	74903	69617	67904	66456	61714	54513	52712	50988	50991	42884	38920	34470	36570	36570	35599	34834	34018	33567	33352	35075	34232	33296	32710	32731	35040	34374	33925	33925	32784	32784	32114	32114	33657	33657	9132
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	329924	390113	382884	382884	368355	341443	336283	320079	320091	292665	266055	151353	144985	144985	132104	114673	99556	90154	90154	81181	74903	69617	67904	66456	61714	54513	52712	50988	50991	42884	38920	34470	36570	36570	35599	34834	34018	33567	33352	35075	34232	33296	32710	32731	35040	34374	33925	33925	32784	32784	32114	32114	33657	33657	9132
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499572	498717	490286	490311	435280	439039	430012	438877	438923	406628	398001	373583	390466	390826	328590	0	284834	0	224205	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q3 2010	Q1 2010	 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	20281	29377	256881	81894	57266	67572	50149	258138	83950	76226	65632	35829	335762	112121	81960	68579	73103	230880	85392	58489	52572	30367	639870	58810	34059	41647	35580	215292	85315	43686	44870	41420	167630	61256	39327	44993	22054	168190	65694	36676	40582	25495	122696	40245	20567	41272	20611	125076	82451	20628	100341	83341	95915	37048
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	20281	29377	256881	81894	57266	67572	50149	258138	83950	76226	65632	35829	335762	112121	81960	68579	73103	226820	85392	58489	52572	30367	639870	58810	34059	41647	35580	215292	85315	43686	44870	41420	167630	61256	39327	44993	22054	168190	65694	36676	40582	25495	122696	40245	20567	41272	20611	125076	82451	20628	100341	83341	95915	37048
Giá vốn hàng bán###Cost of goods sold	10856	20061	130432	43838	27049	35032	24513	114136	38190	34705	27455	17284	216683	73988	49259	42750	53311	175814	63369	46742	39744	25509	598764	40755	25218	32868	30149	182055	68788	33564	40552	39150	159354	58542	37563	43055	21180	159942	63390	34342	38290	24119	113641	38501	19304	37529	18308	115433	75141	18765	91717	73295	85349	32839
Lợi nhuận gộp###Gross profit	9426	9316	126449	38056	30217	32540	25636	144002	45760	41521	38177	18545	119079	38133	32701	25828	19792	51006	22023	11747	12829	4858	41106	18055	8841	8779	5431	33237	16528	10121	4319	2270	8276	2715	1763	1938	875	8248	2304	2334	2292	1376	9055	1745	1263	3743	2303	9644	7310	1864	8624	10046	10566	4209
Doanh thu hoạt động tài chính###Financial activities Revenues	4156	5006	17184	4670	5557	5926	1032	369	302	12	45	10	11	2	2	3	3	26	2	6	4	13	2211	11	2185	6	9	35	13	7	5	10	162	10	14	25	112	692	42	35	75	541	755	271	364	53	68	502	484	202	105	40	18	18
Chi phí tài chính###Financial Expenses	95	115	826	334	185	188	119	730	108	111	105	406	2780	458	576	862	884	2610	750	692	587	581	4483	811	1159	1191	1322	1993	600	390	565	438	497	345	143	9	0	72	0	9	30	33	1159	0	106	478	575	3066	1159	734	3882	6780	4951	2344
Chi phí bán hàng###Selling Expenses	2919	2468	29374	9002	6846	8446	5080	23554	11525	6635	3937	1458	21120	9400	4666	4282	2771	5833	2620	1231	1274	709	4309	1983	838	911	578	2951	1473	466	650	362	999	325	250	232	191	659	194	173	149	143	513	139	159	91	125	527	375	149	381	347	211	156
Chi phí quản lý doanh nghiệp###Managing Expenses	2022	2004	13590	5221	4706	2281	1382	7543	2736	1652	1795	1391	15000	2995	5657	1799	1922	8517	4113	2007	1528	1320	8469	3326	1515	2148	1480	4097	1654	868	751	823	2599	307	364	565	377	3894	950	1063	939	1004	4272	1102	754	844	1072	3366	2670	589	2518	1373	1514	1403
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	8547	9734	99843	28169	24037	27551	20087	112545	31693	33136	32386	15300	80191	25281	21804	18888	14218	34072	14542	7823	9444	2262	26055	11947	7514	4535	2060	24231	12814	8405	2356	656	4344	1748	1020	1157	419	4315	1202	1124	1249	736	3866	775	608	2383	599	3188	3591	593	1948	1586	3908	324
Thu nhập khác###Other incomes	338	0	168	0	0	168	0	269	191	136	0	0	0	0	0	0	0	2288	0	23	0	20	150	0	0	0	150	0	0	0	0	0	183	0	0	0	183	892	0	0	391	45	6	0	0	0	0	1713	0	1273	1677	65	88	8
Chi phí khác###Other Expenses	3	100	6	0	0	5	0	249	58	8	241	0	0	0	0	0	0	2557	0	0	312	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	391	0	0	0	0	0	0	880	0	880	1628	165	99	0
Lợi nhuận khác###Other profits	335	-100	162	0	0	163	0	20	132	128	-241	0	0	0	0	0	0	-269	0	23	-312	20	119	0	0	0	150	0	0	0	0	0	183	0	0	0	183	301	0	0	0	45	6	0	0	0	0	833	0	393	49	-100	-11	8
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8882	9634	100005	28169	24036	27713	20087	112565	31825	33264	32145	15300	80191	25281	21804	18888	14218	33802	14542	7846	9132	2282	26174	11947	7514	4535	2210	24231	12814	8405	2356	656	4526	1748	1020	1157	601	4616	1202	1124	1249	781	3871	775	608	2383	599	4020	3591	985	1996	1486	3896	332
Chi phí thuế TNDN###Corporate Income Tax Expenses	1870	1875	20030	5642	4827	5510	4051	22563	6365	6654	6477	3060	17180	6099	4373	3771	2936	6856	2874	1568	1845	569	5765	2628	1642	1010	486	5331	2816	1849	499	164	1132	437	255	0	0	808	0	0	0	195	677	0	152	596	150	503	125	123	175	192	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1723	1796	11963	4060	2373	4685	845	30944	7134	7613	14862	1328	13749	2553	2672	2444	2936	8162	2874	1568	1334	569	5569	2628	1642	1010	486	4251	2816	1849	300	164	1326	437	255	289	150	808	-26	281	312	195	677	0	152	596	150	503	898	123	175	192	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	148	80	8067	1582	2454	825	3206	-8381	-769	-959	-8385	1732	3431	3546	1701	1327	0	-1305	0	0	512	0	196	0	0	0	0	1080	0	0	199	0	-195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	7014	7803	80108	22556	19216	22299	16037	90070	25460	26609	25668	19182	63011	0	0	0	0	26946	11668	6278	7287	1713	20409	9318	5872	3525	1724	18900	9998	6556	1858	492	3395	1311	765	868	451	3808	1228	843	937	586	3194	775	456	1788	449	3518	2693	862	1822	1293	3896	332
---Cac Chi So Tai Chinh---																																																						
EBITDA	0.71	0.49	0.06	0.06	1.08	0.98	1.21	1.11	1.11	1.02	1.11	0.32	0.39	0.39	0.14	0.25	0.37	1.09	1.09	0.81	0.10	0.01	0.31	0.31	0.08	-0.09	-0.33	-0.37	-0.37	-0.08	0.16	0.88	-0.65	-0.65	-0.54	-0.18	-0.27	0.12	0.12	0.12	0.12	0.39	0.21	0.21	24.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	54.00	41.25	55.83	55.83	47.17	36.52	28.93	24.12	24.12	31.61	24.54	43.71	30.55	30.55	31.80	20.43	15.62	12.53	12.53	11.51	15.26	6.68	5.64	5.64	8.49	5.01	5.27	3.80	3.80	1.37	1.20	1.48	0.80	0.80	0.69	0.70	0.96	0.63	0.63	0.65	1.16	0.83	0.94	0.94	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
