CAN DOI KE TOAN	 2018	 2017	 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	 2012	 2011	 2010
Doanh thu thuần###Net Sales	646634	558106	528743	242100	92273	496074	48154	165196	197803	84921	673692	254387	183062	172224	84322	476460	444580	394575	325109
Giá vốn hàng bán###Cost of goods sold	465756	405080	382166	177251	66765	344055	15404	118769	149843	60040	483170	164425	133954	127245	57565	355736	330972	295116	239583
Lợi nhuận gộp###Gross profit	180878	153026	146577	64849	25508	152019	32750	46428	47960	24880	190522	89962	49108	44979	26756	120725	113608	99459	85526
Doanh thu hoạt động tài chính###Financial activities Revenues	1271	37	114	15	57	466	412	31	14	9	365	194	15	19	136	699	5615	5938	1195
Chi phí tài chính###Financial Expenses	6075	7923	6548	2815	1064	3986	755	649	1263	1319	5307	1236	570	1603	1898	13309	18296	20201	14608
Chi phí bán hàng###Selling Expenses	107200	86658	80470	32606	15579	74045	9853	21344	25905	16942	65894	10490	27850	28309	19325	65138	70359	56987	42299
Chi phí quản lý doanh nghiệp###Managing Expenses	25069	23875	24869	8342	4547	20341	4791	6024	5826	3700	13521	4241	2894	3189	3401	14393	15515	16950	13303
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	43806	34607	34805	21100	4375	54113	17763	18442	14980	2928	106165	74189	17809	11898	2268	28584	15053	11260	16511
Thu nhập khác###Other incomes	582	1984	1443	447	251	2652	788	298	1509	58	2317	824	695	625	462	2440	4374	8911	1029
Chi phí khác###Other Expenses	501	1476	1548	277	381	1271	306	766	196	4	731	552	116	305	46	11523	376	1337	535
Lợi nhuận khác###Other profits	81	508	-105	171	-130	1381	483	-468	1313	53	1586	272	578	320	416	-9083	3998	7574	493
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	43886	35115	34699	21271	4246	55494	18246	17974	16293	2981	107751	74461	18388	12218	2684	19500	19052	18834	17004
Chi phí thuế TNDN###Corporate Income Tax Expenses	8925	7226	7534	4699	934	12285	4342	3954	3322	666	23814	16457	4079	2688	590	7302	3178	5244	4309
Chi phí thuế TNDN###Corporate Income Tax Expenses	8820	7331	7534	4699	934	12285	4342	3954	3322	666	23814	16393	4079	2752	590	7730	3178	5244	4309
Chi phí thuế TNDN###Corporate Income Tax Expenses	105	-105	0	0	0	0	0	0	0	0	0	64	0	-64	0	-427	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	34961	27889	27165	16571	3312	43209	13904	14019	12971	2315	83937	58004	14309	9530	2094	12198	15874	13590	12696
---Cac Chi So Tai Chinh---																			
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	96.70	61.57	50.52	46.54	39.47	28.24	28.24	25.94	11.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
