CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q3 2012	 2011	 2010	 2009
Chi phí tài chính###Financial Expenses	99	2511	1512	334	366	216	596	2283	453	442	464	925	2026	590	397	318	720	2144	771	625	411	337	1454	506	361	231	356	2959	325	369	1429	836	4498	916	843	801	1938	5996	1173	6303	2984	1714
Chi phí bán hàng###Selling Expenses	2208	2137	6085	-932	1970	3454	1593	4730	-382	1107	2753	1253	4513	-498	913	3050	1048	4512	-923	865	3250	1320	6412	-1233	1264	4581	1764	5220	-1096	1515	4161	640	4991	72	872	3119	929	3130	1246	1216	744	551
Chi phí quản lý doanh nghiệp###Managing Expenses	3624	4040	15300	3413	3953	4022	3913	13058	2935	2988	4507	2626	12854	2903	2878	3846	3227	13191	3065	2843	4522	2760	12390	3854	1569	3425	3722	10049	2476	2166	3551	1856	9809	1666	1845	2693	3606	9045	1350	5903	5380	4295
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3909	5074	12403	882	3399	3376	4746	12189	1214	1655	4475	4845	14744	587	4087	6281	3789	15887	327	5329	6058	4173	20830	3271	4962	9346	5567	19550	4394	2646	6115	6395	20830	4836	1817	7141	7037	12689	866	16482	8477	5207
Thu nhập khác###Other incomes	1137	291	3368	1656	55	1610	48	9540	8493	906	84	56	388	104	79	137	68	465	155	148	23	139	39557	39294	243	106	40	761	1465	228	335	161	347	73	226	22	26	783	507	304	68	34
Chi phí khác###Other Expenses	0	48	663	636	0	10	17	1082	1082	0	0	0	20	0	0	20	0	0	0	0	0	0	102	126	102	0	0	349	1391	143	37	206	25	0	25	0	0	274	471	78	3	0
Lợi nhuận khác###Other profits	1137	243	2705	1020	55	1599	31	8458	7411	906	84	56	368	104	79	117	68	465	155	148	23	139	39455	39168	141	106	40	412	74	85	298	-45	323	73	202	22	26	509	36	226	65	34
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5046	5317	15108	1902	3454	4975	4777	20647	8625	2561	4559	4901	15112	691	4166	6398	3857	16352	482	5477	6081	4313	60284	42439	5103	9452	5607	19963	4468	2731	6414	6351	21152	4909	2019	7163	7062	13198	902	16708	8542	5240
Chi phí thuế TNDN###Corporate Income Tax Expenses	1009	1063	3022	380	691	995	955	4129	1725	512	912	980	3022	138	833	1280	771	3270	96	1095	1216	863	14544	10492	708	2101	1246	4375	1097	429	1472	1376	5018	1285	495	1801	0	-926	0	2924	2136	917
Chi phí thuế TNDN###Corporate Income Tax Expenses	1009	1063	3022	380	691	995	955	4129	1725	512	912	980	3022	138	833	1280	771	3270	96	1095	1216	863	3942	642	510	1814	979	3924	1105	427	1565	826	4493	1315	404	1664	1110	10653	158	2924	2136	917
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10602	9850	198	287	267	451	-8	2	-92	550	526	-30	91	136	328	-11579	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4037	4254	12087	1522	2763	3980	3821	16517	6900	2049	3647	3921	12090	553	3333	5118	3085	13082	385	4381	4865	3450	45740	31947	4395	7351	4361	15685	3371	2301	4941	4975	16134	3624	1524	5362	5624	14124	744	13784	6407	4323
---Cac Chi So Tai Chinh---																																										
EBITDA	0.42	0.79	-0.07	-0.07	-0.14	-0.07	-0.14	-0.08	-0.08	-0.06	-0.01	0.24	0.13	0.13	-0.01	0.46	0.70	1.22	1.22	1.47	0.63	0.69	0.35	0.35	0.44	0.59	1.01	1.03	1.03	1.08	1.15	0.43	0.61	0.61	0.49	0.43	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.20	9.30	7.35	7.35	8.42	8.86	8.44	8.87	8.87	8.62	9.51	8.88	8.80	8.80	8.35	7.31	6.53	6.88	6.88	6.55	7.55	9.29	6.34	6.34	5.90	5.46	5.32	4.67	4.67	4.99	4.29	5.43	3.86	3.86	3.44	3.76	4.64	0.00	0.00	0.00	0.00	0.00
