CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	Q1 2009	 2008	Q4 2008	 2007	Q4 2007	 2006
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-7859	-7600	-7344	-7344	-7102	-6861	-6612	-6364	-6364	-6127	-5890	-5654	-5420	-5420	-5186	-4947	-4735	-4572	-4572	-4409	-4246	-4082	-3919	-3919	-3756	-3593	-3430	-3267	-3267	-3104	-2947	-2720	-2646	-2646	-2572	-2499	-2429	-2361	-2361	-2295	-2229	-2163	-2097	-2097	-2032	-46	-1900	-1834	-1834	-278	-1555	-1555	-278	-1343	-1343	-1110	-1110	-1199
Lợi thế thương mại	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2473	2664	2854	3044	0	3234	3425	3615	0	0	0	0	0	0	0	0	0	5	10	20	15	20	30	35	40	40	0	61	61	0	61	81	0	0	0
Bất động sản đầu tư ###Real Estate Investment	7013	7292	7570	7570	7849	8127	8405	8701	8701	9015	9329	9642	9956	9705	9812	10108	10339	10531	10531	10812	11093	11452	11812	11812	11887	12235	12583	12931	12931	13280	13628	13976	13850	13850	14176	14501	14826	15174	15174	15567	15960	16353	16746	16746	17139	17532	17925	18318	18318	0	17013	17013	0	18000	18000	18986	18986	12581
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	160800	75800	800	800	10589	10589	9989	9789	9789	9898	9898	9098	9098	129163	31796	17990	24263	52363	52374	53327	44916	44916	44916	44916	45675	45675	46393	51089	51089	54075	66223	99656	99656	99676	100054	100054	100054	143611	145375	85203	84803	84403	84084	84084	83684	174602	83284	83299	83299	0	54137	54137	0	14786	14786	7160	7160	2160
Tài sản dài hạn khác###Other long term assets	20546	21081	21307	23022	27499	30202	32675	33398	33513	13543	14357	15424	13699	13448	12690	9690	6951	6176	7145	6118	2510	2973	2166	2770	3221	2643	3243	2799	2502	1735	1365	1820	2095	2053	1569	1761	1071	1035	1744	13075	13016	14702	15536	13489	13993	11670	13916	13372	13372	3746	14477	14477	3746	14642	14642	5601	5601	4617
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	814218	894866	902276	915430	880489	889557	939567	1024328	1023290	966949	844077	802662	787396	788268	832184	906539	834184	760043	759988	670985	605885	591582	590394	592869	590619	656325	629699	628258	628385	628550	622416	610510	605227	606094	604849	600173	616032	629349	632843	611777	605574	614214	605116	603069	618885	603008	577533	577179	577179	436851	443539	443539	436851	335075	335075	351966	351966	225897
Nợ phải trả ###Liabilities	169262	210978	217079	216497	225517	239473	263522	353473	345530	310459	285503	269059	263615	264710	313249	398799	345252	284554	284862	196170	144842	118468	125258	125201	123335	128443	95826	98792	99002	91341	97105	82216	85204	85409	81576	81703	86400	104303	106484	88916	91954	98886	100285	107365	97132	82759	86355	81252	81252	314243	124894	124894	314243	93162	93162	114488	114488	137012
Nợ ngắn hạn###Short term Liabilities	142690	162653	169085	167753	176619	190722	215127	281193	273987	238947	198339	177367	174931	173198	221975	271795	221170	136345	136604	67161	32347	20500	27551	27459	33967	46488	17105	20157	20366	15667	21622	20784	24134	24338	19079	19454	24135	38563	38978	26876	30849	38194	40967	48047	38930	26174	30224	31694	31694	186955	56759	56759	186955	46111	46111	69855	69855	107861
Nợ dài hạn###Long term Liabilities	26572	48324	47994	48744	48899	48752	48396	72280	71543	71511	87164	91692	88684	91512	91274	127003	124083	148209	148259	129008	112495	97968	97707	97742	89369	81955	78720	78636	78636	75673	75483	61432	61070	61070	62497	62249	62265	65740	67506	62040	61104	60692	59318	59318	58201	56585	56132	49559	49559	127289	68135	68135	127289	47051	47051	44633	44633	29151
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	644957	683888	685197	698933	654971	650083	676045	670855	677760	656490	558574	533603	523782	523558	518935	507740	488931	475489	475126	474815	461043	473114	465136	467668	467283	527882	533873	519408	529383	537209	525311	528294	509494	509857	513354	509034	520072	525046	517950	512132	504704	507442	504831	489652	515056	520249	483920	495927	490052	121027	315079	315079	121027	238841	238841	233317	233317	86682
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	644957	683888	685197	698933	654971	650083	676045	670855	677760	656490	558574	533603	523782	523558	518935	507740	488931	475489	475126	474815	461043	473114	465136	467668	467283	527882	533873	519408	529383	537209	525311	528294	509494	509857	513354	509034	520072	525046	517950	512132	504704	507442	504831	489652	515056	520249	483920	495927	490052	121027	315079	315079	121027	238841	238841	233317	233317	86682
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10643	10058	10058	9837	8913	12062	10529	10829	9919	9436	9560	8388	8410	10728	8916	7886	6050	6052	6697	0	7257	5875	5875	1000	3566	3566	1000	3073	3073	4162	4162	2203
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622416	610510	605227	606094	604849	600173	616032	629349	632843	611777	605574	614214	605116	603069	618885	0	577533	577179	577179	0	443539	443539	0	335075	335075	351966	351966	225897



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	12365	21162	184692	42316	52991	42685	46856	358701	121426	67713	83605	85842	433533	84908	102474	137252	108899	147591	58686	29777	30282	28846	240012	26207	159460	28977	25368	209103	31808	36379	110812	30104	107931	22483	28101	31377	25969	115377	20337	31121	32380	31539	145300	22671	36842	60166	25622	122545	29510	41845	19696	80909	114122	166857	224066
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	7	0	0	7	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	-221	221	1150	249	245	249	407	1105	348	218	236	304	1029	231	234	227	337	903	232	226	211	235	2966	163	117	158	1007	533	20740	673
Doanh thu thuần###Net Sales	12365	21162	184684	42316	52991	42677	46856	358695	121426	67713	83605	85835	433533	84908	102474	137252	108899	147591	58686	29777	30282	28846	240012	26207	159460	29198	25147	207954	31559	36135	110563	29697	106825	22135	27884	31141	25665	114348	20106	30887	32152	31203	144397	22440	36616	59955	25386	119579	29348	41728	19537	79903	113589	146116	223393
Giá vốn hàng bán###Cost of goods sold	9862	12173	49645	-16957	23879	18271	24448	205035	53830	36197	45787	50105	253849	48454	59920	80507	64786	77512	38253	14047	12366	12683	128182	16131	88134	12203	11745	106982	13650	14381	66648	11880	46830	11148	12204	12336	11021	41199	9186	10483	9679	11844	50624	10435	11563	17603	9157	37992	7380	7182	6437	22826	26963	47100	128947
Lợi nhuận gộp###Gross profit	2503	8989	135040	59273	29113	24406	22409	153660	67597	31516	37818	35730	179685	36454	42554	56745	44113	70079	20433	15729	17916	16164	111830	10076	71326	16995	13401	100972	17909	21754	43915	17817	59995	10987	15680	18805	14645	73149	10920	20404	22473	19359	93774	12005	25053	42352	16229	81587	21968	34545	13101	57076	86626	99017	94446
Doanh thu hoạt động tài chính###Financial activities Revenues	3481	1855	21606	9445	3533	5447	3182	55290	5891	4439	38861	3280	38996	4012	4591	25981	1732	9805	2340	2364	2350	2819	10321	2576	2013	4023	1739	9595	3752	2077	2009	1758	9035	2123	2078	2423	2302	14140	2525	3443	3682	4481	21468	4703	6439	5777	5620	2970	598	1433	264	3304	5192	2072	904
Chi phí tài chính###Financial Expenses	2127	2212	36962	15680	8685	6349	7588	46126	3500	9714	24176	474	1064	-2120	457	109	0	0	19	11	72	4	1476	788	0	718	0	16941	2986	0	13956	0	397	378	1	0	0	2117	351	0	1	0	110	4	83	23	0	26	14	0	0	0	300	1103	18431
Chi phí bán hàng###Selling Expenses	921	2249	11370	2959	2770	2605	3036	21879	9584	2930	4165	3926	21215	6879	4924	5802	3665	10773	2559	2873	2698	2706	13917	2473	6308	2693	2443	9048	1900	2303	1747	2909	11701	2646	3119	3034	2903	11804	2832	2898	2530	3541	11019	4134	3413	2703	2634	9532	4869	3173	2683	14010	11052	9783	6452
Chi phí quản lý doanh nghiệp###Managing Expenses	5161	6690	29063	8228	7328	6408	6415	30184	30013	7216	5956	5833	25838	8669	5800	5836	5482	19263	5923	4748	4321	4223	17346	4382	5248	4547	3930	18594	5694	4524	4631	3976	19126	4884	4406	4662	4525	21577	5421	5387	5986	4787	17853	5049	4901	4284	3619	17333	3963	3917	3753	13017	13249	14904	9229
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-2224	-307	75844	41851	13862	14490	8551	110652	30282	16095	42383	28778	170415	27038	35846	70978	36698	48879	5572	10461	13175	12051	83222	5008	61783	13060	8245	65984	11080	17004	19837	12690	37807	5202	10232	13532	9519	51791	4841	15562	17638	15512	86259	7521	23095	41117	15596	57666	13720	28887	6928	33353	67217	75299	61238
Thu nhập khác###Other incomes	53	75	900	381	140	292	87	6748	5138	512	446	639	2166	238	1075	506	358	2407	1640	326	74	50	267	102	46	77	28	506	29	158	165	37	11975	11890	29	32	24	38186	31272	19	6674	167	2597	2571	4	20	2	37689	23	18056	188	33014	399	676	559
Chi phí khác###Other Expenses	112	250	9263	858	42	663	125	5805	5420	101	73	210	768	516	52	67	93	1842	1139	607	174	77	445	111	19	146	30	327	46	29	80	172	520	15	67	238	115	63	0	16	3	44	555	153	152	36	117	232	43	5761	75	2833	717	108	0
Lợi nhuận khác###Other profits	-59	-175	-8363	-477	98	-371	-39	943	-282	412	373	429	1398	-278	1023	439	265	565	501	-281	-99	-27	-178	-9	27	-68	-2	178	-17	128	85	-135	11455	11875	-38	-206	-91	38122	31272	3	6671	123	2041	2418	-148	-16	-115	37456	-20	12296	113	30181	-318	568	559
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-2283	-482	67481	41374	13960	14119	8512	111595	30000	16507	42756	29207	171814	26760	36869	71417	36963	49444	6074	10180	13075	12024	83044	5000	61810	12992	8242	60409	11063	17132	19922	12555	49261	17077	10194	13327	9428	89913	36113	15565	24308	15635	88301	88404	22947	41101	15481	95122	13700	41183	7041	63534	66900	75867	61797
Chi phí thuế TNDN###Corporate Income Tax Expenses	1265	751	22818	11397	4611	4456	3311	31637	6766	5144	13422	5912	35076	6182	7254	14549	7512	10072	2854	2093	2708	2427	19891	1482	13677	2881	1883	13841	2704	3838	4473	2803	12636	4156	2755	0	0	20030	0	0	0	3614	15244	4312	5275	9940	4092	25254	3561	10500	2003	12828	24881	29570	19890
Chi phí thuế TNDN###Corporate Income Tax Expenses	875	751	12561	5305	2834	2068	3311	45007	20235	5107	13426	5912	35440	6183	7254	14551	7512	10277	2968	2093	2711	2427	18662	1475	13615	2258	1312	14618	3790	3883	4143	2803	17201	5583	2755	3124	5857	13620	901	3973	4439	3614	17292	4312	5275	9940	4092	25232	3561	10500	2003	12788	24725	29708	19930
Chi phí thuế TNDN###Corporate Income Tax Expenses	390	0	10257	6092	1777	2388	0	-13370	-13468	37	-4	0	-364	-1	0	-2	0	-205	-114	0	-2	0	1229	7	62	624	571	-778	-1086	-45	330	0	-4565	-1426	0	-80	-3099	6409	5713	50	1665	0	-2047	0	0	0	0	22	0	0	0	40	156	-138	-40
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-4002	-1618	42779	29311	9840	10294	5375	81238	22963	11945	29334	23756	203234	35388	44414	77580	45645	54587	3220	8086	10367	9597	66433	3517	48133	10111	6360	50462	8359	13295	15449	9752	36626	12921	7440	10283	6669	69884	29499	11542	18204	12021	73056	5626	17673	31161	11389	69868	10139	30683	5037	50706	42019	46297	41907
---Cac Chi So Tai Chinh---																																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.45	9.50	14.70	14.70	12.25	12.55	12.26	11.37	11.37	11.32	11.27	11.48	9.49	9.49	10.44	7.46	7.42	7.07	7.07	6.41	6.41	6.33	5.95	5.95	5.95	7.03	7.02	6.46	6.46	6.32	6.49	7.33	5.79	5.79	4.88	4.57	4.87	4.09	4.09	5.39	4.57	4.68	4.29	4.29	4.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
