CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014
Chi phí tài chính###Financial Expenses	-2706	6288	-2547	2042	-3712	3646	-4523	4866	8330	1046	1641	-6150	-2277	4086	1517	-4066	-3814	8945	-517	1976	6815	670	20273	5572
Chi phí bán hàng###Selling Expenses	1721	2344	9007	3130	1891	1227	2759	6428	2924	1379	1146	1022	5835	2004	-656	3178	852	5817	2004	1338	1128	1333	3800	9822
Chi phí quản lý doanh nghiệp###Managing Expenses	4103	5180	20311	5373	4618	5215	5105	17261	4431	3797	4311	4723	17978	4087	3832	4685	5630	17625	6462	4396	3524	3252	12461	19931
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	15774	2601	20579	3224	15310	-5479	7470	44654	13296	7346	4024	13193	35398	15361	5436	7456	6463	9445	8475	4554	-1068	-2318	-151	12471
Thu nhập khác###Other incomes	256	729	72490	2964	31	69431	0	19151	7845	1	17689	272	2560	2378	56	198	0	4713	1667	8	2989	49	4	2773
Chi phí khác###Other Expenses	0	0	530	0	440	0	90	93	28	61	4	0	58	72	58	0	0	2482	0	0	1111	1371	2845	230
Lợi nhuận khác###Other profits	256	729	71960	2963	-409	69431	-90	19058	7817	-60	17686	272	2502	2306	-2	198	0	2231	1667	8	1878	-1321	-2842	2543
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	16030	3330	92539	6188	14901	63953	7380	63712	21113	7286	21710	13465	37900	17667	5434	7654	6463	11676	10142	4562	810	-3639	-2993	15014
Chi phí thuế TNDN###Corporate Income Tax Expenses	3755	928	19576	1241	2843	13361	2107	13148	3177	1853	4714	0	6476	2515	1295	2530	0	0	0	0	0	0	-202	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	3755	928	19576	1241	2843	13361	2107	13148	3177	1853	4714	0	6476	2515	1295	2530	0	0	0	0	0	0	-202	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	12275	2402	72963	4947	12058	50592	5273	50564	17935	5433	16996	13465	31424	15152	4139	5125	6463	11676	10142	4562	810	-3639	-2791	15014
---Cac Chi So Tai Chinh---																								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.87	6.43	7.05	7.05	9.19	10.05	5.53	5.36	5.36	6.13	5.11	5.96	3.83	3.83	4.43	5.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
