CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Nợ ngắn hạn###Short term Liabilities	836491	956305	804921	1132158	1144068	901870	742172	630307	887164	944408	884591	674433	588602	556905	715767	653555	467215	478308	517583	463784	389252	429273	453262	443759	491520	523459	537056	564708	571138	601157	645414	697986	769007	770103	757870	771397	808226	777275	839443	876162	924189	868484	967360	923323	763321	901199	724869	724869	753246	409673	492072	371420	373003	396002
Nợ dài hạn###Long term Liabilities	39846	59410	78974	78974	98538	118102	137666	157231	157231	233709	196359	272838	204293	260795	0	115	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	450	600	900	900	2038	2852	3684	4434	5167	5167	15176	39443	80037	80037	62504	53886	53886	11095	11095	13816
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	160060	167112	167045	167698	160530	160474	166079	165729	166099	143402	157781	174330	174063	174098	168732	168836	175321	175646	176004	158050	172149	179493	179595	180144	183908	182151	179454	177619	177546	175641	174377	176930	160107	158570	153181	152296	170694	186401	176662	177224	173587	180975	200505	182418	165827	143461	161018	141551	61105	69089	69311	41005	39423	33140
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1583	0	0
Vốn chủ sở hữu ###Owners equity	160060	167112	167045	167698	160530	160474	166079	165729	166099	143402	157781	174330	174063	174098	168732	168836	175321	175646	176004	158050	172149	179493	179595	180144	183908	182151	179454	177619	177546	175641	174377	176930	160107	158570	153181	152296	170694	186401	176662	177224	173587	180975	200505	182418	165827	143461	161018	141551	61105	69089	69311	39423	39423	33140
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15606	0	0	0	0	0	0	15161	0	15194	15186	15510	15649	15834	14651	15694	15146	15914	15912	17362	18437	18194	18614	19961	18592	18826	18607	19466	19466	14116	0	12415	9419	9419	5316
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819792	874916	944414	943324	927196	939440	995735	964576	1035505	1074675	1119654	1072506	1173032	1129500	963149	0	965923	0	0	627685	0	432940	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	130363	30936	574987	445271	30417	62878	36922	496346	325682	27498	17481	41420	542399	411464	45022	57400	45327	385414	216738	96111	25133	39613	629294	237224	99130	175225	108945	726858	187484	191340	182095	157047	621304	208708	235776	117195	62546	550984	167606	208902	84539	77919	1150653	338896	416043	88132	729246	50334	130872	87295	615323	562341	438728
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27403	265
Doanh thu thuần###Net Sales	130363	30936	574987	445271	30417	62878	36922	496346	325682	27498	17481	41420	542399	411464	45022	57400	45327	385414	216738	95813	25133	39613	629294	237224	99130	175225	108945	726858	187484	191340	182095	157047	621304	208708	235776	117195	62546	550984	167606	208902	84539	77919	1150653	338896	416043	88132	729246	50334	130872	87295	615323	534938	438462
Giá vốn hàng bán###Cost of goods sold	121306	28838	529019	420268	27989	57170	34086	445947	302737	24303	13907	39001	504847	382041	41404	55321	41388	361757	203414	88857	23230	38140	595002	226986	91873	165707	101666	691513	176883	184022	171974	150120	591144	196103	228971	110897	58347	480855	155368	198624	44047	70195	1018997	299269	369291	84231	683879	43501	118620	83344	591266	508454	416205
Lợi nhuận gộp###Gross profit	9056	2098	45968	25003	2427	5709	2836	50399	22945	3196	3575	2419	37552	29423	3618	2080	3939	23657	13324	6956	1903	1473	34292	10237	7257	9519	7279	35345	10602	7318	10121	6927	30160	12605	6805	6298	4199	70129	12238	10279	40492	7724	131656	39627	46752	3900	45368	6833	12252	3951	24057	26484	22258
Doanh thu hoạt động tài chính###Financial activities Revenues	270	134	551	161	29	212	149	175	-97	34	96	7	105	249	25	89	5	50	31	25	42	-48	1500	923	95	349	342	611	526	136	340	109	1222	801	29	642	885	2152	1305	1620	-1090	2580	5804	9797	4980	4096	14920	3309	4297	2424	6844	7449	3234
Chi phí tài chính###Financial Expenses	1368	982	4238	1117	1169	793	1159	13856	8787	434	424	871	8470	2784	559	675	692	6894	3683	1224	1039	949	6713	1391	2130	1554	1637	6550	1569	1067	753	3175	7400	1063	2835	2495	3441	8795	3343	3830	-1512	6486	19994	14979	12596	3623	16638	3689	2285	3384	6846	6234	4940
Chi phí bán hàng###Selling Expenses	0	0	8705	0	0	0	0	10542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203
Chi phí quản lý doanh nghiệp###Managing Expenses	4559	893	23203	14880	954	4043	1798	16039	5060	1906	2109	2125	17056	8817	3038	1485	3647	11055	3644	4508	1296	1451	20323	6008	4391	5965	3935	22469	8112	5188	6311	3043	19879	7692	4292	7555	1901	31899	11224	4708	9364	3453	45757	12724	10695	5258	25332	3171	7043	2646	12090	16808	10782
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3399	356	10372	9166	334	1085	28	10138	9001	890	1137	-570	12131	18070	47	9	-394	5758	6028	1250	-390	-974	8941	3761	830	2534	2049	6937	1447	1055	3321	819	4103	4650	-293	-3110	-259	31232	-1023	3361	31550	364	71598	21721	28441	-885	18252	3282	7221	345	11965	10891	9566
Thu nhập khác###Other incomes	45	0	1392	205	0	1188	0	1848	-257	0	0	1045	100	0	0	100	0	2197	395	563	409	830	4151	1368	1308	873	394	4028	983	658	1094	678	6359	2621	887	2235	616	378	19	61	0	215	1707	3068	1269	2524	5758	1293	531	927	7691	2389	1929
Chi phí khác###Other Expenses	753	27	333	191	139	0	0	1034	-826	628	628	198	4273	10214	91	0	0	3004	2884	0	120	0	1778	1688	13	77	0	778	181	0	0	0	317	8	0	80	92	5484	928	50	1402	0	1288	499	0	1198	1394	511	262	7	5332	594	1062
Lợi nhuận khác###Other profits	-708	-27	1060	14	-139	1188	0	814	569	-627	-628	847	-4173	-10214	-91	100	0	-807	-2489	563	289	830	2373	-320	1295	796	394	3250	802	658	1094	678	6042	2613	887	2155	524	-5106	-909	12	-1402	215	418	2569	1269	1326	4364	783	270	920	2360	1795	867
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2691	330	11432	9180	195	2273	28	10952	9570	262	509	277	7958	7856	-43	109	-394	4950	3539	1813	-102	-144	11314	3440	2125	3330	2443	9966	2249	1713	4415	1497	10116	7262	594	-1154	265	26125	-1932	3373	29929	579	72016	24290	29709	442	22616	4065	7490	1265	14325	12686	10433
Chi phí thuế TNDN###Corporate Income Tax Expenses	836	218	3020	2012	57	447	12	2487	1941	30	225	44	2713	2661	4	39	14	1717	1302	397	14	4	2928	1205	480	688	553	2345	497	449	968	411	2620	2068	404	100	0	8640	0	0	0	145	17877	5223	7427	110	5717	1016	1873	316	3150	3114	2636
Chi phí thuế TNDN###Corporate Income Tax Expenses	836	218	3020	2012	57	447	12	2487	1941	30	225	44	2713	2661	4	39	14	1717	1302	397	14	4	2928	1205	480	688	553	2345	497	449	968	411	2620	2033	404	65	59	8607	76	843	7570	145	17844	5223	7427	110	5693	1016	1873	316	3150	3653	2882
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	35	0	33	0	0	16	0	33	0	0	0	24	0	0	0	0	-538	-247
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1894	153	8512	7206	175	1885	1	8595	7540	293	284	284	4645	4596	-77	220	-635	2968	2237	1416	-115	-148	8634	2236	1645	2642	1890	6989	1752	1264	3447	1086	7496	5195	190	-1254	207	17486	-2008	2530	22343	435	54139	19067	22282	331	16899	3049	5618	948	11175	9571	7798
---Cac Chi So Tai Chinh---																																																					
EBITDA	-0.08	0.01	-0.61	-0.61	-0.34	0.21	0.08	0.22	0.22	0.32	0.25	0.25	0.51	0.51	0.35	-0.24	-0.08	-0.19	-0.19	-0.27	0.10	0.04	0.29	0.29	0.19	0.15	0.27	0.50	0.50	0.73	0.78	0.57	0.16	0.16	0.28	0.45	0.83	1.34	1.34	1.41	1.46	1.07	0.44	0.44	0.67	0.19	0.12	0.12	0.07	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.79	6.63	8.40	8.40	8.17	8.82	8.36	9.24	9.24	8.24	7.64	8.00	6.03	6.03	6.67	4.49	4.61	3.40	3.40	4.34	4.64	4.98	5.12	5.12	5.39	4.57	4.76	5.58	5.58	5.51	4.70	5.28	3.88	3.88	3.54	4.34	4.15	3.77	3.77	3.67	5.27	4.83	3.03	3.03	3.59	5.59	8.10	8.10	11.38	0.00	0.00	0.00	0.00
