CAN DOI KE TOAN	 2019	Q2 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Chi phí tài chính###Financial Expenses	1	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	4	4	5	3
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	60480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	31831	5486	28012	11329	6049	5917	4717	20910	24944	4798	4977	4319	20312	7068	3919	4777	4324	19760	4327	4874	4669	18297	5372	3435	4317	5172	19769	5143	3638	19470	21820	17070	18063
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	11926	3350	10388	3997	1536	2898	1957	7128	190328	1070	2549	1099	6571	1962	1685	2084	1030	6542	1361	1187	908	6423	3645	1451	662	665	7761	3724	213	14471	22850	20293	22375
Thu nhập khác###Other incomes	176	39	190	0	278	52	0	559	980	373	52	52	16049	15422	22	216	390	778	253	55	417	634	130	52	452	0	794	466	1	1681	609	1650	2161
Chi phí khác###Other Expenses	174	0	152	140	152	0	1	240	655	211	0	0	1215	529	0	450	236	585	145	86	289	888	13	3	860	12	721	265	211	419	531	1538	1331
Lợi nhuận khác###Other profits	2	39	37	-140	126	52	-1	319	324	162	52	52	14834	14893	22	-234	153	194	109	-30	129	-254	117	49	-408	-12	73	201	-210	1262	78	112	830
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	11928	3389	10425	3857	1662	2950	1957	7447	190653	1232	2601	1151	21404	16855	1707	1850	1183	6735	1469	1157	1037	6169	3762	1500	254	653	7834	3925	3	15733	22928	20405	23205
Chi phí thuế TNDN###Corporate Income Tax Expenses	2599	687	2137	796	339	597	404	1639	35296	364	542	230	4394	3410	341	437	237	1675	323	280	228	1534	865	330	61	144	2051	1042	1	4070	5896	2831	3122
Chi phí thuế TNDN###Corporate Income Tax Expenses	2599	687	2137	796	339	597	404	1639	35296	364	542	230	4394	3410	341	437	237	1675	323	280	228	1534	865	330	61	144	2051	1042	1	4070	5896	2831	3122
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	9329	2702	8288	3061	1323	2352	1552	5808	155357	868	2059	921	17011	13445	1366	1413	947	5060	1146	877	809	4635	2897	1170	192	510	5783	2884	2	11663	17032	17574	20084
---Cac Chi So Tai Chinh---																																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.21	9.96	6.43	6.43	9.26	8.50	8.14	9.47	9.47	7.72	8.21	8.46	7.09	7.09	6.57	8.98	5.67	3.15	3.71	7.21	3.43	5.18	5.18	4.86	6.15	6.48	3.66	3.66	2.40	2.87	5.58	7.24	0.00
