CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q4 2016	 2015	Q2 2015	 2014	Q4 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-26	-27	-27	-27	-27	-27	-27	-19	-10	-1
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	422	83	120	157	157	194	212	0	0	0	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	200	200	280	74	274	274	774	774	774	280	280	200	842	375	853	406	406	401	401	401	638	638	1029	1029	1029	849	0	1479	1479	860	1994	700
Tài sản dài hạn khác###Other long term assets	43	41	44	56	56	50	317	109	182	205	84	63	52	66	77	55	66	66	78	92	55	77	84	73	71	66	39	39	70	0	139	139	359	499	255
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	31732	37845	36535	32533	32533	32777	30157	38627	38722	26221	30550	37767	37775	20866	20687	20935	23068	23256	22249	21637	22993	25399	30216	26970	26444	28545	34488	34591	29939	46145	56294	56294	69529	71943	47358
Nợ phải trả ###Liabilities	9482	14627	12362	8675	8675	9589	8587	15991	14547	4521	9677	16663	16662	883	694	520	2358	2509	2466	1613	2461	4814	9554	6259	5676	6666	11851	11680	8371	21962	29968	29968	43861	47735	33454
Nợ ngắn hạn###Short term Liabilities	9482	14627	12362	8517	8517	9222	5563	15790	14346	4507	9626	16556	16554	765	527	450	2277	2428	2374	1465	2423	4723	6446	6157	5520	6597	11731	11305	7945	21669	29662	29662	42826	46043	32639
Nợ dài hạn###Long term Liabilities	0	0	0	158	158	368	3024	202	202	14	50	108	108	117	168	70	80	80	93	148	38	90	3109	103	155	68	120	375	427	293	306	306	1035	1692	815
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	22250	23218	24173	23858	23858	23188	21570	22635	24175	21700	20873	21104	21113	19983	19992	20415	20710	20748	19782	20024	20532	20586	20662	20711	20768	21879	22637	22911	21567	24183	26327	26327	25668	24208	13903
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Vốn chủ sở hữu ###Owners equity	22250	23218	24173	23858	23858	23188	21570	22635	24175	21700	20873	21104	21113	19983	19992	20415	20710	20748	19782	20024	20532	20586	20662	20711	20768	21879	22637	22911	21567	0	26327	26327	25652	24208	13903
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	26221	30550	37767	37775	20866	20687	20935	23068	23256	22249	21637	22993	25399	30216	26970	0	28545	34488	34591	29939	46145	56294	56294	69529	71943	47358



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	33310	39004	46742	31153	21983	33555	6919	1044	11131	8750	2016	235	130	9996	3966	1177	3533	1321	13757	7290	3743	1631	991	22576	15020	4004	2471	56103	29594	17242	67298	68082	59680
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	33310	39004	46742	31153	21983	33555	6919	1044	11131	8750	2016	235	130	9996	3966	1177	3533	1321	13757	7290	3743	1631	991	22576	15020	4004	2471	56103	29594	17242	67298	68082	59680
Giá vốn hàng bán###Cost of goods sold	28744	33737	40707	26022	17766	28315	5723	926	9340	7242	1758	260	81	8929	3318	1061	3291	1240	11718	6308	2971	1371	974	18498	12064	3270	1302	44643	23790	12533	53612	53718	46213
Lợi nhuận gộp###Gross profit	4567	5267	6035	5130	4217	5240	1196	118	1790	1508	258	-24	49	1067	648	116	242	81	2039	982	773	259	17	4078	2955	734	1169	11460	5804	4709	13686	14364	13467
Doanh thu hoạt động tài chính###Financial activities Revenues	41	22	82	5	22	67	11	33	509	113	116	281	108	316	260	29	28	5	75	7	49	6	9	401	7	1262	2	57	5	42	237	2459	268
Chi phí tài chính###Financial Expenses	20	0	22	62	15	17	3	8	-86	19	3	0	0	81	55	0	-5	19	1028	289	93	510	137	644	-74	881	382	1279	-363	344	4998	1478	634
Chi phí bán hàng###Selling Expenses	0	26	10	9	53	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	36	2	0	5	256	91	39	402	126	262
Chi phí quản lý doanh nghiệp###Managing Expenses	2673	2666	3243	2422	1760	1769	405	374	1864	468	404	550	433	1964	434	437	522	571	3189	930	774	834	644	4600	1543	1386	668	7072	3349	1273	6642	9131	7485
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1914	2597	2842	2643	2411	3521	799	-231	522	1133	-33	-293	-276	-662	419	-292	-247	-504	-2107	-230	-49	-1078	-755	-801	1491	-271	116	2910	2732	3095	1881	6090	5354
Thu nhập khác###Other incomes	52	157	308	194	139	503	452	1	168	32	94	42	0	1205	645	66	9	484	169	144	6	9	10	3259	28	3213	0	89	68	6	163	228	136
Chi phí khác###Other Expenses	138	451	128	114	427	597	424	2	296	36	69	172	19	418	98	17	269	34	113	45	14	41	13	3918	175	3666	0	142	48	6	128	83	0
Lợi nhuận khác###Other profits	-86	-293	181	80	-288	-94	28	0	-128	-4	25	-130	-19	787	547	50	-260	450	56	99	-7	-33	-3	-659	-147	-453	0	-53	21	0	35	145	136
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1828	2304	3022	2723	2123	3427	827	-231	394	1129	-9	-423	-295	125	966	-242	-507	-54	-2051	-131	-57	-1111	-758	-1459	1343	-724	116	2856	2753	3096	1916	6235	5491
Chi phí thuế TNDN###Corporate Income Tax Expenses	622	650	612	538	609	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	510	499	0	473	1632	1508
Chi phí thuế TNDN###Corporate Income Tax Expenses	622	650	612	538	609	712	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	510	499	12	473	1632	1508
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	11	0	0	-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1206	1654	2410	2185	1514	2704	827	-231	394	1129	-9	-423	-295	125	966	-242	-507	-54	-2051	-131	-57	-1111	-758	-1459	1343	-724	87	2346	2254	3084	1443	4602	3983
---Cac Chi So Tai Chinh---																																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.91	7.06	5.42	5.83	4.69	2.47	1.35	2.21	0.86	0.86	0.90	0.94	1.14	1.10	1.10	1.23	0.98	1.27	0.98	0.98	1.23	1.27	2.57	2.98	2.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
