CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	364446	496339	1885371	542377	456262	475487	411244	1711291	465580	404669	428782	412260	1655109	443606	374498	424600	412405	1538280	419750	391719	1344805	1171999	1207805
Các khoản giảm trừ doanh thu###Deduction revenues	8174	17558	38447	23897	2110	10564	1877	36442	22131	2044	9019	3249	32755	19838	1406	9622	1890	30319	14172	2068	36300	23440	19775
Doanh thu thuần###Net Sales	356272	478782	1846923	518480	454153	464924	409367	1674849	443450	402625	419763	409011	1622353	423768	373092	414978	410515	1507961	405578	389651	1308506	1148559	1188031
Giá vốn hàng bán###Cost of goods sold	194171	252343	1021630	349202	232675	234915	204838	868269	227007	211298	219887	210077	841736	216984	195400	215061	214292	788188	211525	222950	684357	581198	572789
Lợi nhuận gộp###Gross profit	162101	226439	825293	169278	221478	230008	204529	806580	216442	191327	199876	198935	780617	206784	177692	199917	196223	719773	194053	166701	624148	567361	615242
Doanh thu hoạt động tài chính###Financial activities Revenues	1611	458	9067	-489	1716	3944	3919	35285	12254	4952	14715	3364	36228	18118	1840	12633	3320	23317	11541	4444	5380	4273	700
Chi phí tài chính###Financial Expenses	4567	1998	8679	3059	1850	2292	1503	10460	3101	2867	3066	1425	8114	2275	1498	2685	1339	7639	3534	1010	8944	10143	30074
Chi phí bán hàng###Selling Expenses	68149	112869	363439	31472	110445	116477	105045	391817	109547	92464	92640	97166	396533	115190	82992	96066	102286	386019	107347	83412	349298	317614	358126
Chi phí quản lý doanh nghiệp###Managing Expenses	11577	17580	62017	13168	18635	15208	15006	54840	15921	12493	13735	12691	54057	18555	11397	11888	12217	50119	12261	12545	41313	41929	43353
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	79418	94450	400225	121090	92264	99976	86895	384750	100128	88455	105150	91017	358140	88882	83646	101911	83701	299313	82452	74178	229973	201948	184389
Thu nhập khác###Other incomes	1841	125	1694	527	444	714	8	1943	1380	62	464	36	1022	937	13	41	30	962	452	306	679	66	5976
Chi phí khác###Other Expenses	2	456	102	19	4	5	75	212	49	9	151	3	251	199	1	1	51	363	443	1	743	11846	3279
Lợi nhuận khác###Other profits	1838	-331	1591	508	440	710	-67	1731	1332	53	313	33	771	739	13	40	-21	599	9	305	-64	-11779	2698
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	81257	94119	401816	121598	92704	100686	86829	386480	101460	88508	105463	91050	358911	89621	83658	101951	83681	299912	82461	74483	229909	190168	187086
Chi phí thuế TNDN###Corporate Income Tax Expenses	16251	18824	80857	24767	18541	20184	17366	77103	20099	17608	21459	17937	72480	18338	16732	20674	16736	60653	17163	14897	46297	42018	38626
Chi phí thuế TNDN###Corporate Income Tax Expenses	15748	18824	80274	24579	18218	20399	17078	77655	20325	17701	21419	18210	73039	17980	16732	21591	16736	61023	17163	14897	46487	41561	38328
Chi phí thuế TNDN###Corporate Income Tax Expenses	503	0	583	189	322	-215	288	-552	-226	-93	40	-273	-559	358	0	-917	0	-370	0	0	-190	458	298
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	65005	75295	320959	96831	74163	80502	69463	309378	81361	70900	84004	73113	286431	71283	66927	81277	66944	239259	65298	59586	183613	148150	148460
---Cac Chi So Tai Chinh---																							
EBITDA	0.39	0.38	0.14	0.14	0.05	0.06	0.20	0.28	0.28	0.25	0.24	0.27	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	64.30	53.41	51.79	51.79	52.37	48.17	53.30	58.36	58.36	66.90	67.82	65.92	65.53	65.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
