CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	94610	58210	483975	71741	151013	141207	120013	613393	146017	208735	140817	117824	593373	146986	222113	123213	101061	448744	123704	166797	99971	58271	440635	92691	159803	87540	100602	519306	392124	110186	73184
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	94610	58210	483975	71741	151013	141207	120013	613393	146017	208735	140817	117824	593373	146986	222113	123213	101061	448744	123704	166797	99971	58271	440635	92691	159803	87540	100602	519306	392124	110186	73184
Giá vốn hàng bán###Cost of goods sold	66069	36763	253654	58389	66044	67458	61725	288959	77051	79704	71539	63986	263131	69398	71757	62607	59179	243897	66372	66632	57933	52960	233115	59184	62759	54881	56291	240161	192086	47289	42766
Lợi nhuận gộp###Gross profit	28541	21447	230320	13352	84969	73749	58288	324434	68966	129031	69278	53838	330242	77588	150356	60606	41882	204847	57332	100165	42038	5311	207520	33507	97044	32659	44310	279145	200038	62897	30418
Doanh thu hoạt động tài chính###Financial activities Revenues	181	25	3545	854	426	300	1966	4613	800	1221	1241	1352	3382	1997	431	385	568	2008	689	507	467	479	907	346	54	158	348	2812	827	6646	15390
Chi phí tài chính###Financial Expenses	22309	15996	82049	20393	20148	20542	20967	96323	18866	27698	24729	25029	115761	29604	28400	28896	28861	121699	29690	30618	33388	28136	137110	32398	34691	34968	35061	166073	126575	32567	31572
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5088	6157	33551	11773	7218	7907	6280	31881	11307	6878	7382	6982	29009	10581	6025	6010	5911	27686	10386	6417	5514	5367	25825	8003	6699	5100	6023	27038	7987	4488	3658
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1326	-681	118264	-17961	58029	45600	33007	200843	39593	95676	38408	23178	188853	39400	116362	26085	7678	57470	17945	63637	3604	-27713	45492	-6548	55708	-7251	3575	88845	66303	32487	10578
Thu nhập khác###Other incomes	-9779	10788	370	10	223	104	33	698	370	324	4	0	76	0	0	76	0	244	0	52	201	0	2	2	0	0	0	275	0	17	618
Chi phí khác###Other Expenses	-8801	9900	6846	1721	1563	287	3196	3157	2254	114	722	66	968	132	703	66	66	331	779	66	66	66	319	123	54	71	71	932	336	0	0
Lợi nhuận khác###Other profits	-978	889	-6477	-1711	-1339	-183	-3163	-2458	-1883	210	-718	-66	-892	-132	-703	9	-66	-88	-779	-14	134	-66	-317	-121	-54	-71	-71	-658	-336	17	618
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	348	208	111788	-19672	56690	45417	29844	198385	37709	95886	37690	23112	187961	39268	115660	26094	7612	57382	17167	63623	3738	-27779	45175	-6670	55654	-7321	3504	88188	65967	32504	11196
Chi phí thuế TNDN###Corporate Income Tax Expenses	117	42	14992	-2397	5726	6250	5081	24091	6245	8754	4205	4489	25782	6152	13504	5690	536	1394	1267	13	0	0	1796	-99	1985	-409	409	16771	14294	4960	2799
Chi phí thuế TNDN###Corporate Income Tax Expenses	117	42	14992	-2397	5726	6250	5081	24091	6245	8754	4205	4489	25782	6152	13504	5690	536	1394	1267	13	0	0	1796	-99	1985	-409	409	16771	15020	4235	2799
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-726	726	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	231	167	96796	-17275	50964	39167	24763	174293	31465	87132	33485	18624	162179	33115	102156	20405	7076	55988	15900	63610	3738	-27779	43378	-6570	53669	-6912	3094	71417	51673	27544	8397
---Cac Chi So Tai Chinh---																															
EBITDA	0.27	0.32	-0.11	-0.11	0.25	0.18	0.15	0.28	0.28	0.13	0.15	0.30	0.06	0.06	0.52	0.21	0.12	0.01	0.01	-0.10	-0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.40	12.80	15.50	15.50	16.50	16.80	15.43	13.93	13.93	13.84	12.74	11.90	12.49	12.49	11.48	10.67	9.62	9.30	9.30	8.75	8.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
