CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q3 2016	 2015	 2014	 2013
Nợ ngắn hạn###Short term Liabilities	185447066	179781534	179078998	175263180	173114763	169236655	166156794	179706904	179706904	164838491	156288930	161387750	160908939	160908939	148765141	143967149	137869674	126014829	114986557	86448534	85145270	73917534
Nợ dài hạn###Long term Liabilities	34304143	30604381	30017148	33832966	24536619	22451241	18692552	19522362	19572362	18587117	18428185	13207300	13666226	13666229	14542291	14912344	15232125	14336800	14230759	10195722	5180491	3709559
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	20862774	19666589	19072572	19072572	18120533	17220692	16440279	15635164	15635164	14873994	15584058	14869054	14075556	14075542	10671435	9929002	9579382	9317013	9077560	9392415	8874048	8599548
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	20862774	19666589	19072572	19072572	18120533	17220692	16440279	15635164	15635164	14873994	15584058	14869054	14075556	14075542	10671435	9929002	9579382	9317013	9077560	9392415	8874048	8599548
Lợi ích của cổ đông thiểu số	1831068	1721220	1308544	1308544	1473241	1382883	1272880	1192976	1192976	1080568	992073	910203	683550	683549	615403	719843	668068	625630	577584	449264	324794	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	242445051	231773724	229477262	229477262	217245156	210291471	202562505	216057406	216107406	199380170	191293246	190374307	189334271	189334259	174594270	169528338	163349249	150294272	138872460	106485935	99524603	86226641
---Cac Chi Tieu Ngan Hang---																						
Tiền mặt, chứng từ có giá trị, ngoại tệ, kim loại quý, đá quý	2298266	1892955	2004563	2004563	2039463	1949797	1997844	2096395	2096395	1828908	2151586	1649501	1511629	1511629	1272228	1361279	1409281	1636010	1376202	1472407	818918	632025
Tiền gửi tại NHNN	3185578	1891534	4503540	4503540	6403131	1724662	3416086	5385604	5385604	2418896	3309444	2269185	1922256	1922256	2330443	5583069	1328926	2389302	2244384	2742385	2408922	1595174
Tín phiếu kho bạc và các giấy tờ có giá ngắn hạn đủ tiêu chuẩn khác	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác	23330471	18920348	24664877	24664877	21531562	21501935	19600096	32425544	32425544	23317555	23538842	19681403	21861168	21861168	20772785	22723038	24105563	18580047	16047689	11994220	16834982	11340653
Chứng khoán kinh doanh	3071272	4816174	4650988	4650988	1853534	2097898	1936944	2603376	2603376	2342829	1898619	2853111	4693398	4693398	645333	400000	708369	400000	456046	922956	936975	668466
Các công cụ tài chính phái sinh và các tài sản tài chính khác	0	0	0	0	1650	0	0	208294	208294	11337	13401	28122	0	0	98303	0	51505	0	1545	39044	3502	1848
Cho vay khách hàng	158574053	150733323	144699636	144699636	138631393	136295829	127556296	121791723	121791723	119572248	118965247	114673489	103336329	103336328	95489766	95875982	87142559	81303975	73448682	55853240	41508986	43332981
Chứng khoán đầu tư	39903427	40553562	36041894	36041894	38026229	36659984	38842836	42694913	42694913	40679792	32818835	39386619	45802141	45802141	42682806	32459476	37076750	34261091	33197003	21197715	24472022	13456296
Góp vốn đầu tư dài hạn	154887	161050	166821	166821	166821	166821	164931	164931	164931	375727	379282	379382	382112	382112	374062	377916	379607	389895	427646	424607	228538	95067
Tài sản cố định	940810	901646	903562	903561	859406	858226	1607734	1615456	1615456	1511330	1508844	1522636	1526617	1526618	1305254	1315165	1336057	1351960	767947	805214	527397	590246
Bất động sản đầu tư	44068	44083	44098	44098	44108	51892	51923	51955	51955	51985	52016	52048	45769	45769	58412	58444	89585	88381	73662	64838	0	0
Tài sản có khác	10963917	11862609	11804783	11804784	7693859	8990427	7390815	7025965	7075965	7274905	6665872	7881811	8255852	8255840	9567878	9376969	9724047	9896674	10835048	10976231	11784362	14514806
Các khoản nợ chính phủ và NHNN	181767	602990	209151	209151	2205063	2167416	2180507	7911883	7911883	2151945	131179	127488	156253	156253	152470	153157	2050776	177635	192596	2488321	184195	128173
Tiền gửi và cho vay các TCTD khác	32358700	43244856	49793517	45977699	42943712	33921883	34233100	40689261	40689261	29656727	26372072	41010855	37217378	37217378	27568310	25107077	20074349	19684665	14160842	6594931	19506708	11289317
Tiền gửi khách hàng	149805037	132822498	126018576	126018576	124917876	130057580	126694184	128060094	128060094	129966300	126776964	117302099	120537469	120537469	118116320	115710752	112876523	103299771	97815709	74542719	65411576	62383934
Các công cụ tài chính phái sinh và các khoản nợ tài chính khác	52629	23069	14262	14262	0	30099	2114	0	0	0	0	0	70098	70098	0	88896	0	9326	0	0	0	0
Vốn tài trợ, uỷ thác đầu tư mà ngân hàng chịu rủi ro	3048933	3088121	3043492	3043492	3048112	3059677	3046889	3045666	3045666	3063519	3008715	2947308	2927741	2927741	2928041	2907267	2868026	2843432	2817410	2822563	42791	116110
Phát hành giấy tờ có giá	28719063	25174063	25013063	25013063	20027400	17746000	14129681	14927000	14927000	14750000	14410637	9446000	9793000	9793000	10582000	11353000	11754000	11027014	11086000	7847000	3580000	2503000
Các khoản nợ khác	5585080	5430318	5004085	8819903	4509219	4705241	4562871	4595362	4645362	3837117	4017548	3761300	3873226	3873229	3960291	3559344	3478125	3309786	3144759	2348722	1600491	1206559



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q3 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	2709540	2883597	9746555	2888034	2504870	2323741	2029910	7645693	2161165	1768706	1884382	1831440	6347300	1744818	1897475	1376433	1356097	4678080	1176407	3244710	1629143	309373
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	2709540	2883597	9746555	2888034	2504870	2323741	2029910	7645693	2161165	1768706	1884382	1831440	6347300	1744818	1897475	1376433	1356097	4678080	1176407	3244710	1629143	309373
Giá vốn hàng bán###Cost of goods sold	5437647	5452225	19618067	5419297	4972939	4784781	4441050	16797067	4742202	4189507	4082051	3934542	14959081	3937743	4031649	3570885	3418804	11321302	2931153	7922478	6298131	4884211
Lợi nhuận gộp###Gross profit	-2728107	-2568628	-9871512	-2531263	-2468069	-2461040	-2411140	-9151374	-2581037	-2420801	-2197669	-2103102	-8611781	-2192925	-2134174	-2194452	-2062707	-6643222	-1754746	-4677768	-4668988	-4574838
Doanh thu hoạt động tài chính###Financial activities Revenues	485839	267248	1641433	455620	366168	383829	435822	1794661	496212	347327	479542	471577	1158519	181893	504144	335805	130486	740146	150341	887927	1269680	1133356
Chi phí tài chính###Financial Expenses	143637	59010	474880	196880	118900	137438	51686	539625	229745	133582	95610	87853	299104	147223	94656	88299	27145	195119	25035	78663	84405	254944
Chi phí bán hàng###Selling Expenses	218143	213642	821429	231492	193122	192044	174771	541049	132926	142382	135663	130078	268640	98893	53124	36736	56903	167320	55442	234104	195762	88647
Chi phí quản lý doanh nghiệp###Managing Expenses	1130488	1607759	5080492	1366195	1284028	1292905	1137368	4441455	1184272	1148111	1099993	1009080	4072277	1158046	1051473	990126	893980	3276988	831101	2409584	1820135	1010433
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2064891	1543086	6307496	1977459	1587010	1414665	1328364	4998899	1473105	967922	1263931	1293937	3433542	768665	1350146	722112	592603	2141238	495647	1723053	1078687	432295
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí khác###Other Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận khác###Other profits	-407959	-292438	-1289083	-407220	-349486	-305733	-226644	-994271	-352401	-146552	-248139	-247179	-1016760	-264160	-318953	-228391	-205256	-993605	-353320	-934619	-456470	-191841
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1656932	1250648	5018413	1570239	1237524	1108932	1101720	4004628	1120704	821370	1015792	1046758	2416782	504505	1031193	493721	387347	1147633	142327	788434	622217	240453
Chi phí thuế TNDN###Corporate Income Tax Expenses	600	0	3998	3264	0	734	0	22823	22823	0	0	0	3927	3927	0	0	0	6325	0	2005	202	1652
Chi phí thuế TNDN###Corporate Income Tax Expenses	-336535	-249343	-998079	-313898	-248484	-212703	-222994	-803117	-228639	-165739	-195895	-212844	-462375	-87665	-206660	-90297	-77751	-233135	-26981	-158323	-145340	-22857
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1320397	1001305	4020334	1256341	989040	896229	878726	3201511	892065	655631	819897	833914	1954407	416840	824533	403424	309596	914498	115346	630111	476877	217596
---Cac Chi So Tai Chinh---																						
Thu nhập từ hoạt động dịch vụ###Service income	212866	158110	625876	160738	149117	144173	141848	438174	97277	115441	114577	110879	196433	73271	35111	38104	32265	118224	41546	188107	126340	60060
Lợi nhuận thuần từ hoạt động kinh doanh ngoại hối###Net foreign exchange gains	18928	24920	229802	54814	-296	80905	94380	298315	169545	51052	55020	22698	157437	7481	32139	56288	34006	209284	44123	25761	42133	-54015
Lợi nhuận thuần từ hoạt động kinh doanh chứng khoán###Net income on trading securities	-17485	63695	80459	39223	14105	-2674	29805	124336	-1885	16069	21093	83317	5708	-1972	3211	5921	-1452	82503	33356	-4238	80462	61930
Lãi thuần từ chứng khoán đầu tư###Net income on investment securities	140737	-32218	239949	2847	75491	33535	128076	341516	6348	8126	172670	160114	484895	-18323	344948	115165	43105	151159	5341	48787	474637	682241
Thu nhập thuần từ hoạt động kinh doanh khác###Net income of other business operations	130533	52741	438278	197998	127751	100821	41713	482996	224927	103021	90071	72138	270165	121186	88698	77228	22067	166691	17165	19571	47024	241828
Thu nhập vốn góp mua cổ phần###Income from associated capital	260	0	27069	0	0	27069	0	109324	0	53618	26111	22431	43881	250	37	43099	495	12285	8810	609939	499084	141312
EBITDA	1.12	1.19	0.81	0.81	0.73	0.78	1.51	1.50	1.50	1.64	1.74	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.08	13.69	21.19	21.19	21.31	21.15	23.08	23.31	23.31	29.88	27.81	34.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
