CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Nợ phải trả ###Liabilities	344984	304786	305862	295341	298546	302873	292945	269449	268919	271769	297854	275946	255535	255556	265553	261785	274940	264876	267230	254553	253833	254371	257843	259077	251379	270598	254045	253552	253585	98209	125555	145724	146970	145405	143301	126990	187470	55194	117671
Nợ ngắn hạn###Short term Liabilities	344984	304786	305862	295341	298546	302873	292945	269449	268919	271769	297854	275946	255535	255556	265553	261785	274940	264876	267230	254553	253833	254003	257476	258709	251011	270231	254045	253552	253585	98209	113984	133053	134299	131634	129530	126990	187444	55167	117644
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	368	368	368	368	0	0	0	0	11571	12671	12671	13771	13771	0	26	26	27
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	189345	198451	199399	199399	186679	179823	175686	196301	196277	193957	187014	176635	187428	187428	175658	174396	170476	177308	177308	175802	175843	183524	184031	184369	170401	178192	203444	203852	205228	204837	196006	201377	200675	200867	197057	221416	210810	191077	174953
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	189345	198451	199399	199399	186679	179823	175686	196301	196277	193957	187014	176635	187428	187428	175658	174396	170476	177308	177308	175802	175843	183524	184031	184369	170401	178192	203444	203852	205228	204837	196006	201377	200675	200867	197057	221416	210810	191077	174953
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	52483	5648	115374	71859	6154	37361	0	88316	8282	21227	29243	29564	76456	41062	7974	22439	4981	38453	16284	1103	21066	0	25103	22429	2674	0	0	65680	1836	2037	18972	42835	208055	51546	30923	262098	321144	190402	180245
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	13208	0	0	0	13208	2487	0	1660	827	0	0	0	0	0	0	11931	0	1847	10085	0	21723	1009	1036	6790	12888	0	0	0	12089	0	0	1
Doanh thu thuần###Net Sales	52483	5648	115374	71859	6154	37361	0	75108	8282	21227	29243	16356	73969	41062	6314	21611	4981	38453	16284	1103	21066	0	13172	22429	827	-10085	0	43958	827	1001	12181	29948	208055	51546	30923	250009	321144	190402	180244
Giá vốn hàng bán###Cost of goods sold	41802	3889	84845	55435	-2635	32039	6	41307	4667	11564	16229	8847	50571	26569	3870	16643	3349	30134	12071	845	17218	0	-3611	4624	679	-8884	1	38056	593	712	9775	26977	179521	41731	28905	179497	272255	169023	142396
Lợi nhuận gộp###Gross profit	10681	1759	30529	16425	8788	5322	-6	33801	3615	9663	13014	7508	23398	14494	2444	4969	1632	8318	4213	258	3848	0	16783	17805	148	-1201	-1	5902	235	290	2407	2971	28534	9815	2018	70513	48889	21378	37848
Doanh thu hoạt động tài chính###Financial activities Revenues	703	614	1719	654	455	370	240	2210	191	270	1570	179	3607	1754	133	1191	529	3209	1181	566	1140	322	2311	512	367	834	598	380	190	46	50	26	58	5	16	792	2601	1709	1977
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080	0	320	404	357	739	412	327	0	1270	0	0
Chi phí bán hàng###Selling Expenses	0	41	521	139	163	0	219	863	24	198	223	240	30	140	30	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	62	43	266	154	30	7589	4238	19	12
Chi phí quản lý doanh nghiệp###Managing Expenses	1007	1214	4402	1278	878	1119	1126	4814	1247	1044	1376	1281	4704	1396	995	1246	1068	3877	1169	919	961	828	4126	912	755	993	999	7481	1455	1224	1562	1742	8359	2584	1752	7881	5063	3656	3585
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	10377	1118	27326	15661	8203	4573	-1111	30334	2536	8691	12986	6166	22270	14712	1552	4914	1093	7651	4225	-94	4027	-506	14969	17405	-240	-1361	-402	-2384	-1031	-1208	429	855	19228	6670	-75	55836	40919	19412	36228
Thu nhập khác###Other incomes	156	0	947	238	372	336	0	518	364	0	25	54	43	0	36	37	-30	293	24	59	195	14	438	71	4	363	0	74991	852	37659	36574	241	454	131	147	838	1517	1012	15541
Chi phí khác###Other Expenses	0	34	17	0	6	12	0	40	0	10	30	0	51	0	8	43	0	82	16	6	45	15	72	24	3	39	7	44142	65	24496	19530	50	618	465	37	182	455	75	13352
Lợi nhuận khác###Other profits	156	-34	929	238	367	325	0	479	364	-10	-5	54	-8	0	28	-6	-30	210	7	53	150	-1	366	48	1	324	-7	30850	787	13162	17043	191	-164	-334	110	656	1062	937	2188
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	10533	1084	28255	15899	8570	4897	-1111	30812	2900	8681	12981	6220	22262	14712	1580	4908	1063	7861	4232	-41	4177	-507	15335	17453	-239	-1036	-409	28466	-243	11954	17473	1046	19064	6336	35	56491	41981	20349	38416
Chi phí thuế TNDN###Corporate Income Tax Expenses	2107	224	5653	3180	1714	759	0	6170	580	1738	2602	1244	4460	2942	318	987	213	1573	827	0	746	0	3389	3840	0	0	0	6790	0	3123	3850	244	4549	1504	65	12108	4858	2575	3876
Chi phí thuế TNDN###Corporate Income Tax Expenses	2107	224	5653	3180	1714	759	0	6170	580	1738	2602	1244	4460	2942	318	987	213	1573	827	0	746	0	3389	3840	0	0	0	6790	0	3123	3850	244	4549	1504	65	12108	4858	2468	3440
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	436
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8426	861	22602	12720	6856	4138	-1111	24642	2320	6943	10379	4976	17802	11769	1262	3920	850	6289	3405	-41	3431	-507	11945	13613	-239	-1036	-409	21676	-243	8831	13623	802	14515	4832	-30	44383	37122	17774	34540
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.33	6.46	7.15	7.15	6.72	6.19	6.33	6.63	6.63	5.96	5.06	5.25	5.18	5.18	4.26	4.72	4.47	4.78	4.78	4.65	3.74	3.41	3.30	3.30	3.52	4.05	3.91	3.57	3.57	3.62	3.91	4.25	3.25	3.25	2.91	2.62	1.78	2.80	3.77
