CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q1 2006	 2005
Tài sản dài hạn khác###Other long term assets	22625	22882	22904	27049	27211	11274	11012	11012	12545	12337	65	65	65	131	131	343	453	282	475	534	623	614	614	639	654	757	740	748	465	431	380	360	360	312	305	276	165	165	150	170	14	500	500	14	14	102	203	203	394	448	198	168	168	715	736	83	0	0	0	0	25	0	0	249	674	0	1600	0	3017
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	704440	703782	703620	603042	575281	553101	541767	541766	495899	422042	376171	343846	350711	332194	291903	274989	277561	279253	288298	260210	268608	274786	274786	286821	287605	288587	292678	292678	291146	303626	297076	314557	314557	306917	292064	287987	260777	260749	259300	257100	256411	261789	260849	239449	228755	225154	224934	224711	218423	207203	200766	193270	193272	214354	209207	209684	207782	203125	188759	201270	207034	204776	204776	193242	192074	202843	170787	202843	129773
Nợ phải trả ###Liabilities	419981	420561	420557	387182	360032	328156	320551	320529	278826	207064	148668	119560	128899	120042	80662	53910	59793	61479	75152	84923	95383	94692	94692	108116	107937	105277	114597	114597	116192	134723	123517	145974	145974	143288	124210	121493	98454	98486	102344	103419	104248	115159	114219	94977	89925	86197	95439	95434	105646	93401	90404	88211	88835	132642	139748	145550	152091	148135	139475	156431	166293	166408	166500	159885	157701	167720	141540	167720	126589
Nợ ngắn hạn###Short term Liabilities	419981	420561	420557	387182	360032	328086	320481	320459	278676	206775	145893	119242	128581	113081	79661	53001	53221	54772	62210	59718	65977	65277	65277	70381	67236	60845	70642	70642	69092	72604	72520	106853	106853	109440	87272	98433	83819	83799	96044	95377	86191	86786	89106	91554	89687	81503	85805	85822	85516	73262	90246	88052	88676	132712	139695	145496	152037	148081	139453	156409	166270	166383	166475	159870	157682	167678	141498	167678	126567
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	70	70	70	150	289	2775	318	318	6960	1001	909	6572	6707	12943	25206	29407	29415	29415	37736	40701	44432	43954	43954	47100	62119	50997	39121	39121	33847	36938	23060	14635	14687	6300	8041	18057	28372	25112	3422	238	4694	9634	9612	20130	20139	158	159	159	-71	53	54	54	54	22	22	22	25	25	15	18	41	41	41	22
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55171	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	284459	283221	283063	215859	215249	224944	221216	221238	217073	214978	227503	224287	221811	212152	211241	221079	217769	217773	213146	175287	173224	180094	180094	178705	179667	183309	178081	178081	174954	168903	173560	168583	168583	163629	167854	166493	162323	162264	156955	153681	152163	146630	146630	144473	138829	138957	129495	129277	112776	113802	110362	105058	104437	81712	69459	64134	55692	54991	49284	44839	40741	38367	38276	33356	34373	35124	29248	35124	3185
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1075	4167	4167	4167	4167	4167	4167	4572	4572	4572	4360	4360	4459	4459	4459	4596	4596	4533	4533	4533	3272	3272	3272	3272	3272	1616	1616	568	1591	1152	4010	3495	202	1098	1098	-74	-1401	-3153	-1666	-1758	-2385	-1381	0	-2867	0	-20998
Vốn chủ sở hữu ###Owners equity	284459	283221	283063	215859	215249	224944	221216	221238	217073	214978	227503	224287	221811	212152	211241	221079	217769	217773	213146	175287	173224	180094	180094	177629	175500	179142	173914	173914	170786	164736	168988	164011	164011	159268	163493	162034	157864	157804	152360	149085	147630	142097	142097	141201	135558	135685	126224	126005	111160	112186	109795	103468	103286	77702	65964	63933	54594	53893	49357	46240	43895	40033	40033	35742	35754	0	32114	0	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303626	297076	314557	314557	306917	292064	287987	260777	260749	259300	257100	256411	261789	260849	239449	228755	225154	224934	224711	218423	207203	200766	193270	193272	214354	209207	209684	207782	203125	188759	201270	207034	204776	204776	193242	192074	202843	170787	0	129773



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	9250	122846	66935	13308	18502	24100	96400	37578	13535	17663	29050	101376	41850	17833	7861	34895	56927	14346	25645	13378	5219	126563	22405	17159	29597	57402	200178	42973	58370	38302	60532	176394	73579	39342	32632	30841	131236	41100	25662	24952	39521	152615	57463	47528	21167	26971	168581	66571	44311	34902	22797	150814	64398	43168	19616	23633	121086	43272	18213	29282	30319	82795	29779	13569	39447	16345	73995	62058
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19673	0	14039	5634	0	5331	5331	0	0	0	882	0	10	871	0	16	0	0	16	0	9	0
Doanh thu thuần###Net Sales	9250	122846	66935	13308	18502	24100	96400	37578	13535	17663	29050	101376	41850	17833	7861	34895	56927	14346	25645	13378	5219	126508	22405	17159	29542	57402	200178	42973	58370	38302	60532	176394	73579	39342	32632	30841	131236	41100	25662	24952	39521	152615	57463	47528	21167	26971	148908	66571	30272	29268	22797	145483	59067	43168	19616	23633	120205	43272	18202	28411	30319	82779	29779	13569	39431	16345	73985	62058
Giá vốn hàng bán###Cost of goods sold	6536	92163	50720	10528	13941	17018	77181	29299	9223	15026	25059	83727	37387	14150	6486	26741	41118	7605	21186	10633	3364	94103	19108	12039	17473	45483	152291	34200	44840	25216	48035	139395	64115	30679	22592	22009	84897	29866	17236	9810	27969	96571	38227	34809	11973	10992	78905	42969	16648	8309	10980	68234	23551	27656	8220	8807	82372	32353	12779	15914	21328	63849	24509	11591	13095	5287	37600	43253
Lợi nhuận gộp###Gross profit	2715	30683	16216	2780	4561	7082	19219	8279	4311	2637	3991	17649	4463	3683	1376	8154	15809	6742	4459	2745	1855	32405	3297	5120	12069	11919	47887	8773	13530	13087	12497	36999	9464	8663	10040	8832	46339	11234	8426	15143	11553	56044	19237	12719	9194	15980	70002	23602	13625	20959	11816	77249	35516	15512	11396	14826	37833	10919	5423	12497	8992	18930	5270	1978	26336	11058	36386	18805
Doanh thu hoạt động tài chính###Financial activities Revenues	1825	2770	842	942	401	517	3979	1750	1051	516	662	3980	345	666	2594	375	11423	1431	340	9159	493	4277	2282	645	1255	95	3796	1928	510	921	437	6365	3545	634	1553	633	1269	455	38	685	77	4491	751	454	2575	800	5819	2259	930	1027	1647	2073	147	1356	447	123	7933	885	396	581	571	9617	3475	1374	4768	863	4401	1148
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	0	0	0	0	7	0	6	1	0	68	31	8	29	0	-900	-578	0	-322	0	345	224	7	115	0	-1004	-734	0	-270	0	55	7	647	-599	0	3612	675	1382	1627	15	-1479	-1408	63	60	54	1149	250	-23	237	685	9634	792	-199	1367	2768	475	468	1	5	1	219	52
Chi phí bán hàng###Selling Expenses	366	5746	4233	162	783	568	476	475	0	1	0	212	90	39	51	32	188	41	70	20	56	478	102	230	111	36	735	260	169	206	100	694	107	185	360	43	622	40	151	402	29	698	326	190	125	423	1948	901	809	141	96	2702	939	226	456	1467	2188	637	893	444	324	1347	556	89	702	336	2397	67
Chi phí quản lý doanh nghiệp###Managing Expenses	2559	12435	4495	2871	2793	2342	11294	3100	3011	2967	2188	12376	2273	3267	2578	4258	13020	2939	4286	2967	2849	17141	4977	2946	4088	5129	23897	6130	6042	5090	6635	20666	7714	4301	4681	3970	16500	4353	3624	4289	4247	19135	6496	4314	4799	4246	16458	7052	3821	2464	3098	14026	5265	3730	2704	2327	8312	2638	1081	2711	1882	10952	5604	1667	3680	1373	7870	10092
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1614	15272	8329	689	1386	4690	11428	6453	2352	185	2465	9033	2445	1037	1339	4239	13957	5161	434	8889	-557	19964	1078	2589	9447	6849	26706	4088	7823	8597	6198	23008	5922	4811	6822	5452	30432	7290	4041	11735	7354	37091	12491	7287	5218	12095	58895	19315	9861	19321	10216	61445	29209	12935	8445	10469	25632	7737	4044	8557	4588	15774	2117	1594	26716	10210	30300	9742
Thu nhập khác###Other incomes	16	325	161	29	-99	234	4092	616	304	1059	2179	13917	10268	122	340	66	385	671	44	-5899	6117	3928	2191	385	848	504	787	214	52	338	183	3233	354	304	2488	86	738	66	463	98	44	760	-2532	288	3004	0	2008	232	8	1502	266	664	93	234	177	161	342	68	152	23	99	400	230	53	117	70	1051	610
Chi phí khác###Other Expenses	56	83	50	0	28	5	184	174	65	6	5	868	550	0	318	0	96	5	193	424	131	246	12	234	0	0	21	0	0	21	0	311	3	99	209	0	487	79	127	277	4	12	-248	12	249	0	3170	14	284	2599	100	363	100	232	5	25	1092	12	243	834	2	1	18	1	17169	5371	18242	205
Lợi nhuận khác###Other profits	-40	242	111	29	-127	229	3908	442	238	1053	2174	13048	9718	122	21	66	289	666	-150	-6323	5985	3682	2179	151	848	504	765	214	52	316	183	2922	351	206	2279	86	252	-13	335	-179	41	747	-2284	276	2756	0	-1162	218	-276	-1098	166	301	-8	2	172	136	-750	56	-91	-812	97	399	212	53	-17052	-5301	-17191	405
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1574	15514	8440	719	1259	4918	15336	6895	2591	1238	4639	22082	12163	1159	1360	4305	14247	5827	285	2566	5428	23646	3258	2740	10295	7353	27471	4303	7874	8913	6381	25929	6273	5017	9102	5538	30683	7277	4376	11556	7394	37838	10207	7563	7974	12095	57733	19533	9584	18223	10382	61747	29202	12936	8617	10605	24883	7793	3953	7745	4685	16173	2329	1647	9664	4910	13109	10147
Chi phí thuế TNDN###Corporate Income Tax Expenses	335	2817	1549	108	-51	1190	4452	2731	496	268	962	4578	2504	248	332	874	2970	1099	98	504	1124	5027	593	611	2199	1625	5988	955	1744	1884	1405	6340	1530	1277	2165	0	7440	0	0	0	1861	12384	6851	1621	1417	2496	13817	4203	2372	4342	2725	6309	-1867	3235	1789	2948	6725	2014	1086	2402	1311	4327	431	461	2725	1374	3659	2974
Chi phí thuế TNDN###Corporate Income Tax Expenses	362	2798	1595	108	-93	1188	4532	2785	505	285	962	4513	2504	248	332	810	2748	1036	-4	462	1108	4876	506	623	2118	1630	6117	1057	1700	1925	1434	6519	1588	1252	-1628	1482	7083	1842	1067	2780	1375	12871	7337	1621	1505	2407	14006	4012	2243	4981	2595	6409	-2584	4051	1789	2948	6725	2014	1086	2402	1312	4327	431	461	2725	1375	3659	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-26	19	-46	0	42	1	-80	-54	-9	-17	0	65	0	0	0	65	222	63	102	41	16	152	87	-12	81	-5	-129	-102	43	-41	-29	-179	-58	25	3793	-114	357	-9	35	-156	486	-486	-486	0	-88	89	-189	191	129	-638	129	-100	717	-817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1301	12683	6819	575	1461	3730	10773	4084	2086	970	3679	17502	9657	911	1028	3430	11277	4728	187	2062	4304	18619	2665	2129	8096	5728	21484	3347	6130	7029	4977	19589	4743	3740	6936	4170	23243	5444	3274	8932	5533	25454	3356	5942	6556	9600	43916	15330	7212	13881	7657	55437	31069	9702	6828	7656	18157	5779	2867	5343	3373	11846	1897	1186	6939	3535	9450	7173
---Cac Chi So Tai Chinh---																																																																				
EBITDA	-0.08	-0.26	-0.26	-0.80	-0.33	-0.24	-0.21	-0.21	0.23	0.10	0.57	0.45	0.45	-1.01	0.07	0.84	0.40	0.40	0.36	-0.03	-0.12	-0.01	-0.01	-0.04	-0.07	0.46	0.60	0.60	0.89	0.88	0.58	0.57	0.57	0.55	0.55	0.75	0.71	0.71	0.74	0.87	0.94	0.89	0.89	1.06	1.10	0.96	1.04	1.04	0.87	0.71	0.98	0.97	0.97	1.21	1.43	1.56	1.59	1.59	1.55	1.34	1.15	0.78	0.78	0.23	-2.15	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.80	16.03	16.03	14.47	16.99	17.07	19.60	19.60	18.70	16.59	14.33	15.84	15.84	14.14	14.21	15.84	16.23	16.23	14.02	12.38	14.40	14.96	14.96	14.50	14.72	14.56	14.09	14.09	13.49	12.27	13.43	9.24	9.24	8.24	8.48	8.05	7.72	7.72	7.24	7.28	6.59	4.94	4.94	7.79	8.13	14.37	17.75	17.75	16.39	21.26	20.30	15.70	15.70	19.47	14.66	6.12	5.92	5.92	10.26	4.99	8.22	35.49	35.49	29.99	28.42	0.00	0.00	0.00
