CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	 2012	 2011	 2010
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	157916	145693	151092	151092	162936	157032	170506	165280	173978	184553	177513	169077	158965	158330	180558	157937	163391	170733	176863	175114	160345	152128	145097	197308	217782	189942	167611	162731	163663	177627	195474	217992	207694	207683
Tài sản dài hạn khác###Other long term assets	8754	8851	9092	9092	10216	11595	11705	12161	8787	8902	9020	9138	9250	2584	2655	2725	2328	2353	2353	2434	2522	2556	2663	2663	5764	6097	3326	3617	3507	6052	6735	9787	12612	8723
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	391884	391727	395090	395066	395771	391093	389042	392004	394761	449019	455020	441617	455050	454039	450021	442237	429410	444138	451600	443598	430358	447966	449590	481313	491282	598836	558646	585452	577892	598950	682779	719475	733789	719841
Nợ phải trả ###Liabilities	215489	229234	229092	231080	218936	223642	220102	231285	231319	260461	310494	309964	326661	324872	319369	319766	369663	375491	371863	371850	377227	400824	406593	407405	400217	529585	513473	551115	546442	531370	518050	518509	492313	480772
Nợ ngắn hạn###Short term Liabilities	206584	220343	220099	222088	210117	205123	199645	201465	201499	230581	270487	268468	277804	276291	262395	264202	306736	317493	305581	303397	308794	321881	327540	258357	248003	312249	354184	391350	356506	341624	419675	421325	382018	349133
Nợ dài hạn###Long term Liabilities	8906	8891	8992	8992	8819	18519	20458	29820	29820	29880	40008	41496	48857	48580	56974	55564	62926	57997	66282	68453	68433	78943	79054	149048	152213	217336	159289	159766	189937	189746	98375	97184	110294	131639
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	176395	162494	165999	163986	176836	167451	168939	160719	163442	188559	144525	131653	128388	129167	130652	122471	59747	68648	79737	71748	53131	47141	42997	73908	91065	69251	45173	26750	31450	67580	161668	200966	241476	239068
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	125	0	0	350	350	0	0	0	0	0	0	180	0	2	2	263	191	300	479	479	1593	28	290	0	670	747	394	1181	903	283
Vốn chủ sở hữu ###Owners equity	176395	162494	165999	163986	176711	167451	168939	160369	163092	188559	144525	131653	128388	129167	130652	122291	59747	68646	79735	71486	52940	46841	42518	73429	89472	69223	44883	26750	30780	66834	161274	199785	240573	238786
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7586	0	0	3061	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	23137	23435	122280	24498	32828	29966	34988	201848	37758	49377	50862	63852	213972	62313	60247	48249	43172	236034	67315	55900	64121	50239	448362	110842	78783	156965	94493	701804	162191	174479	924147	1225092	881737	950177
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	18	0	0	18	0	0	0	0	0	0	70	0	4	67	0	1	0	1	0	0	576	576	0	0	0	5038	0	729	3514	4338	4852	6384
Doanh thu thuần###Net Sales	23137	23435	122262	24498	32828	29948	34988	201848	37758	49377	50862	63852	213901	62313	60243	48182	43172	236034	67315	55899	64121	50239	447786	110266	78783	156965	94493	696765	162191	173750	920633	1220754	876885	943792
Giá vốn hàng bán###Cost of goods sold	23697	17896	112744	21576	29702	29850	31622	189634	38123	44338	50396	56777	204062	61623	57674	48103	36610	228625	69690	51462	63495	44249	418195	103590	76355	144247	88574	661574	156326	163610	870839	1171064	813259	889293
Lợi nhuận gộp###Gross profit	-561	5539	9518	2922	3126	98	3365	12214	-365	5039	466	7075	9839	691	2570	79	6562	7409	-2375	4437	626	5990	29591	6675	2427	12718	5920	35191	5865	10140	49794	49690	63626	54499
Doanh thu hoạt động tài chính###Financial activities Revenues	1152	2961	2807	1099	6315	-8357	8767	69817	1609	6350	7295	89	3098	1565	165	1064	232	8987	3075	223	4188	530	23563	15305	6230	3798	3694	6775	4264	4986	16056	39128	28648	15447
Chi phí tài chính###Financial Expenses	6453	1477	10479	12094	1375	-1857	6744	16157	2252	2632	2312	8962	22170	4546	5910	7560	2837	15773	4051	2079	5224	3265	23328	10972	4117	4955	5263	33432	5468	5580	37582	58169	46771	31858
Chi phí bán hàng###Selling Expenses	1008	881	3611	1060	810	940	778	3810	1060	862	1052	836	4175	1469	814	1039	834	5598	1464	1196	2050	843	6534	1508	990	2365	1535	9972	2717	2596	13837	18465	13705	10946
Chi phí quản lý doanh nghiệp###Managing Expenses	2349	4361	15222	5486	3103	3158	828	45896	31814	9342	3006	4509	36682	8034	10224	17962	2897	671	-9536	-4243	7018	3973	18890	5157	3226	6492	5447	31591	5337	8437	34968	31877	29654	26742
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	8366	7716	1161	-9099	10056	-2062	2617	35659	-25276	11814	12539	2977	-5267	6490	315	-18173	4300	29897	8802	18833	1473	5470	19398	7032	7164	8464	-575	-33028	-3691	4028	-20537	-4027	2143	401
Thu nhập khác###Other incomes	22	74	217	167	1	3	26	996	270	2	341	384	85193	263	0	84865	59	454	423	22	8	1	1554	230	55	269	860	1870	321	692	313	14817	5563	84432
Chi phí khác###Other Expenses	42	0	124	0	8	1	0	223	11	3	0	36	2540	3	6	4	0	1245	0	20	1187	0	263	43	96	160	35	572	195	271	289	589	2258	65170
Lợi nhuận khác###Other profits	-19	74	93	167	-7	2	26	773	258	-1	341	348	82653	260	-6	84861	59	-791	423	2	-1179	1	1292	187	-41	109	826	1298	125	421	24	14228	3305	19262
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8346	7790	1254	-8932	10049	-2060	2643	36432	-25017	11813	12880	3325	77385	6750	309	66688	4359	29106	9224	18835	294	5471	20690	7219	7123	8573	250	-30470	-3565	4449	-15245	10201	5448	19663
Chi phí thuế TNDN###Corporate Income Tax Expenses	137	184	3065	1235	1273	17	438	-3251	67	0	23	24	17114	116	12	16978	7	213	65	46	58	44	479	75	26	108	93	691	194	299	-161	204	418	5275
Chi phí thuế TNDN###Corporate Income Tax Expenses	129	31	216	39	3	17	54	122	67	0	23	24	17114	116	12	16978	7	213	65	46	-44	44	479	75	26	108	93	691	194	299	773	204	418	5275
Chi phí thuế TNDN###Corporate Income Tax Expenses	9	153	2850	1196	1270	0	384	-3373	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	-933	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8208	7607	-1809	-10166	8776	-2077	2206	39686	-25083	11813	12857	3301	60277	6639	297	49710	4352	28902	9159	18789	236	5427	20220	7144	7097	8465	157	-30772	-3760	4150	-15085	9997	5030	14388
---Cac Chi So Tai Chinh---																																		
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.60	3.70	4.80	4.80	4.80	5.70	5.00	5.30	5.30	5.40	5.20	6.30	7.10	7.10	4.80	4.70	5.00	4.40	4.40	3.70	7.20	9.30	5.50	5.50	2.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
