CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335505	353950	332402	332402	368330	338143	337347	318663	318823	317080	318879	0	307899	307899	301475	0	247599	203486	203486	189985	188071	166110	172111	172111	155856	135599	141551	176377	176377	183745	180785	164440	151095	104818



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	140934	33088	193049	33156	86734	33093	40066	114954	24741	23131	27572	39511	331912	105694	124161	69954	32104	194125	54249	49280	61498	29098	166186	41268	51468	40627	32823	223481	63404	63051	58270	38757	245389	54612	54835	62669	73273	238489	62184	67803	61524	47018	210309	84255	47844	32708	45501	207031	59963	52530	56723	37816	205954	48944	46828	56009	54173	182330	46937	46066	45165	44163	148397	64537
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	140934	33088	193049	33156	86734	33093	40066	114954	24741	23131	27572	39511	331912	105694	124161	69954	32104	194125	54249	49280	61498	29098	166186	41268	51468	40627	32823	223481	63404	63051	58270	38757	245389	54612	54835	62669	73273	238489	62184	67803	61524	46978	210309	84255	47844	32708	45501	207031	59963	52530	56723	37816	205954	48944	46828	56009	54173	182330	46937	46066	45165	44163	148397	64537
Giá vốn hàng bán###Cost of goods sold	130823	28778	169948	27675	80872	26839	34562	121279	46356	19032	22515	33375	305738	97251	114845	64525	29117	171119	47384	43835	55671	24228	136764	34565	44275	32819	26391	196689	55695	56627	51884	32483	217475	47363	48600	55579	65933	206851	55953	60880	52050	37808	182303	74607	42803	26704	38189	179927	52634	45768	49890	31636	182701	42780	40708	50595	48618	153011	39906	36259	39041	37806	123967	53799
Lợi nhuận gộp###Gross profit	10111	4309	23101	5481	5862	6254	5504	-6324	-21616	4098	5057	6136	26175	8443	9316	5429	2987	23006	6865	5445	5826	4871	29423	6704	7193	7808	6433	26792	7709	6423	6386	6274	27913	7249	6234	7090	7341	31639	6231	6924	9474	9170	28006	9648	5042	6004	7312	27104	7329	6763	6832	6180	23253	6164	6120	5415	5554	29319	7032	9807	6124	6357	24429	10738
Doanh thu hoạt động tài chính###Financial activities Revenues	4	109	65	16	17	16	17	247	203	18	13	13	92	15	20	46	10	72	3	46	10	13	38	5	7	8	17	42	11	7	12	12	96	28	13	22	33	87	20	13	26	28	222	32	33	66	90	333	22	174	34	102	516	169	25	282	40	210	6	26	158	20	122	44
Chi phí tài chính###Financial Expenses	8520	2755	16195	3773	4243	4619	3560	19372	5399	4459	5372	4142	16804	4640	4718	5063	2382	15512	4338	3490	3923	3761	15205	3873	3914	3822	3597	16517	4028	4097	4169	4223	18026	4893	4251	4670	4212	18223	4567	4837	4548	4271	13906	4914	4024	2746	2222	5811	1570	1533	1206	1502	2780	741	1056	354	630	7262	1958	2423	1676	1205	6407	4429
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1596	1641	7394	1703	1797	1974	1920	5176	2166	1966	-915	1959	7894	2607	2973	1761	554	8216	2243	1867	2073	2034	13068	2691	3292	3943	2817	9079	2872	2133	2063	2010	8469	2360	1846	2257	2006	12537	1290	1783	4813	4651	7785	1917	1558	2337	1973	6631	0	1554	1770	1626	6343	1754	1421	1712	1456	5137	1199	1217	1572	1150	4117	5133
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-1	21	-423	21	-161	-323	40	-30626	-28977	-2310	613	48	1568	1212	1645	-1349	61	-651	286	134	-158	-912	1187	145	-5	52	35	1238	819	201	166	52	1514	23	150	185	1155	966	394	316	140	275	6537	2850	-508	987	3208	14994	4100	3850	3890	3154	14646	3838	3669	3631	3509	17131	3882	6194	3034	4022	14027	1221
Thu nhập khác###Other incomes	262	0	626	0	293	334	0	4319	0	4319	0	0	3966	0	0	4473	0	1230	0	0	278	952	314	0	300	0	14	0	0	0	0	0	171	166	0	5	0	192	20	0	0	12	2314	1100	1009	0	205	19	7	0	0	12	103	27	0	76	0	123	123	0	0	0	12	270
Chi phí khác###Other Expenses	184	0	101	2	98	1	0	2588	1	1985	602	0	4038	1003	1033	2506	2	118	5	69	35	8	232	3	229	0	0	678	599	75	4	0	483	3	39	27	414	57	0	48	-9	19	1091	1000	86	5	0	8	0	4	4	0	70	70	0	0	0	65	-88	135	19	0	20	327
Lợi nhuận khác###Other profits	78	0	525	-2	195	332	0	1731	-1	2334	-602	0	-71	-1003	-1033	1966	-2	1112	-5	-69	243	944	82	-3	71	0	14	-678	-599	-75	-4	0	-312	162	-39	-22	-414	135	20	-48	9	-7	1224	101	923	-5	205	11	7	-4	-4	12	34	-42	0	76	0	57	211	-135	-19	0	-7	-57
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	77	21	102	19	34	10	40	-28895	-28978	25	10	48	1497	209	612	617	59	462	281	64	85	32	1270	142	66	52	49	561	220	126	162	52	1202	185	111	163	742	1101	414	269	149	269	7761	7761	416	982	3413	15006	4108	3846	3886	3166	14680	3796	3669	3707	3509	17188	4092	6059	3016	4022	14020	1164
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	8	17	0	22	5	12	1067	204	325	526	12	97	56	13	21	6	279	31	15	11	11	206	120	38	36	12	315	46	31	0	0	310	0	0	0	72	971	369	52	123	427	1877	513	481	486	396	1869	508	459	463	439	325	0	0	0	325	0	22
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	8	17	0	22	5	12	1067	204	325	526	12	97	56	13	21	6	279	31	15	11	11	206	120	38	36	12	315	46	31	48	190	310	75	126	37	72	971	369	52	123	427	1877	513	481	486	396	1869	508	459	463	439	325	0	0	0	325	0	22
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	77	21	102	19	34	10	32	-28912	-28978	3	6	36	430	5	287	91	47	365	225	51	63	25	990	111	52	40	38	355	100	88	126	41	887	139	81	116	551	791	339	143	112	197	6790	2582	364	859	2986	13129	3594	3365	3400	2770	12811	3288	3210	3244	3070	16863	4092	6059	3016	3696	14020	1141
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.13	0.12	-0.11	-0.11	0.13	0.40	0.26	0.11	0.11	0.03	-0.16	-0.35	-0.05	-0.05	0.16	-0.09	0.06	0.00	0.00	0.32	-0.07	-0.13	0.06	0.06	-0.08	0.34	0.50	0.85	0.85	1.07	0.98	1.01	0.13	0.13	0.49	0.43	0.68	0.58	0.58	0.54	0.80	0.93	1.29	1.29	1.28	1.36	1.65	1.53	1.53	1.62	1.34	0.94	0.87	0.87	0.80	0.80	0.83	0.91	0.91	0.86	1.04	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.50	2.70	3.00	3.00	3.00	3.00	3.30	3.30	3.30	2.80	2.40	3.70	4.50	4.50	5.00	6.10	5.70	5.20	5.20	4.80	5.60	4.50	4.60	4.60	5.40	6.20	6.00	6.30	6.30	6.70	6.20	8.00	5.48	5.48	4.34	5.48	4.44	5.76	5.76	5.56	6.04	6.75	9.38	9.38	6.52	7.63	10.49	12.54	12.54	16.02	23.96	13.79	14.70	14.70	16.24	10.89	9.26	9.93	9.93	11.24	7.92	0.00	0.00	0.00
