CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	 2013	 2012	 2011
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	75618	31028	218200	72609	40150	54480	50961	198001	99541	35030	33869	29561	189766	79606	41738	40455	28033	192844	49317	38933	54441	50153	197467	38294	64405	39826	155438	188261	172257	82483
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	1295	0	0	0	1295	1078	1078	0	0	0	0	0	0	0	0	198	198	0	0	0	2629	2629	0	0	0	0	0	0
Doanh thu thuần###Net Sales	75618	31028	216905	72609	40150	54480	49667	196923	98462	35030	33869	29561	189766	79606	41738	40455	28033	192646	49119	38933	54441	50153	194838	35665	64405	39826	155438	188261	172257	82483
Giá vốn hàng bán###Cost of goods sold	22592	11062	84927	31100	14612	18903	20313	90757	41186	17576	17173	14941	113783	57276	22669	19893	14019	103036	25397	18906	29493	28837	110580	-1849	43745	34156	82722	98295	103653	27680
Lợi nhuận gộp###Gross profit	53026	19966	131978	41509	25538	35577	29354	106166	57276	17455	16696	14621	75983	22330	19069	20562	14013	89610	23722	20026	24948	21316	84259	37513	20660	5670	72716	89966	68605	54803
Doanh thu hoạt động tài chính###Financial activities Revenues	4358	11480	16354	4951	3490	4329	3584	34414	18951	7920	2179	5363	17280	4738	3520	7112	1746	9756	2789	2332	3521	1429	35729	29292	797	5409	1200	3390	12320	16517
Chi phí tài chính###Financial Expenses	0	0	480	89	176	208	7	341	0	259	79	2	829	73	199	605	137	718	146	154	171	247	1640	193	223	340	6810	15748	18925	18465
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	21	19	2	0	0	155	-81	120	20	97	491	31	184	194	84	2140	452	594	746	5578	11418	6987	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5143	5706	23631	6219	5878	5782	5752	20927	5491	4818	4804	5814	17588	5140	4997	3317	4133	17209	5968	4384	3151	4491	21414	8473	4490	4028	14620	14722	13766	11160
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	43570	20845	116907	41181	22766	33937	27288	119391	70796	20434	13647	14413	74832	22004	17371	23611	11487	81165	20370	17744	24920	18028	94949	57865	16150	5965	46909	51467	41248	41696
Thu nhập khác###Other incomes	0	1	368	0	1	361	5	121	72	0	49	0	800	574	198	7	22	578	94	334	131	20	365	25	299	9	350	1031	2301	1568
Chi phí khác###Other Expenses	743	652	2827	725	468	824	811	2916	1328	402	818	368	1598	531	349	441	277	3000	1087	406	671	455	2670	377	359	292	1549	1086	2298	582
Lợi nhuận khác###Other profits	-743	-650	-2460	-725	-466	-463	-805	-2794	-1256	-402	-769	-368	-798	42	-151	-434	-255	-2422	-994	-72	-540	-435	-2305	-352	-60	-283	-1199	-55	2	986
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	42827	20195	114447	40456	22300	33474	26482	116597	69540	20032	12878	14045	74034	22046	17220	23177	11232	78743	19377	17671	24380	17593	92643	57513	16090	5682	45710	51412	41250	42682
Chi phí thuế TNDN###Corporate Income Tax Expenses	10314	3208	24681	8189	4513	6698	5282	20295	11578	3254	3035	2352	14135	4490	3386	4020	2237	16112	4263	3527	4873	3574	20097	13136	3318	-878	9357	11943	8655	6830
Chi phí thuế TNDN###Corporate Income Tax Expenses	7867	3208	23882	7481	4513	6698	5282	20295	11578	3254	3035	2352	14135	4490	3386	4020	2237	16112	4263	3527	4873	3574	20097	13136	3318	-282	9357	11943	8582	6847
Chi phí thuế TNDN###Corporate Income Tax Expenses	2447	0	800	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-596	0	0	74	-16
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	32853	17147	92776	34638	17841	26988	21573	100428	60865	18213	9843	11693	64009	20476	14799	19378	8996	62706	15114	14144	19507	14019	73734	44377	12772	6560	40482	39470	32595	35851
---Cac Chi So Tai Chinh---																														
EBITDA	0.91	1.09	1.06	1.06	0.41	0.28	0.16	0.05	0.05	0.23	0.20	0.13	0.12	0.12	-0.03	0.15	0.38	0.46	0.46	0.41	-1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.10	13.80	20.10	20.10	23.27	25.88	17.33	12.92	12.92	12.27	12.18	13.28	12.14	12.14	12.06	12.06	11.95	12.64	12.64	12.43	10.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
