CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	2086453	1835585	1812066	1812066	2048903	2290325	2325560	2312308	2312308	2302187	2506641	2414673	2404592	2404592	2387129	2376680	2367049	2361202	2361202	2414164	2025650	423133	422160	422160	286167	286167	215997
Tài sản dài hạn khác###Other long term assets	100387	103111	107218	107218	178	912	828	1098	1098	1436	67	374	3019	3019	376	1671	993	317	317	667	216	216	216	216	0	0	142
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	10267595	8656399	8197816	8197816	7522941	6957967	6309953	5214589	5214589	5231125	5173405	4856399	4971351	4971351	4806466	4736767	4643876	4582518	4582518	4463392	4105417	1997465	2272937	2272937	1732355	1732355	1594641
Nợ phải trả ###Liabilities	4089869	3935644	3727978	3727978	3066610	2403270	1820998	889647	889647	948398	648559	491263	633271	633271	413770	169061	216035	300543	300543	276178	204418	365768	663029	663029	1002029	1002029	1117109
Nợ ngắn hạn###Short term Liabilities	2998538	2848112	2238234	2238234	1763256	1280085	761806	384388	384388	443590	156885	146052	363059	363059	220912	123310	170283	255292	255292	272177	201200	361050	658593	658593	990501	990501	1110562
Nợ dài hạn###Long term Liabilities	1091331	1087531	1489744	1489744	1303354	1123185	1059192	505259	505259	504809	491674	345211	270211	270211	192858	45751	45751	45251	45251	4001	3219	4719	4436	4436	11529	11529	6547
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	6177726	4720755	4469838	4469838	4456331	4554697	4488955	4324942	4324942	4282726	4524846	4365136	4338080	4338080	4392697	4567706	4427842	4281974	4281974	4187213	3900999	1631696	1609908	1609908	635058	730325	437391
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	6177726	4720755	4469838	4469838	4456331	4554697	4488955	4324942	4324942	4282726	4524846	4365136	4338080	4338080	4392697	4567706	4427842	4281974	4281974	4187213	3900999	1631696	1609908	1609908	635058	730325	437391
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95267	0	40141
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1172137	766999	1725004	743931	493946	232228	254899	831265	159724	150505	264522	256514	1947392	483836	490984	613085	359208	1282670	464935	481843	130416	205198	1144740	307789	296367	1140375	59159
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	2854	0	0	823	2031	3051	1651	491	0	909	2523	1745	755	0	23	0	0	0	0	0
Doanh thu thuần###Net Sales	1172137	766999	1725004	743931	493946	232228	254899	828410	159724	150505	263699	254483	1944341	482185	490493	613085	358299	1280148	463189	481088	130416	205175	1144740	307789	296367	1140375	59159
Giá vốn hàng bán###Cost of goods sold	965606	584157	1085300	474255	282866	154742	173436	584604	119019	107047	177587	180951	1397267	361560	359039	447311	226065	984463	350317	354963	109000	170184	898177	261909	208978	824670	45895
Lợi nhuận gộp###Gross profit	206532	182842	639705	269676	211080	77486	81463	243806	40704	43458	86112	73532	547073	120625	131455	165773	132234	295685	112873	126126	21416	34992	246562	45880	87389	315704	13264
Doanh thu hoạt động tài chính###Financial activities Revenues	83072	22968	78284	26534	31853	16782	3116	43825	10216	15070	10200	8339	20928	2513	6644	5408	6362	33155	25478	2118	4130	1429	6617	3246	1887	2583	44
Chi phí tài chính###Financial Expenses	16076	18734	44335	21569	9627	12679	460	4204	2327	360	0	1518	1760	1001	492	231	-452	4038	576	4	0	3457	3196	-538	2376	0	186
Chi phí bán hàng###Selling Expenses	7655	8594	49131	30378	12810	4116	1826	13141	5697	2898	1325	3221	9491	1639	3099	1971	2782	7643	2410	2295	1274	1664	2326	685	178	12232	37
Chi phí quản lý doanh nghiệp###Managing Expenses	9215	13008	33668	10422	9301	6756	7188	29619	7523	7353	8457	6287	15728	2720	5009	5876	2188	24150	8659	5400	4748	5344	15568	4246	2308	10951	6954
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	259911	189244	673160	271784	220861	84868	95647	318533	49477	75768	104976	88312	584939	137573	138304	172735	139762	297162	120394	129555	186640	26930	233683	45161	84675	295104	6132
Thu nhập khác###Other incomes	1997	1453	6094	32	2185	714	3164	6904	3060	2853	0	990	5103	0	3656	1263	183	167716	23	629	51	378	551	31	0	1192	3151
Chi phí khác###Other Expenses	22	169	293	44	76	91	83	7819	83	1083	0	6653	86	1	85	0	-4052	4408	3519	637	0	252	932	115	0	8679	3208
Lợi nhuận khác###Other profits	1975	1284	5801	-12	2109	623	3081	-915	2978	1771	0	-5663	5017	-1	3571	1263	4236	163308	-3496	-8	51	126	-381	-85	0	-7487	-57
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	261886	190528	678961	271772	222970	85491	98728	317618	52455	77539	104976	82649	589956	137572	141875	173999	143998	460471	116899	129547	186691	27055	233302	45076	84676	287787	6071
Chi phí thuế TNDN###Corporate Income Tax Expenses	42550	15735	139032	66084	42725	14311	15642	49495	7699	10152	17308	14337	106966	23555	26633	32873	24494	57441	21752	26451	3915	5267	51721	9823	18571	64994	177
Chi phí thuế TNDN###Corporate Income Tax Expenses	42187	34199	119608	46899	42774	14293	15371	49670	6766	11435	17001	14468	106891	23422	26708	32354	24997	57542	21402	26903	3915	5267	51938	9823	18571	64994	177
Chi phí thuế TNDN###Corporate Income Tax Expenses	363	-18465	19425	19185	-49	18	270	-175	932	-1283	307	-131	75	133	-75	520	-503	-101	350	-451	0	0	-216	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	226648	174941	540408	205825	180367	71297	83189	268714	44924	67552	87668	68390	482992	114017	115243	141125	119506	404461	95147	103095	182775	21788	200923	35254	66104	277920	5895
---Cac Chi So Tai Chinh---																											
EBITDA	1.25	1.59	0.58	0.58	0.94	1.09	0.61	0.44	0.44	0.18	0.04	-0.03	-0.16	-0.16	0.71	1.11	1.42	2.18	2.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	20.74	16.06	31.79	31.79	23.10	19.45	20.93	16.44	16.44	22.27	19.33	18.40	18.80	18.80	14.27	16.34	14.93	14.38	14.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
