CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Doanh thu thuần###Net Sales	1034625	1112513	4728777	1275785	1155948	1150997	1142322	4656770	1261991	1085902	1145781	1163046	4285919	1177086	1051231	1048922	1008764	4026234	1087316	953845	986032	996482	4073560	1071129	1005068	1015525	979279	4377212	1073050	1108411	1103726	1068144	4280825	1126877	1051671	1063104	1040112	4404126	1033570	1083622	1099642	1188527	4248930	1128357	1077503	1014760	1018633	3587445	975021	873925	888238	850257	2890193	790910	733625	1355694	658657	2973006	2072697	1948219
Giá vốn hàng bán###Cost of goods sold	992977	1071689	4549080	1223950	1110128	1101473	1105378	4472547	1209436	1040091	1094165	1128752	4155082	1147493	1016893	1013005	977709	3906832	1057387	923728	954443	971283	3941818	1041514	977659	972802	947285	4238773	1029398	1075773	1072773	1036947	4155076	1096011	1018004	1033448	1008462	4272875	1002723	1049101	1068317	1153683	4113844	1101390	1047885	973924	981364	3480071	955363	844302	861000	819402	2778796	757533	705744	1306709	633860	2858444	2035714	1909208
Lợi nhuận gộp###Gross profit	41648	40823	179696	51835	45821	49524	36944	184222	52555	45812	51616	34294	130837	29593	34338	35916	31056	119402	29929	30117	31589	25198	131741	29614	27410	42724	31993	138438	43651	32638	30952	31197	125749	30866	33667	29656	31650	131251	30847	34521	31325	34844	135086	26967	29618	40836	37270	107375	19658	29622	27239	30855	111398	33378	27881	48985	24797	114562	36983	39011
Doanh thu hoạt động tài chính###Financial activities Revenues	1965	1806	8077	1932	1952	2151	2043	8021	2171	1771	1817	2268	6931	2121	1753	1326	1798	1081	385	254	280	423	1420	327	329	377	387	2391	629	423	659	681	3050	775	751	627	897	4355	951	1122	886	1471	6043	1834	1446	1527	2126	6315	1316	2128	1022	1849	3655	743	1013	1897	851	7430	8741	8590
Chi phí tài chính###Financial Expenses	4009	3972	16806	5136	4552	3717	3401	13879	3628	3450	3671	3133	13605	3328	2351	2894	4524	15377	5427	3059	3311	3902	15368	4063	5435	3216	2654	10962	2347	3648	2015	2952	10555	3152	3184	2234	1802	13076	3287	3529	3167	1711	5633	360	1422	1276	2575	4151	547	552	839	2212	1806	508	545	749	321	4028	2463	3871
Chi phí bán hàng###Selling Expenses	33857	33854	147794	43399	37738	40731	30294	143945	42458	35495	39902	26144	108363	24688	26564	30560	26616	102087	24536	20972	31595	22279	89616	23115	16446	25888	24168	95091	31540	23544	20328	19034	83598	21604	20712	19227	22052	89006	23893	24595	19412	20943	85256	16997	20185	25709	22515	66878	10036	20011	19123	17702	69491	20024	16215	32599	14327	67433	37912	30696
Chi phí quản lý doanh nghiệp###Managing Expenses	4905	5881	24829	6347	6784	5781	5930	32558	9688	6304	8697	7892	27338	6893	9375	5101	6678	29158	7983	7854	7861	5353	25809	7569	4909	7588	5743	27836	11783	5781	5328	4944	23665	5508	4865	8896	4446	16447	4388	4420	4338	4327	15746	3753	3682	3413	3660	13251	2782	2746	2494	5166	13798	5919	3261	4547	2065	20969	5542	6896
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	842	-1079	-1655	-1115	-1302	1446	-638	1862	-1048	2333	1163	-607	-11538	-3195	-2198	-1314	-4964	-26139	-7632	-1513	-10898	-5913	2369	-4805	949	6409	-184	6940	-1390	87	3940	4948	10979	1376	5657	-74	4248	17078	230	3099	5295	9335	34454	7691	5775	11965	10646	29088	7609	8441	5805	7623	29957	7670	8873	12987	8936	29562	-193	6137
Thu nhập khác###Other incomes	7273	2413	27889	9582	6731	6650	4926	29104	8567	4402	7400	8735	42223	10490	7936	9574	14156	65727	18052	9603	17734	16297	39689	13600	8543	9336	8211	26624	8008	6822	7290	4504	22117	7004	4145	5780	4705	20361	6105	5646	5151	3459	16552	4316	3004	3829	3923	12466	3394	1861	3719	3492	16653	5572	5179	5712	2201	9666	24283	18990
Chi phí khác###Other Expenses	0	0	11	2	2	5	1	61	1	14	18	28	102	3	2	77	19	4421	94	49	64	3	804	7	79	699	19	82	75	1	5	0	595	83	19	5	6	770	726	7	4	0	77	24	5	20	14	17	13	1	-648	650	20	2	1	16	1	521	8901	12802
Lợi nhuận khác###Other profits	7273	2413	27879	9581	6729	6645	4924	29044	8566	4388	7382	8708	42121	10487	7934	9497	14136	61305	17958	9554	17671	16293	38885	13592	8464	8636	8192	26543	7933	6821	7285	4503	21522	6921	4126	5775	4700	19591	5380	5639	5147	3459	16474	4291	2999	3809	3909	12449	3380	1860	4367	2842	16633	5571	5178	5696	2201	9145	15382	6189
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8116	1335	26224	8465	5427	8090	4287	30906	7518	6720	8544	8100	30583	7292	5735	8182	9172	35167	10326	8041	6773	10380	41254	8787	9413	15046	8008	33483	6543	6908	11225	9451	32501	8297	9783	5701	8947	36669	5449	9068	10332	12602	50928	11973	39131	15569	14342	41537	10667	10301	10058	10578	46590	13241	14051	18684	11136	38708	15189	12326
Chi phí thuế TNDN###Corporate Income Tax Expenses	1783	969	7874	2540	1844	2142	1325	8590	2180	1636	3056	1647	6349	1471	1330	1833	1845	8162	2299	1321	1179	2267	9814	2632	2078	3471	1772	7961	2165	1382	2418	2122	8012	2083	2443	1447	0	8314	0	0	0	3079	12273	2837	2353	4028	3491	10037	2428	2236	2729	2643	11597	0	8221	1881	2782	10852	4256	3453
Chi phí thuế TNDN###Corporate Income Tax Expenses	1783	969	7874	2540	1844	2142	1325	8590	2180	1636	3056	1647	6285	1471	1266	1769	1845	8162	2299	1321	1179	2267	9814	2632	2078	3471	1772	7961	2165	1382	2418	2122	7727	2083	2411	1436	2025	8264	1283	2302	2451	3079	12613	2831	2355	4021	3468	10049	2410	2268	2723	2636	11614	3393	3386	4664	2783	10861	4256	3453
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	64	0	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	32	11	221	50	-44	-2	-9	1	-340	5	-2	7	23	-12	20	-32	6	7	-17	-17	14	0	0	-9	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6644	942	19963	6128	3925	6462	3522	24078	5804	5298	5489	6991	26084	6107	4647	7235	7708	28668	8027	6719	5593	8114	32703	6155	7335	11574	6237	26890	4378	5526	8807	7329	24489	6214	7340	4254	6701	28355	4210	6768	7890	9523	38655	9137	6867	11541	10852	31501	8238	8065	7329	7935	34993	9866	10651	14020	8353	27856	10933	8872
---Cac Chi So Tai Chinh---																																																												
EBITDA	-0.47	-0.89	-1.85	-1.85	-1.32	-1.38	-0.50	-0.45	-0.45	-0.08	0.00	-0.05	-0.10	-0.10	0.10	0.53	0.35	0.05	0.05	0.03	-0.32	-0.26	-0.18	-0.18	-0.07	0.26	0.17	0.27	0.27	0.20	0.01	0.57	0.13	0.13	0.12	0.31	0.13	0.44	0.44	0.45	0.45	0.40	0.16	0.16	0.09	0.03	0.02	0.14	0.14	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.60	18.40	17.95	17.95	10.15	16.41	12.47	16.60	16.60	10.89	20.05	20.96	20.50	20.50	19.00	17.77	17.86	15.68	15.68	13.38	13.22	12.57	13.38	13.38	10.60	10.60	10.75	11.05	11.05	9.34	8.82	8.25	8.63	8.63	7.94	7.64	11.25	10.86	10.86	9.40	9.65	11.79	9.82	9.82	9.60	9.61	9.15	10.44	10.44	10.71	10.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
