CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012
Nợ phải trả ###Liabilities	47585	58561	47764	42934	32912	33301	37439	37439	35346	32261	33483	40142	39954	36472	35495	34553	39793	39291	35944	27946	21583	43397
Nợ ngắn hạn###Short term Liabilities	37154	37447	26472	19193	19170	19559	23697	23697	21604	18519	19741	26400	26213	22731	21754	20811	26052	25549	22202	27946	21583	43397
Nợ dài hạn###Long term Liabilities	10431	21114	21292	23742	13742	13742	13742	13742	13742	13742	13742	13742	13742	13742	13742	13742	13742	13742	13742	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	37532	34585	37373	34737	33198	37377	33957	33957	29229	28360	29204	28857	29045	29485	29234	32748	28692	28952	27425	25624	28345	18505
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	37532	34585	37373	34737	33198	37377	33957	33957	29229	28360	29204	28857	29045	29485	29234	32748	28692	28952	27425	25624	28345	18505
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	115458	117979	35015	23549	24807	34607	143519	46898	31235	35701	29686	125322	37901	24796	32582	30043	182234	31204	35389	211562	162724	150944
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	115458	117979	35015	23549	24807	34607	143519	46898	31235	35701	29686	125322	37901	24796	32582	30043	182234	31204	35389	211562	162724	150944
Giá vốn hàng bán###Cost of goods sold	89494	92587	27072	18663	20173	26678	115984	35427	25610	29247	25700	97182	29944	20501	25842	20896	132240	18603	24955	167552	123480	117104
Lợi nhuận gộp###Gross profit	25963	25392	7943	4886	4634	7929	27535	11471	5625	6454	3985	28139	7956	4296	6741	9147	49994	12601	10433	44010	39245	33840
Doanh thu hoạt động tài chính###Financial activities Revenues	390	691	185	99	283	123	579	324	69	113	73	626	299	93	126	107	858	258	174	792	1043	1375
Chi phí tài chính###Financial Expenses	1031	414	414	0	0	0	0	0	0	0	0	0	0	0	0	0	10245	0	0	0	0	0
Chi phí bán hàng###Selling Expenses	5198	5770	1680	1157	1306	1629	6644	2349	1278	1591	1425	4771	1622	856	1201	1092	0	1289	1692	14453	9546	9958
Chi phí quản lý doanh nghiệp###Managing Expenses	12990	9927	2677	2335	2318	2160	11981	3557	3182	2983	2428	12562	2939	3193	3085	3345	20942	3287	6234	19312	17464	14230
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7134	9972	3358	1493	1294	4263	9489	5889	1233	1993	205	11432	3695	340	2581	4817	19664	8283	2681	11037	13278	11027
Thu nhập khác###Other incomes	106	635	1463	1808	41	48	102	60	14	20	8	125	63	17	31	13	931	804	31	869	430	1814
Chi phí khác###Other Expenses	820	237	1481	1364	52	0	338	15	117	38	0	303	0	23	272	7	605	605	0	656	560	109
Lợi nhuận khác###Other profits	-714	398	-18	444	-11	48	-236	45	-103	-18	8	-178	63	-6	-240	6	326	199	31	213	-130	1705
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	6420	10370	3339	1937	1283	4311	9254	5935	1130	1975	214	11255	3758	333	2341	4823	19990	8482	2712	11250	13148	12732
Chi phí thuế TNDN###Corporate Income Tax Expenses	1831	2272	703	399	278	891	1954	1207	261	432	54	2350	763	83	532	972	4644	2021	607	2529	3307	2234
Chi phí thuế TNDN###Corporate Income Tax Expenses	1831	2272	703	399	278	891	1954	1207	261	432	54	2350	763	83	532	972	4644	2021	607	2529	3307	2234
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4589	8095	2636	1539	1005	3420	7300	4728	870	1543	160	8905	2995	250	1809	3851	15346	6461	2105	8721	9841	10498
---Cac Chi So Tai Chinh---																						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.00	5.16	5.16	3.68	3.68	6.11	6.11	6.11	3.37	16.52	16.52	16.52	16.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
