CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	67938	61437	59137	59137	55173	58307	46702	56324	54240	50154	52974	49781	67117	66582	54200	50404	48149	52558	51030	52728	56121	42562	46457	46336	42039	32677	37042	46024	45633	41414	39022	37756	42875	41264	38218	35622	31765	35196	36459	38047	40055	38192	35727
Nợ phải trả ###Liabilities	55785	49110	45993	45993	43072	46485	34681	40618	38535	35547	36732	31118	47333	46786	34586	30854	26673	31210	29607	33055	36900	20647	24664	24192	22049	13602	15189	24507	24069	21977	20103	18503	23764	22734	21522	19051	15587	18727	17861	19251	21662	25474	22427
Nợ ngắn hạn###Short term Liabilities	55369	49110	45421	45421	42384	46005	33759	40591	38168	35095	36535	29195	45626	44679	33086	29654	24973	29410	29607	33055	34900	20647	24664	24192	22049	13602	15189	24507	24069	21977	20103	18503	23097	22068	20768	17762	14216	16834	15968	17330	18899	21066	16669
Nợ dài hạn###Long term Liabilities	416	0	571	571	688	480	922	27	367	452	197	1922	1707	2107	1500	1200	1700	1800	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	666	666	754	1289	1372	1893	1893	1921	2763	4407	5759
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	12153	12327	13144	13144	12101	11822	12021	15705	15705	14607	16242	18664	19784	19796	19614	19550	21476	21349	21423	19672	19220	21916	21793	22144	19990	19075	21853	21517	21564	19437	18919	19253	19111	18530	16696	16571	16178	16469	18598	18795	18393	12718	13299
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	12153	12327	13144	13144	12101	11822	12021	15705	15705	14607	16242	18664	19784	19796	19614	19550	21476	21349	21423	19672	19220	21916	21793	22144	19990	19075	21853	21517	21564	19437	18919	19253	19111	18530	16696	16571	16178	16469	18598	18795	18393	12718	13299
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39022	37756	42875	41264	38218	35622	31765	35196	36459	38047	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	17799	5065	65313	27017	16385	13842	8069	61001	23800	9340	25822	2039	112809	38847	18587	31462	23913	89431	38734	26489	17349	6860	48890	26423	9938	5645	7287	44693	19854	10087	9881	4870	41645	18006	8698	9052	4304	27388	10491	4802	30680	32122	31759
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	17799	5065	65313	27017	16385	13842	8069	61001	23800	9340	25822	2039	112809	38847	18587	31462	23913	89431	38734	26489	17349	6860	48890	26423	9938	5645	7287	44693	19854	10087	9881	4870	41645	18006	8698	9052	4304	27388	10491	4802	30680	32122	31759
Giá vốn hàng bán###Cost of goods sold	16152	3959	60580	24055	14487	12082	9956	57920	20835	9035	26392	1658	103634	36241	16667	28478	22248	78642	33988	24410	14980	5197	39532	22155	7750	4212	5708	35350	15743	8004	8088	3476	33069	14480	7541	7477	3323	24713	9687	3331	23268	24502	25636
Lợi nhuận gộp###Gross profit	1648	1106	4733	2963	1898	1760	-1887	3081	2966	305	-571	382	9175	2606	1920	2984	1666	10789	4747	2078	2368	1663	9358	4268	2188	1433	1579	9343	4112	2083	1793	1395	8576	3526	1158	1576	981	2675	803	1471	7412	7620	6123
Doanh thu hoạt động tài chính###Financial activities Revenues	23	23	84	21	22	21	20	83	21	20	21	21	49	40	11	8	10	25	10	10	4	2	6	1	1	1	3	6	1	2	1	2	9	2	2	2	4	139	2	2	168	10	11
Chi phí tài chính###Financial Expenses	507	438	2058	503	548	515	492	1955	552	530	475	398	1559	410	408	402	338	1405	374	362	380	256	954	286	216	244	185	1004	294	255	280	175	1129	331	263	319	211	1390	453	445	3578	2026	1319
Chi phí bán hàng###Selling Expenses	184	383	413	75	18	287	33	234	92	54	45	43	948	561	161	130	96	1202	576	204	110	312	135	79	56	0	0	0	0	0	0	0	134	0	42	-29	121	265	14	12	487	663	725
Chi phí quản lý doanh nghiệp###Managing Expenses	1152	1163	4857	1357	1040	1172	1289	5182	1293	1362	1422	1105	4930	1426	1217	1210	1082	4254	1498	957	904	944	3781	1137	714	891	767	3789	945	831	1018	1002	3477	972	694	844	890	2930	604	996	3331	2776	2178
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-173	-856	-2511	1050	313	-194	-3680	-4207	1050	-1621	-2492	-1144	1787	248	144	1250	159	3954	2307	565	978	154	4494	2768	1203	298	630	4556	2874	999	496	219	3845	2224	161	445	-238	-1771	-265	20	184	2165	1913
Thu nhập khác###Other incomes	14	0	86	86	0	0	0	175	59	0	-6	123	64	0	64	0	0	48	0	0	48	0	0	0	0	0	0	29	0	0	27	0	0	0	0	0	0	12	0	0	164	0	82
Chi phí khác###Other Expenses	15	4	136	93	34	6	4	47	10	14	-76	99	191	17	115	96	0	240	0	0	240	0	338	7	29	71	200	341	89	177	29	29	747	247	36	52	54	115	0	0	145	33	27
Lợi nhuận khác###Other profits	-1	-4	-50	-6	-34	-6	-4	128	49	-14	70	23	-127	-17	-51	-96	0	-192	0	0	-192	0	-338	-7	-29	-71	-200	-313	-89	-177	-2	-29	-747	-247	-36	-52	-54	-104	0	0	18	-33	55
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-174	-860	-2561	1043	279	-199	-3684	-4079	1099	-1635	-2422	-1120	1660	231	94	1154	159	3762	2307	565	786	154	4157	2761	1173	228	430	4243	2784	822	494	190	3098	1978	125	393	-291	-1875	-265	20	202	2132	1967
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	386	50	29	242	32	835	461	113	206	31	953	607	258	58	95	988	611	188	122	48	456	144	0	0	0	0	0	0	59	541	344
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	386	50	29	242	32	835	461	113	206	31	953	607	258	58	95	988	611	188	122	48	456	144	0	0	0	0	-68	4	59	541	344
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-174	-860	-2561	1043	279	-199	-3684	-4079	1099	-1635	-2422	-1120	1274	182	65	912	127	2927	1846	452	580	123	3203	2154	915	170	335	3255	2173	635	371	142	2642	1834	125	393	-291	-1875	-197	17	144	1591	1623
---Cac Chi So Tai Chinh---																																											
EBITDA	0.01	0.01	0.02	0.02	0.40	-0.04	1.43	1.15	1.15	1.10	1.39	-0.28	0.17	0.17	-0.05	0.27	0.00	0.20	0.20	0.36	0.61	0.48	0.46	0.46	0.34	0.04	0.86	0.75	0.75	0.93	0.91	0.76	1.58	1.58	1.56	1.53	1.29	0.44	0.44	-0.61	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.00	9.00	9.00	9.00	9.00	9.10	9.10	9.10	9.10	5.50	7.20	10.50	11.80	11.80	13.60	12.20	10.93	9.87	9.87	9.42	9.33	8.31	7.37	7.37	6.66	6.82	6.45	5.02	5.02	4.68	4.07	4.16	1.73	1.73	1.02	1.60	1.41	1.67	1.67	3.52	0.00	0.00	0.00
