CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	12718	13278	138514	99471	13874	12537	12230	173500	142058	11455	9903	10085	35062	9423	9421	8796	7451	24288	6344	6133	5972	5840	18833	14670	9274	6871
Giá vốn hàng bán###Cost of goods sold	7068	6236	52886	36068	6267	5545	5007	64849	50983	4981	4287	4533	16284	4513	4376	4904	2685	12079	2517	2477	2502	2493	9342	6978	6621	4193
Lợi nhuận gộp###Gross profit	5650	7042	85628	63403	7607	6992	7224	108651	91075	6474	5615	5552	18778	4910	5044	3892	4766	12209	3826	3656	3469	3347	9492	7692	2653	2678
Doanh thu hoạt động tài chính###Financial activities Revenues	10202	11472	45606	11930	11459	11064	10770	40427	10736	10239	10314	9137	33841	9235	9168	7369	8067	29033	7435	7038	7892	6669	26108	19021	10927	15549
Chi phí tài chính###Financial Expenses	0	0	1317	0	15	831	471	406	-5	39	201	173	1035	255	268	367	146	784	60	24	178	506	194	8	0	6
Chi phí bán hàng###Selling Expenses	47	645	2782	1089	554	557	582	2863	867	529	710	685	2767	1012	586	541	621	2528	399	289	674	208	765	487	774	282
Chi phí quản lý doanh nghiệp###Managing Expenses	1825	1007	30694	5634	2267	3068	2668	12396	3293	3219	3088	2483	11715	3749	2251	2482	2521	10180	5671	2712	3291	1627	10822	7993	6243	3941
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	13979	16863	96441	68611	16231	13602	14272	133412	97656	12927	11931	11348	37102	9128	11106	7870	9544	27750	5131	7669	7218	7675	23819	18225	6562	13998
Thu nhập khác###Other incomes	13	81	6797	-6	118	205	250	820	192	286	121	222	402	120	120	123	38	315	97	96	55	66	164	264	9	19
Chi phí khác###Other Expenses	1	3	414	10	95	157	153	435	148	149	44	94	229	94	25	88	22	242	33	34	135	40	559	160	0	231
Lợi nhuận khác###Other profits	11	78	6383	-15	24	48	97	385	43	137	77	128	172	26	95	35	16	74	64	63	-80	27	-394	104	9	-212
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	13991	16941	102824	68596	16254	13650	14369	133797	97699	13063	12008	11476	37274	9153	11201	7905	9560	27824	5195	7732	7138	7701	23425	18330	6571	13787
Chi phí thuế TNDN###Corporate Income Tax Expenses	2290	2617	20158	13147	2567	2210	2336	24262	17979	2219	2122	1967	6827	1816	1939	1425	1699	5461	1049	1457	1296	1541	5302	4074	1675	2967
Chi phí thuế TNDN###Corporate Income Tax Expenses	2290	2617	20158	13147	2567	2210	2336	24262	17979	2219	2122	1967	6827	1816	1939	1425	1699	5461	1049	1457	1296	1541	5302	4074	1675	2967
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	11701	14324	82666	55449	13687	11440	12032	109535	79721	10845	9886	9509	30447	7338	9263	6480	7861	22363	4146	6275	5842	6160	18123	14255	4896	10819
---Cac Chi So Tai Chinh---																										
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	38.62	26.70	32.89	32.89	32.46	35.48	38.92	27.80	27.80	15.55	15.03	15.61	12.90	12.90	13.23	11.36	13.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
