CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Chi phí quản lý doanh nghiệp###Managing Expenses	4065	1632	10968	1764	1798	3187	1853	7661	3079	1156	2504	922	5117	1150	725	1700	1029	4156	1061	1214	847	1034	4082	1367	926	1125	773	4224	866	1264	1040	920	3890	983	965	5234	6294	7914	7723
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2395	6553	34797	35864	4891	5752	-429	1941	14	74	1807	47	3253	836	145	2387	188	-4277	81	-558	-3100	-1457	-1481	-715	-4793	-2379	-258	3704	1100	-829	3817	-451	-1705	-1122	-706	1791	-2471	9081	5752
Thu nhập khác###Other incomes	5	2	25	5	7	5	8	7	0	0	2	5	1	0	0	0	0	99	84	9	0	5	0	1561	2554	0	0	0	0	0	0	0	123	114	4	0	0	1235	417
Chi phí khác###Other Expenses	18	0	98	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	124	0	46
Lợi nhuận khác###Other profits	-13	2	-73	-93	7	5	8	7	0	0	2	5	1	0	0	0	0	99	84	8	0	5	0	1561	2554	0	0	0	0	0	0	0	123	114	4	-360	-124	1235	371
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2382	6555	34724	35771	4897	5757	-420	1948	14	74	1808	53	3254	836	145	2387	188	-4179	165	-550	-3100	-1451	-1481	846	-2239	-2379	-258	3704	1100	-829	3817	-451	-1582	-1008	-702	1431	-2595	10316	6123
Chi phí thuế TNDN###Corporate Income Tax Expenses	-56	1322	7117	7762	988	508	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	443	229	-153	367	0	0	0	0	53	0	654	541
Chi phí thuế TNDN###Corporate Income Tax Expenses	-56	1322	7117	7762	988	508	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	443	229	-153	367	0	0	-21	0	73	0	411	480
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	-20	0	242	60
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2437	5233	27606	28008	3909	5249	-420	1948	14	74	1808	53	3254	433	145	2387	188	-4179	165	-550	-3100	-1451	-1481	846	-2239	-2379	-258	3261	871	-676	3450	-451	-1582	-1008	-702	1378	-2595	9662	5583
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.85	8.21	8.20	8.20	10.06	12.30	5.87	4.85	4.85	3.35	4.38	5.40	4.85	4.85	4.94	2.80	4.19	5.96	5.96	1.96	2.33	2.42	5.22	5.22	3.26	2.80	5.03	9.32	9.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
