CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	 2016	 2015	 2014
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	3289064	8596797	7432237	7432273	5005185	3350224	8178905	6969780	6968543	4888478	4585296	8325009	9265112	9043939	8780104	8589927
Tài sản dài hạn khác###Other long term assets	413396	387962	384628	391201	381035	377158	380697	372779	374754	360938	357301	355051	316700	292995	310307	219050
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	30108723	29244027	33289019	33301092	31044119	29310208	27405905	26405981	26411124	24775488	25000113	22850150	23360901	20376004	17072916	15616268
Nợ phải trả ###Liabilities	1051292	1108291	6450958	6434293	1205281	1292573	1294235	1556403	1582349	2150635	4214957	4241095	4785550	7065661	1821487	1647971
Nợ ngắn hạn###Short term Liabilities	901708	957243	6300047	6283050	1071095	1147609	1145770	1398653	1415391	1958556	4010895	4022534	4562802	6821661	1534727	1367981
Nợ dài hạn###Long term Liabilities	149584	151048	150911	151243	134187	144964	148465	157750	166958	192078	204062	218560	222748	244000	286760	279990
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	29057431	28135736	26838061	26866799	29838838	28017635	26111670	24849578	24828775	22624853	20785157	18609056	18575352	13310343	15251429	13720072
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	4849	6806	7864	7661	10444	11549	12066	13939	13560	7784	16494	12601	21578	33954	40831	54088
Vốn chủ sở hữu ###Owners equity	29052581	28128930	26830197	26859138	29828394	28006085	26099604	24835639	24815215	22617069	20768663	18596455	18553774	13276389	15210598	13665984
Lợi ích của cổ đông thiểu số	12988	14110	15231	14542	15723	17119	18448	19908	19582	21398	23701	25261	26821	33391	43020	248225
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	783100	998287	4496530	1140372	1111798	1116633	1126198	7074454	2392875	1318611	1626202	1740070	6585535	2408455	1488928	1655809	6324911	5899135	5098196
Các khoản giảm trừ doanh thu###Deduction revenues	791	395	8877	6776	783	370	778	4377	1395	743	488	1737	22336	18258	2477	933	18011	5872	11803
Doanh thu thuần###Net Sales	782309	997892	4487653	1133596	1111014	1116263	1125420	7070076	2391480	1317869	1625714	1738333	6563199	2390197	1486452	1654876	6306899	5893263	5086392
Giá vốn hàng bán###Cost of goods sold	699519	902109	4422219	1170329	1115987	1127482	1087401	6467376	2147111	1197671	1490811	1633857	5943134	2245537	1318131	1467705	5669185	5267707	4660408
Lợi nhuận gộp###Gross profit	82790	95784	65434	-36733	-4973	-11219	38020	602700	244369	120198	134903	104476	620066	144660	168321	187171	637714	625556	425985
Doanh thu hoạt động tài chính###Financial activities Revenues	253913	229291	903273	279075	254067	192985	176602	416460	159619	111197	123910	21966	254110	147967	32213	33770	435319	73277	16405
Chi phí tài chính###Financial Expenses	834	3325	21824	-1251	12197	5034	5786	79467	61731	7297	6672	4080	41564	-4820	8499	-10985	317634	149718	44069
Chi phí bán hàng###Selling Expenses	16293	16450	88630	20543	19172	23633	25419	176385	41647	43091	50435	33347	282356	95308	66766	82565	314996	225117	188479
Chi phí quản lý doanh nghiệp###Managing Expenses	87868	99687	467949	149446	111275	105642	99185	480326	144246	113743	109248	104074	595417	299067	106026	106318	529933	614244	435473
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1021644	1370714	7516309	2226754	1761411	2156260	1293358	7134933	2242351	1865967	1997703	1043728	5124772	1552248	1419029	1383465	4486359	-290246	-225632
Thu nhập khác###Other incomes	1151	2794	7144	2385	2590	1379	761	10573	71336	1676	2600	3557	19557	-67398	73350	5592	47297	120339	123532
Chi phí khác###Other Expenses	1999	5030	108460	10604	6835	87722	3262	19281	26136	3768	5988	1184	22493	4832	9733	17994	21397	83249	46216
Lợi nhuận khác###Other profits	-848	-2236	-101316	-8219	-4244	-86343	-2500	-8708	45199	-2092	-3388	2373	-2936	-72230	63617	-12403	25900	37090	77317
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1020796	1368478	7414994	2218535	1757166	2069917	1290857	7126225	2287551	1863875	1994315	1046101	5121836	1480019	1482647	1371063	4512259	4337137	3343916
Chi phí thuế TNDN###Corporate Income Tax Expenses	50029	43313	96256	19516	23836	13658	19438	78993	33800	15839	6308	6086	35872	106	25478	4886	20192	-32879	18822
Chi phí thuế TNDN###Corporate Income Tax Expenses	49805	42407	80244	15159	20363	9926	15074	60143	33800	15839	6308	6086	35857	91	25478	4886	27180	26808	18839
Chi phí thuế TNDN###Corporate Income Tax Expenses	224	907	16011	4357	3473	3733	4364	18851	0	0	0	0	15	15	0	0	-6988	-59687	-16
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	976498	1335390	7357348	2211980	1740026	2065029	1280837	7084092	2280730	1858106	1988007	1049952	5125817	1490008	1470460	1375094	4479649	4367071	3320512
---Cac Chi So Tai Chinh---																			
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	42.10	28.00	45.00	45.00	50.41	53.08	48.30	35.81	35.81	31.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
