CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q1 2017	 2016	 2015	 2014	 2013	 2012	 2011
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	38475	23170	196870	34871	72641	46776	42582	231885	45560	86052	53660	46614	191781	60091	68344	27180	195220	186429	168236	170064	123610	76989
Giá vốn hàng bán###Cost of goods sold	25147	17071	92740	20332	31401	22231	18867	86779	24838	26638	19431	15872	64822	19303	20761	10171	63599	86295	78951	66217	50452	37356
Lợi nhuận gộp###Gross profit	13328	6099	104130	14540	41239	24545	23715	145106	20722	59414	34229	30741	126959	40788	47582	17008	131621	100134	89286	103847	73159	39633
Doanh thu hoạt động tài chính###Financial activities Revenues	134373	0	40	36	1	1	2	13	2	2	4	5	21	3	4	8	40	128	90	136	25	17
Chi phí tài chính###Financial Expenses	15444	19382	78466	19919	19522	19589	19437	70243	17789	17717	17439	17298	75574	18555	25332	19080	83610	84863	89588	101618	124861	119657
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	1425	0	0	706	2069	3040	1659	2367	991	61
Chi phí quản lý doanh nghiệp###Managing Expenses	1542	1820	7603	1831	1829	2173	1813	11625	2502	2603	2877	3642	14518	3972	3141	3117	18984	24546	18746	16239	11082	13611
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	130714	-15102	18101	-7174	19889	2784	2467	63251	432	39096	13917	9806	35462	18264	19113	-5886	26998	-12050	-20617	-16240	-63751	-93679
Thu nhập khác###Other incomes	29	628	52	0	0	-301	353	3040	1465	0	1575	0	960	0	502	85	25	1301	213	1	1535	2168
Chi phí khác###Other Expenses	1544	1	325	151	8	167	0	685	96	98	491	0	1717	-139	1739	0	1813	2131	2205	2717	1496	1187
Lợi nhuận khác###Other profits	-1515	627	-273	-151	-8	-467	353	2355	1369	-98	1084	0	-757	139	-1237	85	-1787	-830	-1992	-2716	40	982
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	129199	-14474	17828	-7325	19881	2317	2820	65606	1801	38998	15002	9806	34705	18403	17876	-5801	25210	-12880	-22609	-18956	-63711	-92697
Chi phí thuế TNDN###Corporate Income Tax Expenses	23167	0	1217	0	913	172	175	1478	86	3910	2213	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	22991	0	918	0	913	172	175	1478	86	3910	2213	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	176	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	106023	-14474	16589	-7325	18968	2139	2645	64130	1715	35089	12789	9806	34705	18403	17876	-5801	25210	-12880	-22609	-18956	-63711	-92697
---Cac Chi So Tai Chinh---																						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.49	8.07	7.12	7.12	8.55	9.68	9.02	9.49	9.49	9.68	9.87	9.59	7.98	7.98	9.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
