CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-310	-310	-290	-290	-276	-262	-247	-190	-190	-183	-187	-169	-155	-188	-141	-127	-112	-98	-98	-84	-70	-14	-42	0	0	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561	1561	1561	1561	0	1561	1561	1545	1487	1487	1292	1222	1141	1071	1071	961	906	846	779	779	769	704	644	584	584	534	464	404	349	349	304	240	127	0	0	0	0
Tài sản dài hạn khác###Other long term assets	5068	5087	4843	4843	4665	4245	4081	855	855	1143	1255	1539	1774	1716	1603	1488	1471	1330	3339	1250	1092	580	664	112	1658	1069	876	943	156	324	381	411	451	272	312	528	403	442	396	478	517	414	442	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	244112	264365	251418	251418	220609	232107	228093	217739	217739	239253	228087	263314	260662	244112	277984	322390	221360	229960	232296	248138	262384	220436	213106	224863	195683	198235	177430	181678	181519	204470	212805	191351	141381	146914	161535	160614	148817	139517	141564	150312	192422	196442	124355	124425	174443	188067	137073	119220	119440	102606	130433	126552	93906	93933	76798	90809	54137	54318	55480	69602	90486	91537	54917	54969	48333	0
Nợ phải trả ###Liabilities	50198	71946	60350	60350	25584	38985	37781	31565	31565	62458	36009	75032	77291	60502	104842	152732	40498	52889	55316	80945	97946	60355	56597	69824	49619	58584	41532	50128	50269	81200	94335	73826	29602	36172	61971	65100	49366	43964	46015	59813	109432	108827	39494	39539	92044	111653	54444	43478	43250	32839	65616	60236	30574	30345	36209	53242	14469	17564	18859	35753	59020	61525	25016	24637	24402	0
Nợ ngắn hạn###Short term Liabilities	49313	71061	59124	59124	24553	37498	36294	30300	30300	61888	35244	74267	76526	59342	104382	152272	39843	52429	55316	80190	97191	60000	56242	69282	48896	57214	40391	49565	49413	80393	92899	73157	28932	35240	61039	64469	48473	43070	44469	58927	108392	106852	37347	37393	90426	109919	52709	41634	41406	27951	60404	55353	25419	25191	33557	52063	13258	16115	17410	34550	57613	60414	23796	23418	22989	0
Nợ dài hạn###Long term Liabilities	886	886	1226	1226	1031	1487	1487	1265	1265	570	765	765	765	1160	460	460	655	460	0	755	755	355	355	542	723	1370	1141	563	856	807	1435	670	670	932	932	632	893	893	1547	887	1040	1975	2146	2146	1618	1734	1735	1844	1844	4888	5212	4883	5154	5154	2651	1179	1210	1449	1449	1203	1407	1110	1220	1220	1414	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	8	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	193914	192418	191068	191068	195025	193122	190311	186175	186175	176795	192078	188282	183371	183610	173142	169659	180863	177071	176979	167193	164438	160080	156509	155039	146064	139651	135897	131550	131251	123270	118470	117524	111779	110742	99564	95513	99450	95554	95549	90498	82990	87615	84861	84886	82399	76414	82629	75742	76190	69767	64817	66315	63333	63588	40589	37568	39668	36754	36621	33849	31466	30012	29901	30332	23931	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	330	356	0	183	183	268	294	410	0	406	0	0
Vốn chủ sở hữu ###Owners equity	193914	192418	191068	191068	195025	193122	190311	186175	186175	176795	192078	188282	183371	183610	173142	169659	180863	177071	176979	167193	164438	160080	156509	155039	146064	139651	135897	131550	131251	123270	118470	117524	111779	110742	99564	95513	99450	95554	95549	90498	82990	87615	84861	84886	82399	76414	82629	75742	76190	69767	64817	66315	63333	63333	40259	37211	39668	36570	36437	33581	31172	29602	29901	29925	23931	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212805	191351	141381	146914	161535	160614	148817	139517	141564	150312	192422	196442	124355	124425	174443	188067	137073	119220	119440	102606	130433	126552	93906	93933	76798	90809	54137	54318	55480	69602	90486	91537	54917	54917	48333	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	93544	58639	329850	117755	63298	70044	78753	510389	144092	100617	140349	125332	591775	132628	203521	160568	94425	446562	135647	126251	105605	79678	428297	183168	112717	80919	79608	389019	152376	90096	70681	75874	325334	123820	66686	66466	56138	375028	123383	93070	99125	59846	388554	130875	125728	70474	61477	293134	85005	90870	69898	47362	211885	66905	61185	46248	37547	193686	53268	53021	50184	37214	151845	47945	137869	0
Các khoản giảm trừ doanh thu###Deduction revenues	766	1897	2320	57	222	830	1211	6870	255	324	2806	3486	4995	1312	310	3620	853	3487	130	311	1607	1439	7594	17464	8228	4295	5018	37051	18883	3476	4311	10382	41066	15907	13338	6586	5367	39086	20422	5505	7250	5909	36808	19069	4143	6800	6797	30351	14651	3725	5922	6053	21141	11019	2566	3939	3617	15469	6670	2784	2471	3588	12906	6129	7631	0
Doanh thu thuần###Net Sales	92778	56741	327529	117698	63076	69214	77542	503519	143837	100293	137542	121846	586780	131316	203211	156947	93572	443075	135517	125941	103998	78240	420702	165705	104489	76624	74590	351968	133493	86620	66370	65493	284268	107913	53348	59879	50771	335941	102961	87564	91875	53936	351746	111806	121585	63674	54679	262784	70354	87145	63976	41309	190743	55886	58618	42309	33930	178218	46598	50237	47713	33625	138940	41816	130238	136174
Giá vốn hàng bán###Cost of goods sold	89032	48718	290011	101560	57308	63491	67652	470591	127189	100018	131299	112086	538216	106828	194169	150533	83868	396741	112137	118823	94345	70874	349526	123701	90892	62731	56399	262810	86686	74449	52899	48787	226076	78550	42080	51633	41492	285902	87781	73634	78816	46066	310778	97293	109678	55288	48423	220768	52284	79494	54678	34338	155608	40483	52797	33897	28404	148280	35909	43400	40689	28758	112937	31115	109326	0
Lợi nhuận gộp###Gross profit	3746	8024	37519	16138	5768	5723	9890	32928	16649	276	6244	9760	48564	24487	9042	6414	9705	46334	23380	7117	9653	7366	71176	42004	13596	13892	18191	89157	46807	12172	13472	16705	58192	29363	11268	8246	9279	50039	15180	13930	13059	7870	40968	14513	11908	8387	6256	42016	18070	7651	9298	6971	35135	15403	5821	8411	5526	29938	10688	6837	7025	4867	26003	10701	20912	0
Doanh thu hoạt động tài chính###Financial activities Revenues	378	231	480	93	203	64	120	775	35	191	209	340	1204	85	611	254	253	956	140	299	211	306	1470	147	351	396	598	2216	1928	578	639	520	3101	665	219	989	762	1463	294	161	112	625	4672	560	1125	557	2334	3263	857	789	714	904	975	583	124	42	225	785	646	2	136	239	331	216	352	0
Chi phí tài chính###Financial Expenses	494	643	529	156	148	148	77	1466	334	443	463	225	2367	322	815	1007	170	2210	591	164	828	163	2279	611	1074	571	62	3860	2370	297	1125	68	1852	1769	18	974	64	3126	255	1003	1307	411	4161	1530	1302	1264	11	1401	485	303	568	124	698	124	325	250	0	3961	1297	1331	1519	53	1666	111	2733	0
Chi phí bán hàng###Selling Expenses	1253	774	5529	1846	1709	1091	883	5179	1526	1276	1343	1034	6863	1558	1974	559	3153	6149	3605	1277	1553	1276	20755	22834	3930	5703	10701	51934	31460	4569	7950	8508	24718	12942	5084	3588	3261	17040	6407	3158	4203	3271	18846	8973	3824	3093	3083	21096	9516	3845	4641	3068	16582	7667	1926	4882	2132	12539	5413	2110	2808	2097	12725	5926	10705	0
Chi phí quản lý doanh nghiệp###Managing Expenses	795	3749	8215	2284	2092	1038	2801	5158	2317	531	376	1934	14351	9613	2724	633	1895	13275	7273	2242	1878	1840	19072	7655	2153	2516	2870	11682	4403	3011	2712	1582	6023	1392	1346	1389	1895	5373	2126	1406	996	845	3829	1521	889	758	679	3914	1943	740	629	601	3203	1413	625	631	534	2712	1227	411	529	444	2888	1564	2317	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1582	3088	23725	11945	2022	3509	6249	21901	12507	-1784	4271	6907	26186	13080	4141	4470	4739	25656	12052	3732	5603	4393	30541	11050	6789	5499	5156	23897	10503	4872	2323	7067	28701	13925	5040	3284	4821	25963	6685	8524	6664	3968	18803	3050	7017	3828	4816	18869	6982	3552	4174	4082	15627	6782	3069	2691	3085	11512	3397	2987	2306	2513	9055	3316	5509	4445
Thu nhập khác###Other incomes	0	-356	678	487	173	5	13	2426	35	2131	149	112	326	147	83	50	0	251	200	1	3	81	692	514	13	45	124	1413	0	-60	97	0	58	13	0	18	53	423	31	253	104	35	357	219	3	118	0	2382	120	2179	83	0	234	123	51	48	13	27	0	8	11	8	168	1	57	0
Chi phí khác###Other Expenses	0	0	286	0	143	0	142	1893	1136	103	18	636	252	54	89	163	0	161	282	288	67	11	191	129	8	55	0	168	244	0	0	0	35	0	0	35	0	36	29	4	3	0	1	1	0	0	0	116	101	15	0	0	85	45	40	0	0	3	0	0	3	0	0	0	0	0
Lợi nhuận khác###Other profits	0	-356	392	487	30	5	-129	533	-1101	2028	131	-525	73	94	-7	-113	0	89	-82	-287	-64	71	502	386	6	-10	124	1246	-244	-60	97	0	22	13	0	-17	53	388	2	249	101	35	356	217	3	118	0	2266	19	2164	83	0	149	78	11	48	13	24	0	8	8	8	168	1	57	441
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1582	2732	24117	12432	2052	3514	6120	22434	11406	244	4401	6382	26260	13173	4134	4357	4740	25746	11970	3445	5539	4464	31042	11436	6795	5489	5280	25142	10259	4812	2421	7067	28723	13938	5040	3267	4873	26351	6687	8773	6766	4003	19159	3267	7020	3946	4817	21135	7001	5715	4257	4083	15776	6860	3080	2738	3097	11536	3397	2995	2314	2521	9223	3317	5566	4886
Chi phí thuế TNDN###Corporate Income Tax Expenses	86	685	6573	2429	150	703	3291	3665	718	870	606	1471	5302	2705	815	904	948	5184	2183	687	1182	893	6084	2546	382	1736	933	4823	2278	13	927	1322	6112	2760	898	0	0	5102	0	0	0	1293	3394	781	1035	683	806	3489	956	765	755	810	3201	1357	580	652	612	1561	541	349	228	342	1153	445	933	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	86	605	6191	2429	410	703	2649	3665	718	870	606	1471	5302	2705	815	904	948	5184	2183	686	1182	893	6169	2546	382	1090	933	4737	2800	13	161	1322	6112	2760	898	818	977	5102	1637	1328	729	1293	3394	781	1035	683	806	3489	956	765	755	810	3201	1357	580	652	612	1561	541	349	228	342	1153	446	933	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	79	381	0	-261	0	642	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-86	0	0	646	0	86	-522	0	766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1496	2048	17545	10003	1903	2811	2828	18769	10688	-626	3796	4911	20957	10468	3319	3453	3792	20562	9787	2759	4357	3571	24959	8890	6413	3753	4347	20319	7981	4799	1494	5745	22611	11178	4141	2449	3897	21248	5050	7445	6037	2710	15765	2486	5985	3263	4011	17647	6044	4950	3502	3273	12574	5503	2500	2086	2485	9975	2856	2646	2086	2178	8071	2871	4633	4886
---Cac Chi So Tai Chinh---																																																																		
EBITDA	0.03	-0.06	-1.38	-1.38	-0.21	-0.31	-0.12	-0.07	-0.07	-0.07	-0.12	-0.43	0.26	0.26	0.30	0.70	0.86	0.10	0.10	0.07	0.41	0.14	0.17	0.17	0.10	-0.36	0.01	0.07	0.07	0.14	0.21	0.30	0.31	0.31	0.56	0.27	0.47	0.65	0.65	0.67	0.71	0.38	0.18	0.18	-0.13	0.07	0.20	0.16	0.16	0.62	0.64	0.60	0.58	0.58	0.60	0.62	0.83	0.91	0.91	1.00	1.27	1.22	1.41	1.41	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	22.60	25.80	25.90	25.90	21.47	26.77	27.92	27.92	27.92	25.90	25.11	25.67	26.98	26.98	28.74	35.06	30.99	31.17	31.17	32.08	28.10	28.26	26.80	26.80	26.88	23.24	19.98	17.18	17.18	15.32	18.31	12.34	9.84	9.84	9.64	9.64	8.58	7.45	7.45	7.15	6.78	5.94	3.98	3.98	6.29	5.91	5.53	6.20	6.20	4.87	4.71	4.17	3.93	3.93	4.60	3.61	2.57	2.29	2.29	2.70	2.23	4.37	7.13	7.13	0.00	0.00
