CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3208478	3235278	3235278	3338106	3243565	3277465	3291865	3359178	3227841	2518456	2604193	2493821	2494697	2439740	2257356	2163227	2187161	2206835	2052312	1634852	1183677	1049001
Nợ phải trả ###Liabilities	2262211	2271561	2271561	2453308	2365942	2493433	2507976	2340292	2243653	1596635	1667318	1486868	1488730	1468219	1303452	1208854	1262377	1387376	1486603	1021640	563820	423659
Nợ ngắn hạn###Short term Liabilities	1944153	1917255	1917255	2097250	1808991	2053464	2061691	1894006	1524386	922953	1032604	936962	693753	786453	713359	364032	731119	489223	655136	366181	116261	108055
Nợ dài hạn###Long term Liabilities	318059	354305	354305	356058	556951	439969	446286	446286	719267	673682	634714	549905	794977	681766	590093	844822	531259	898153	831467	655459	447559	315604
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	946267	963717	963717	884797	877623	784032	783888	1018886	984188	921821	936875	1006954	1005968	971521	953904	954373	924784	819459	565708	613212	619856	625342
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	946267	963717	963717	884797	877623	784032	783888	1018886	984188	921821	936875	1006954	1005968	971521	953904	954373	924784	819459	565708	613212	619856	625342
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	76020	643808	143484	49360	355481	95668	965512	368789	315466	253353	27903	470164	114879	64123	51016	240127	180487	22928	123801	188096	169946	159240
Các khoản giảm trừ doanh thu###Deduction revenues	0	9123	0	9123	9123	0	20275	0	0	20178	97	0	0	0	0	0	0	0	0	1	6741	13092
Doanh thu thuần###Net Sales	76020	634684	143484	40237	346358	95668	945237	368789	315466	233175	27806	470164	114879	64123	51016	240127	180487	22928	123801	188095	163205	146147
Giá vốn hàng bán###Cost of goods sold	88682	455570	71468	29837	263192	84537	1083739	320594	231794	246071	18352	327852	66147	37360	33116	190673	64398	22994	21503	103183	79621	40683
Lợi nhuận gộp###Gross profit	-12662	179115	72016	10400	83166	11131	-138502	48196	83672	-12896	9454	142312	48732	26763	17899	49454	116088	-66	102298	84912	83584	105464
Doanh thu hoạt động tài chính###Financial activities Revenues	4106	58227	26142	4159	24885	3040	46588	15935	6736	13811	1962	28198	12224	4303	6880	2313	24361	12416	2128	20243	13415	5659
Chi phí tài chính###Financial Expenses	0	26	26	0	0	0	-864	0	0	0	94	2220	924	530	437	340	6403	5806	570	1792	546	56
Chi phí bán hàng###Selling Expenses	1502	14328	1615	1365	5546	5802	17426	2601	2752	9253	2175	11051	2048	2201	4123	2477	9904	2541	1446	11917	3529	2468
Chi phí quản lý doanh nghiệp###Managing Expenses	8524	36331	8707	8849	9524	9250	40739	11074	10979	7423	8812	43707	13828	7823	9054	12303	41654	11920	13365	29162	22252	26865
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-18582	186656	87809	4345	92981	-880	-149216	50455	76678	-15760	335	113532	44156	20513	11166	36647	82488	-7918	89044	62284	70671	81734
Thu nhập khác###Other incomes	1280	4564	1996	555	816	1197	4444	630	1412	1668	734	9912	1180	7969	308	454	10015	460	2256	9688	1151	650
Chi phí khác###Other Expenses	149	3684	3178	127	242	136	832	208	131	193	273	7843	1073	6461	194	115	1013	172	279	1243	1501	166
Lợi nhuận khác###Other profits	1131	880	-1182	428	574	1060	3611	422	1281	1475	460	2069	107	1508	115	339	9002	288	1977	8445	-350	484
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-17451	187536	86627	4773	93555	180	-145604	50877	77958	-14285	796	115601	44263	22021	11280	36986	91490	-7630	91021	70729	70321	82218
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	7186	7186	0	-36	36	5427	10175	15592	26	159	23939	8853	4404	2628	7397	18521	0	18204	16037	9273	5229
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	7186	7186	0	-36	36	5427	10175	15592	26	159	23939	8853	4404	2628	7397	18521	0	18204	16037	9273	5229
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-17451	180350	79441	4773	93591	144	-151031	40702	62367	-14311	637	91662	35411	17617	8652	29589	72969	-7630	72817	54692	61048	76989
---Cac Chi So Tai Chinh---																						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	15.00	14.00	14.00	23.40	13.60	16.10	14.10	14.10	11.30	12.00	13.70	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
