CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q4 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Vốn chủ sở hữu ###Owners equity	58204	55360	54946	51703	51534	48001	46482	46482	44247	42678	45200	44671	44671	44258	41362	42947	40210	40212	38715	36416	32291	31244	27341
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	Q4 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	265578	261442	271941	272687	67649	68727	296092	81849	77608	71054	65581	362178	81658	94048	103442	83030	317010	83598	80496	303211	268983	229252	274289
Các khoản giảm trừ doanh thu###Deduction revenues	69	562	446	199	0	196	155	44	104	1	6	327	133	2	142	50	74	29	4	154	94	937	1113
Doanh thu thuần###Net Sales	265508	260880	271495	272488	67649	68531	295937	81805	77504	71053	65575	361850	81524	94045	103301	82980	316936	83569	80492	303057	268889	228315	273176
Giá vốn hàng bán###Cost of goods sold	233914	230216	240103	237804	59441	59468	260440	71445	68544	61913	58538	307769	69700	79772	87060	71236	267207	71374	68318	257174	230614	192692	236285
Lợi nhuận gộp###Gross profit	31595	30664	31392	34685	8207	9063	35498	10359	8960	9140	7038	54081	11824	14273	16241	11744	49729	12195	12174	45883	38275	35623	36891
Doanh thu hoạt động tài chính###Financial activities Revenues	1438	1364	1530	1660	355	899	1260	324	195	358	383	869	212	214	227	216	1172	215	313	925	506	451	495
Chi phí tài chính###Financial Expenses	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	26	0	14	0	399	1181	837
Chi phí bán hàng###Selling Expenses	17261	16779	17281	20973	4122	5744	20611	5239	5583	5122	4667	29790	8132	6482	8799	6377	27899	7663	6018	24877	21110	19969	19694
Chi phí quản lý doanh nghiệp###Managing Expenses	8653	7909	8608	7847	2888	2457	8052	2679	1515	1641	2217	12900	3278	4409	2843	2370	11113	2639	3564	11305	9579	8097	8123
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7119	7339	7033	7501	1552	1761	8095	2765	2058	2735	536	12259	626	3596	4825	3213	11863	2107	2892	10626	7693	6828	8732
Thu nhập khác###Other incomes	1638	950	1611	849	238	138	721	103	289	186	142	908	65	439	36	368	838	100	281	621	472	715	349
Chi phí khác###Other Expenses	37	215	41	77	5	0	76	65	0	10	0	100	41	1	0	58	152	0	62	119	42	4	78
Lợi nhuận khác###Other profits	1601	735	1569	771	233	137	646	38	289	176	142	808	24	438	36	310	686	100	220	502	430	711	271
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8720	8074	8603	8273	1785	1899	8740	2803	2348	2911	678	13067	650	4033	4861	3523	12550	2207	3111	11128	8123	7539	9003
Chi phí thuế TNDN###Corporate Income Tax Expenses	1670	1560	1771	1871	370	380	2137	830	517	640	149	3230	237	1137	1069	786	3885	699	1176	3170	2592	2703	2047
Chi phí thuế TNDN###Corporate Income Tax Expenses	1670	1560	1771	1871	370	380	2137	830	517	640	149	3230	237	1137	1069	786	3885	699	1176	3116	2592	2703	2047
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	7050	6514	6832	6401	1415	1519	6603	1972	1831	2271	529	9838	413	2896	3792	2737	8665	1508	1936	7958	5531	4835	6956
---Cac Chi So Tai Chinh---																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.72	20.04	18.84	18.84	18.84	16.72	19.32	19.32	19.10	19.69	20.79	21.14	21.14	19.40	18.48	26.29	14.90	14.90	8.90	6.37	4.60	8.67	9.28
