CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	 2007	 2006
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	7281	7643	9181	9181	11315	13449	15724	9158	9158	3548	3320	2659	3428	3428	291	420	553	711	711	921	1152	1384	1432	1432	1446	1361	711	274	274	81	177	331	415	892	1349	1635	2266	2934	3012	1951	1177	1353	1658	1658	1632	1490	1323	1323	1323	1282	1240	1731	1292	1292	1285	1361	1373	312	318	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	478051	477326	519217	518776	493393	415701	400056	470797	468797	429395	514429	443948	476117	476117	445663	455517	446131	457608	457617	468255	466917	466099	450436	450372	420125	407329	380517	377244	368709	256839	247813	216221	216256	215383	208619	212791	214242	220814	220814	223075	209504	204113	217615	217777	220034	219971	215632	221575	221575	229403	220654	218517	219075	219075	217732	203967	178601	163897	138466	71603	55211
Nợ phải trả ###Liabilities	264020	256318	303098	302871	272615	204465	183645	268406	266406	214460	322745	239896	293256	293256	280650	302354	290343	313486	313433	328959	336642	327290	316952	316528	289462	281090	245674	247540	238958	133730	130279	96022	100967	100094	99633	114481	106777	117475	117475	124378	115070	102986	118350	118440	125611	127054	125711	126595	126597	165600	159219	150991	151827	151533	153445	141225	117286	99049	71835	23304	18480
Nợ ngắn hạn###Short term Liabilities	195880	183658	232924	232696	217624	171306	141162	223167	221167	187887	286625	194410	213597	213597	225467	217073	175735	211276	224197	228844	218016	196094	185539	185116	209871	174499	124559	153999	145416	96942	103357	90349	95293	94420	86878	105122	94057	103755	100075	106731	96407	72729	82890	82914	86048	82116	80798	77695	77697	93547	88666	81938	74874	74580	83839	79711	56972	54774	39346	23246	17775
Nợ dài hạn###Long term Liabilities	68140	72660	70174	70174	54991	33158	42483	45239	45239	26573	36120	45486	79658	79658	55182	85281	114609	102211	89237	100115	118626	131196	131413	131413	79591	106591	121115	93541	93541	36788	26922	5674	5674	5674	12756	9359	12720	13720	17400	17647	18663	30257	35460	35526	39563	44938	44913	48900	48900	72053	70553	69053	76953	76953	69605	61514	60314	44274	32489	57	705
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0
Vốn chủ sở hữu ###Owners equity	214031	221009	216119	215905	220779	211236	216411	202391	202391	214935	191685	204052	182861	182861	165014	153164	155788	144122	144184	139296	130275	138810	133484	133844	130663	126239	134843	129704	129752	123109	117534	120199	115289	115289	108986	98310	107465	103339	103339	98697	94434	101127	99265	99337	94423	92917	89921	94980	94978	63803	61436	67526	67249	67542	64287	62742	61315	64848	66631	0	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	335	436	577	145	240	0	0
Vốn chủ sở hữu ###Owners equity	214031	221009	216119	215905	220779	211236	216411	202391	202391	214935	191685	204052	182861	182861	165014	153164	155788	144122	144184	139296	130275	138810	133484	133844	130663	126239	134843	129704	129752	123109	117534	120199	115289	115289	108986	98310	107465	103339	103339	98697	94434	101127	99265	99337	94423	92917	89921	94980	94978	63803	61436	67526	67249	67249	63952	62306	60738	64703	66391	0	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247813	216221	216256	215383	208619	212791	214242	220814	220814	223075	209504	204113	217615	217777	220034	219971	215632	221575	221575	229403	220654	218517	219075	219075	217732	203967	178601	163897	138466	71603	55211



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	182281	183501	1026320	347749	233273	229201	216157	1009385	279842	264937	246728	217878	814791	212160	208733	214631	179267	636958	187650	165875	151182	132252	488263	143769	131092	120371	92961	369180	103380	93648	94628	77524	320889	90118	81907	78796	70068	285512	79437	74636	71410	60028	237600	65345	63902	59230	49123	172022	58702	47499	36052	29769	143724	34761	31902	38611	38449	163812	47935	0	0
Các khoản giảm trừ doanh thu###Deduction revenues	10538	10644	51264	20678	13572	9731	7284	18240	1571	7719	4746	4204	12909	1539	4828	3083	3459	8292	3427	3813	838	214	579	286	0	59	164	737	317	420	0	0	25	0	0	25	0	0	0	0	0	0	4	4	0	0	0	17	0	0	0	17	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	171743	172858	975056	327071	219701	219470	208874	991145	278271	257219	241981	213675	801882	210621	203905	211548	175808	628666	184223	162062	150343	132038	487684	143483	131092	120311	92798	368443	103063	93228	94628	77524	320864	90118	81907	78771	70068	285512	79437	74636	71410	60028	237597	65341	63902	59230	49123	172005	58702	47499	36052	29752	143724	34761	31902	38611	38449	163812	47935	165343	107939
Giá vốn hàng bán###Cost of goods sold	138556	146859	825236	284847	185258	169564	171210	765296	215634	202147	188272	159243	594525	136064	157657	166287	134518	490442	141537	124866	118190	105772	395884	119709	106848	96476	72553	282165	78750	72446	71314	59656	242678	66943	63325	58991	53419	219123	61564	57752	52989	46818	174523	46962	49170	41972	36257	127892	41296	35176	27030	24473	113287	25289	24773	31753	31472	127045	35583	135252	87799
Lợi nhuận gộp###Gross profit	33187	25998	149819	42224	34443	49906	37663	225849	62637	55072	53709	54431	207357	74558	46248	45261	41290	138224	42686	37196	32153	26266	91800	23774	24244	23836	20244	86277	24314	20782	23313	17868	78186	23175	18583	19780	16649	66389	17874	16884	18421	13210	63074	18379	14733	17258	12866	44112	17405	12323	9022	5278	30437	9473	7128	6859	6977	36768	12352	30091	20140
Doanh thu hoạt động tài chính###Financial activities Revenues	2139	411	3385	1985	546	737	118	2705	1311	830	507	56	20	11	3	2	3	22	4	8	6	5	22	4	7	5	5	31	10	11	5	5	20	4	5	8	4	32	4	6	11	11	78	9	11	42	16	186	17	14	14	141	228	190	14	17	6	32	8	35	101
Chi phí tài chính###Financial Expenses	4483	3479	11768	4276	2403	2829	2094	12280	2639	2831	3282	3528	18057	6202	3837	3599	4419	18785	4769	4583	5031	4402	12583	4493	4182	2554	1353	5492	1455	1354	1256	1427	8061	1417	1825	2151	2668	14657	3027	3350	3945	4335	19833	5021	5536	5106	4170	16156	3841	4530	4331	3453	3262	936	831	630	866	2736	854	1081	1379
Chi phí bán hàng###Selling Expenses	10700	10395	54297	14909	13347	14389	11516	59168	11755	16945	14648	15820	57758	11507	17406	15402	13443	46336	14218	12595	10429	9095	30238	9047	8104	7322	5741	23193	6848	5594	6530	4220	20225	6623	5179	4521	3901	13924	3961	3547	3763	2653	11351	3267	2872	3075	2137	8105	2444	2177	1793	1692	8301	2316	1740	2246	1999	7997	2148	6911	6526
Chi phí quản lý doanh nghiệp###Managing Expenses	7527	6664	33187	10652	7490	8048	6974	43721	17653	7352	9839	8877	40748	11122	10157	10352	9117	35992	9939	8920	10615	6517	27648	6815	6783	6963	6946	29224	8041	6766	7596	6774	24668	7242	6011	6678	4736	17543	5102	4401	4396	3761	15641	3907	4010	4305	3486	11372	3386	2973	2810	2189	10213	2472	2725	2859	2157	11105	3061	11030	7242
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	12615	5871	53953	14372	11749	25376	17197	113384	31901	28774	26448	26262	90814	45738	14851	15909	14315	37133	13764	11106	6084	6257	21354	3423	5181	7002	6210	28399	7979	7079	7936	5452	25252	7896	5571	6437	5347	20296	5788	5592	6327	2472	16327	6194	2326	4815	3089	8666	7752	2657	102	-1914	8889	3939	1847	1141	1963	14961	6297	11104	5095
Thu nhập khác###Other incomes	320	536	2348	1244	458	604	363	1743	691	330	403	320	2844	1180	375	997	505	3025	764	804	802	656	3872	856	1006	663	1348	3919	691	777	1430	1035	1969	637	561	305	466	2319	1408	388	369	270	2438	719	541	659	519	4131	539	673	502	2501	5590	1644	961	1336	1648	2972	522	0	0
Chi phí khác###Other Expenses	2216	291	1169	1102	275	83	31	816	195	36	496	89	4172	3388	409	355	234	1750	565	630	305	250	1848	196	510	179	964	1835	138	588	919	189	694	110	78	195	312	1787	1007	296	224	259	1658	372	419	544	323	1652	323	625	435	269	5238	1816	929	339	2154	2532	332	0	0
Lợi nhuận khác###Other profits	-1895	245	1179	142	183	521	332	927	496	294	-93	231	-1327	-2208	-34	642	272	1275	199	174	497	405	2024	660	496	484	384	2084	553	189	511	846	1275	528	483	110	154	533	402	92	145	11	780	347	122	115	196	2478	217	48	66	2232	352	-172	32	997	-505	439	189	850	637
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	10720	6116	55132	14515	11932	25897	17529	114312	32397	29068	26354	26493	89486	43530	14818	16552	14587	38408	13962	11281	6581	6662	23378	4083	5677	7487	6594	30484	8532	7268	8447	6298	26527	8424	6054	6547	5502	20829	6190	5684	6472	2483	17107	6541	2448	4930	3284	11144	7968	2705	169	317	9241	3767	1879	2138	1457	15400	6487	11954	5732
Chi phí thuế TNDN###Corporate Income Tax Expenses	2188	1226	11038	2906	2389	5182	3509	22901	6483	5817	5298	5302	18403	9200	2968	3314	2921	7696	2796	2260	1320	1336	5159	902	1253	1651	1454	6818	1889	1692	1862	1388	6664	2121	1524	0	0	5207	0	0	0	621	4277	1635	620	1233	821	691	294	338	21	40	1155	471	235	267	182	2156	908	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	2188	1226	11038	2906	2389	5182	3509	22901	6483	5817	5298	5302	18403	9200	2968	3314	2921	7696	2796	2260	1320	1336	5159	902	1253	1651	1454	6818	1889	1692	1862	1388	6664	2121	1524	1643	1375	5207	1547	1421	1618	621	4277	1635	620	1233	821	691	294	338	21	40	1155	471	235	267	182	2156	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8531	4890	44093	11609	9542	20715	14020	91411	25914	23250	21056	21191	71083	34330	11850	13238	11666	30712	11166	9021	5261	5326	18219	3181	4424	5835	5139	23665	6642	5575	6586	4910	19864	6303	4530	4904	4126	15622	4642	4263	4854	1862	12830	4906	1828	3698	2463	10453	7674	2367	147	278	8086	3296	1644	1871	1275	13244	5578	11954	5732
---Cac Chi So Tai Chinh---																																																													
EBITDA	0.32	0.20	0.26	0.26	0.26	0.13	0.00	0.06	0.06	0.04	-0.01	0.20	0.34	0.34	0.02	0.76	1.31	1.11	1.11	1.26	0.79	0.36	0.39	0.39	0.30	0.18	0.33	0.29	0.29	0.32	0.41	0.52	0.84	0.84	0.54	0.32	0.64	0.33	0.33	0.32	0.41	0.06	0.17	0.17	0.44	0.63	0.83	0.77	0.77	0.83	0.71	0.75	0.83	0.83	0.87	0.98	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	35.00	36.07	35.09	35.09	36.59	40.81	46.32	46.32	46.32	44.14	39.04	39.38	26.52	26.52	23.83	24.21	21.50	15.20	15.20	12.76	11.06	8.90	8.71	8.71	8.18	8.42	7.96	8.36	8.36	8.10	7.28	7.57	6.35	6.35	5.13	5.18	4.44	3.35	3.35	3.13	3.24	3.01	2.91	2.91	2.85	2.79	2.67	2.79	2.79	3.08	3.76	3.53	3.23	3.23	4.23	4.55	0.00	0.00	0.00	0.00	0.00
