CAN DOI KE TOAN	 2019	 2018	 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	367592	335464	320548	311519	278534	234302	234302	252543	246650	217454	217454	242003	232829	232829	274494	274494	307254	307254	326585	346112	331061	336923	336923	333534	323360	296274	301366	301366	305619	314874	295063	318235	318179	324800	337370	341975	355405	382173	382787	390791	390827	409632	410317	405402	392297	357734	401792	401693	391742
Nợ phải trả ###Liabilities	281243	261133	261784	257581	234037	193420	193420	216431	223021	209814	209814	252302	259971	259971	293411	293411	327033	327033	338337	345592	326624	317281	317281	315619	305654	280654	282219	282219	289529	300865	283118	302920	302584	319670	335682	340337	343566	342999	327504	310363	276277	288687	284744	364781	358220	324975	368809	368425	375345
Nợ ngắn hạn###Short term Liabilities	273153	255484	229497	221558	197369	159255	159255	165564	174986	163766	163766	198657	215513	215513	233385	233385	321278	321278	331144	338399	319834	310275	310275	309089	300125	270206	271743	271743	259641	270920	253254	273021	272685	279723	292537	297050	288883	288395	257913	240908	207268	230452	226576	265018	258350	225110	268939	268695	252886
Nợ dài hạn###Long term Liabilities	8090	5649	32287	36023	36668	34164	34164	50868	48035	46048	46048	53645	44457	44457	60026	60026	5754	5754	7193	7193	6789	7006	7006	6530	5529	10448	10476	10476	29888	29945	29864	29900	29900	39948	43145	43287	54683	54603	69591	69455	69010	58236	58167	99763	99870	99865	99870	99730	122458
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93628828	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	86349	74331	58764	53938	44498	40882	40882	36112	23630	7641	7641	-10299	-27141	-27141	-18917	-18917	-19778	-19778	-11752	520	4437	19642	19642	17915	17706	15620	19146	19146	16090	14009	11945	15314	15594	5130	1688	1638	11839	39174	55283	80428	114550	120944	125573	40621	34077	32759	32983	33268	16397
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	225	225	225	430	430	430	954	-1706	0	496	623	1052	1462	0	125	101
Vốn chủ sở hữu ###Owners equity	86349	74331	58764	53938	44498	40882	40882	36112	23630	7641	7641	-10299	-27141	-27141	-18917	-18917	-19778	-19778	-11752	520	4437	19642	19642	17915	17706	15620	19146	19146	16090	14009	11945	15314	15369	4905	1463	1413	11409	38744	54853	79474	116256	120944	125077	39998	33025	31297	32983	33143	16295
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326585	346112	331061	336923	336923	333534	323360	296274	301366	301366	305619	314874	295063	318235	318179	324800	337370	341975	355405	382173	382787	390791	390827	409632	409632	405402	392297	357734	401792	401792	391742



KET QUA KINH DOANH	 2019	 2018	 2017	Q2 2017	Q1 2017	 2016	Q3 2016	Q1 2016	 2015	 2014	 2013	 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	593122	559442	486815	131357	83360	470806	133204	81898	451556	393959	330751	322888	81941	93432	63793	366094	81014	102407	114855	67819	328631	89299	86535	94628	58170	352500	89326	105517	102969	54687	218804	37860	48735	64576	67634	345040	104939	84834	87544	67723	356349	108220	200222
Các khoản giảm trừ doanh thu###Deduction revenues	4391	493	8483	-2357	2427	384	2280	713	8969	6908	1900	7910	858	2737	3082	16907	6172	3162	5798	1775	4941	3812	532	484	113	2542	431	175	136	1799	5859	5572	201	86	0	902	224	156	288	234	1068	414	907
Doanh thu thuần###Net Sales	588731	558948	478331	133714	80934	470422	130924	81184	442588	387051	328851	314978	81083	90695	60710	349187	74842	99245	109056	66044	323691	85487	86003	94144	58056	349959	88895	105342	102833	52888	212945	32288	48534	64490	67634	344138	104715	84677	87256	67489	355281	107806	199314
Giá vốn hàng bán###Cost of goods sold	517423	498174	420445	114109	68462	388354	108273	64147	359900	338822	286225	290595	79737	77957	55834	268645	52544	77458	83381	55262	264751	66645	70164	78115	49827	294477	67130	88807	90057	48484	237256	30889	57434	68181	59079	242945	67664	59018	65495	49840	268602	81266	156328
Lợi nhuận gộp###Gross profit	71308	60774	57886	19605	12472	82068	22651	17038	82688	48229	42626	24383	1346	12737	4876	80542	22297	21787	25676	10782	58940	18842	15839	16029	8230	55481	21766	16535	12777	4404	-24310	1399	-8900	-3691	8555	101193	37051	25659	21761	17649	86679	26540	42986
Doanh thu hoạt động tài chính###Financial activities Revenues	332	129	266	259	2	133	-47	3	147	205	446	289	3	156	5	195	111	8	11	65	27	8	8	5	7	83	9	16	51	7	494	20	261	11	174	880	287	167	174	225	396	148	4
Chi phí tài chính###Financial Expenses	13316	12623	9526	2196	1844	9757	2178	2827	14299	15255	18072	26850	5517	6880	7808	30181	7636	7576	7677	7292	22298	6037	5911	5622	4728	20354	4130	3823	5090	7312	26575	8561	7582	6016	4400	26469	7848	6489	6031	5837	23760	4739	12759
Chi phí bán hàng###Selling Expenses	8331	9413	5993	2286	1313	8585	1918	1495	7208	7596	11174	20361	5335	7086	5696	30177	7589	8822	9585	4181	21952	5950	5877	5676	4449	23602	6652	7868	5346	3736	35920	7003	7232	12477	7881	46956	14590	11498	11136	9763	47037	12040	24729
Chi phí quản lý doanh nghiệp###Managing Expenses	19492	17196	14468	4511	4614	25323	6046	4302	23054	17254	11475	12523	2890	3248	2938	19642	4377	5294	6482	3490	11547	3894	2206	2917	2529	7920	3609	1852	1435	1024	8370	2188	1136	1186	1183	4914	2323	891	912	1195	4760	1917	3068
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	30502	21671	28165	10870	4702	38536	12462	8417	38273	8328	2350	-35062	-12394	-4321	-11559	736	2806	104	1943	-4116	3170	2968	1853	1819	-3469	3688	7385	3007	957	-7660	-94681	-16333	-24589	-23359	-4736	23733	12576	6949	3856	1079	11517	7992	2435
Thu nhập khác###Other incomes	2962	703	2201	1207	299	3666	3353	252	2071	3102	2529	1205	121	695	184	1015	111	299	322	284	968	395	228	245	100	1459	267	1071	115	6	3639	736	157	2699	48	707	531	25	72	35	1073	593	0
Chi phí khác###Other Expenses	11450	2347	6853	321	481	2902	213	4398	5562	5564	4018	5155	0	291	4179	1214	842	193	179	0	0	0	0	0	0	4136	136	637	1021	2342	5266	512	0	3083	0	32	0	0	0	0	428	428	0
Lợi nhuận khác###Other profits	-8488	-1644	-4652	886	-182	765	3140	-4146	-3491	-2462	-1489	-3949	121	404	-3994	-198	-730	105	143	284	968	395	228	245	100	-2678	130	434	-906	-2336	-1627	224	157	-385	48	674	531	25	72	35	646	165	597
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	22014	20027	23513	11756	4520	39301	15602	4271	34782	5866	862	-39011	-12273	-3917	-15553	538	2075	209	2086	-3832	4138	3362	2081	2064	-3369	1011	7515	3441	51	-9996	-96308	-16109	-24432	-23744	-4688	24407	13107	6974	3929	1114	12163	8157	3032
Chi phí thuế TNDN###Corporate Income Tax Expenses	6628	4461	5631	2315	904	6060	3120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3072	0	0	0	0	0	0	0	0	0	0	0	0	3417	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	6628	4461	5631	2315	904	6060	3120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3417	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	15385	15566	17883	9441	3616	33241	12482	4271	34782	5866	862	-39011	-12273	-3917	-15553	538	2075	209	2086	-3832	4138	3362	2081	2064	-3369	1011	7515	3441	51	-9996	-96308	-16109	-24432	-23744	-4688	20990	13107	6974	3929	1114	12163	8157	3032
---Cac Chi So Tai Chinh---																																											
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	17.62	8.76	13.49	14.98	15.24	14.01	16.47	13.84	10.51	5.69	1.23	1.23	1.66	3.24	3.33	4.64	4.64	7.88	9.55	14.01	14.80	14.80	15.33	23.47	12.52	11.21	11.21	13.05	9.46	5.87	5.43	5.43	12.00	11.82	27.08	63.87	63.87	31.39	24.08	32.06	7.61	7.61	0.00
