CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011	 2010
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4227	-4072	-3916	-3916	-3751	-3586	-3421	-3257	-3257	-3092	-2927	-2762	-2597	-2597	-2432	-2267	-2102	-1937	-1937	-1782	-1626	-1471	-1316	-1316	-1173	-1030	-887	-744	-744	-173	-173	-30	-30	-28
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	11507	9817	11174	10823	9955	10002	15099	20210	20210	20750	23453	23925	26535	26535	25745	19280	15911	19496	19496	15261	17679	16910	16614	16614	19489	17699	17057	17045	17045	9928	9928	8111	8325	4292
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1181138	1236266	1178317	1157267	1426653	1401516	1332331	1283445	1275446	1424357	1431398	1337581	1394897	1395654	1458744	1507785	1520782	1524605	1530759	1713059	1427935	1046407	1117182	1117182	1166272	891361	658686	706039	706039	519855	519855	469195	402401	296003
Nợ phải trả ###Liabilities	1027174	1088319	1031434	1010312	1291836	1270229	1186449	1138784	1132278	1291309	1296440	1206532	1243009	1245997	1320847	1377631	1398134	1377853	1384010	1572007	1295190	917867	1006393	1006393	1058892	806549	584758	636833	636833	457753	457753	436006	374806	273207
Nợ ngắn hạn###Short term Liabilities	1027174	1088319	1031434	1010287	1291736	1270025	1186070	1135234	1128728	1273853	1278484	1184458	1220435	1223423	1292419	1344290	1364294	1348332	1354489	1546277	1269594	899155	961196	961196	1010935	750778	541090	594439	594439	426238	426238	407827	350320	255236
Nợ dài hạn###Long term Liabilities	0	0	0	25	100	204	379	3550	3550	17456	17955	22074	22574	22574	28428	33341	33840	29521	29521	25729	25596	18711	45197	45197	47957	55771	43668	42394	42394	31514	31514	28179	24486	17971
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	153964	147947	146883	146955	134817	131287	145882	144662	143168	133048	134959	131049	151888	149656	137897	130154	122648	146752	146749	141052	132746	128541	110790	110790	107379	84812	73928	69206	69206	62103	62103	33189	27596	22797
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	153964	147947	146883	146955	134817	131287	145882	144662	143168	133048	134959	131049	151888	149656	137897	130154	122648	146752	146749	141052	132746	128541	110790	110790	107379	84812	73928	69206	69206	62103	62103	33189	27596	22797
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q3 2014	Q1 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	350997	68314	1280282	769729	204868	234181	71505	1224402	727720	194906	227111	75657	2027339	966776	440083	421345	199134	2695993	1409996	555985	273221	456792	2341633	1184488	652494	340086	164565	1551268	327707	65611	1072806	938564	677179	441030
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	350997	68314	1280282	769729	204868	234181	71505	1224402	727608	194906	227111	75657	2027339	966776	440083	421345	199134	2695993	1409996	555985	273221	456792	2341633	1184488	652494	340086	164565	1551268	327707	65611	1072806	938564	677179	441030
Giá vốn hàng bán###Cost of goods sold	321545	63699	1169694	709795	189235	215367	65661	1121133	664187	178691	208323	70812	1878035	891926	410166	392988	182955	2537866	1342318	522383	249823	422671	2217140	1128982	623980	312817	151361	1455456	301279	60282	992461	868001	628590	402545
Lợi nhuận gộp###Gross profit	29453	4615	110588	59934	15633	18814	5844	103270	63422	16215	18788	4845	149304	74851	29917	28357	16179	158128	67678	33601	23397	34121	124494	55507	28514	27269	13204	95812	26428	5329	80344	70563	48589	38485
Doanh thu hoạt động tài chính###Financial activities Revenues	204	161	521	65	150	228	77	1168	902	205	11	50	2538	91	250	1288	908	2739	1146	465	338	790	636	387	103	70	77	746	37	192	691	1312	2880	1272
Chi phí tài chính###Financial Expenses	5210	292	22170	8649	1250	1307	600	16341	13563	555	2033	190	15752	6912	4644	3535	662	7171	4178	1140	1685	838	9804	7765	542	1171	326	9327	2510	6	8709	9724	6988	3406
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	16955	3004	67458	36557	13850	13053	3942	64154	34506	12301	13410	3938	91899	47043	15878	16882	12145	104452	51925	22544	17895	12087	75509	40096	15852	12661	6901	57366	8824	4177	51809	44378	29673	26033
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7492	1480	21481	14793	683	4682	1380	23942	16255	3564	3356	767	44189	20987	9645	9228	4280	49244	12722	10383	4154	21986	39817	8033	12224	13506	6054	29865	15131	1339	20518	17773	14807	10318
Thu nhập khác###Other incomes	317	1142	11278	2913	3756	4463	145	4864	552	1108	2071	1134	4373	1696	1976	706	120	4257	2430	0	1625	202	6528	5253	766	509	0	5044	35	0	5297	2259	972	876
Chi phí khác###Other Expenses	287	1134	4317	189	27	4101	0	1380	64	451	540	325	2813	319	1943	551	0	1389	866	0	522	0	3480	2965	453	62	0	4456	0	0	4970	2021	669	293
Lợi nhuận khác###Other profits	30	8	6961	2725	3729	362	145	3484	487	656	1531	809	1560	1377	32	155	120	2869	1564	0	1102	202	3048	2288	313	447	0	588	35	0	327	238	304	583
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7522	1488	28442	17518	4412	5044	1525	27426	16742	4221	4887	1576	45749	22365	9678	9383	4400	52113	14286	10383	5256	22189	42865	10320	12537	13954	6054	30453	15166	1339	20845	18011	15111	10901
Chi phí thuế TNDN###Corporate Income Tax Expenses	1504	424	5774	3504	882	1009	305	5485	3348	844	977	315	9162	4485	1936	1877	880	10423	2874	2077	1051	4438	9536	2376	2758	3070	1332	6777	3337	295	5211	3886	2644	3113
Chi phí thuế TNDN###Corporate Income Tax Expenses	1504	424	5774	3504	882	1009	305	5485	3348	844	977	315	9162	4485	1936	1877	880	10423	2874	2077	1051	4438	9536	2376	2758	3070	1332	6777	3337	295	5211	3886	2644	3113
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6017	1064	22668	14014	3530	4035	1220	21941	13394	3377	3910	1261	36588	17880	7742	7507	3520	41690	11412	8306	4205	17751	33329	7944	9779	10884	4722	23676	11830	1045	15633	14126	12467	7788
---Cac Chi So Tai Chinh---																																		
EBITDA	0.01	0.36	-0.35	-0.35	0.13	0.28	0.61	0.60	0.60	0.51	0.58	0.27	0.35	0.35	0.82	1.13	1.42	1.38	1.38	1.09	-0.15	-0.09	-0.44	-0.44	-0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.30	8.00	9.10	9.10	9.00	7.03	6.18	7.54	7.54	8.30	11.00	9.77	9.09	9.09	10.63	11.78	14.15	12.56	12.56	15.48	18.47	11.21	8.28	8.28	7.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
