CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	5700	13700	5700	5700	5700	5700	5700	5700	6200	6200	6200	6200	6200	6200	7640	4834	12500	12000	12500	500	0	500	0	0	0	500	0
Tài sản dài hạn khác###Other long term assets	15	0	0	0	0	0	911	1028	1028	1145	1266	1371	1485	1632	1289	1303	2313	1719	1866	3183	1340	1707	1759	1759	2022	2169	768
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	53167	51280	51516	53939	51808	51311	62265	62385	64044	66813	72853	76516	74546	143262	100532	65783	68624	65618	65600	65203	62727	62936	61760	61760	55778	55778	20570
Nợ phải trả ###Liabilities	10370	9079	9375	11114	9289	8831	21601	20285	20217	23081	29331	34683	32843	101559	59041	24562	27520	24858	24785	24587	23053	23610	22775	22775	20343	20343	13797
Nợ ngắn hạn###Short term Liabilities	10370	9079	9375	11114	9289	8831	20628	19313	19244	22052	28220	33491	31571	100286	59041	24562	27520	24858	24785	19859	18096	18425	17361	17361	15093	15093	7857
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	973	973	973	1029	1110	1192	1273	1273	0	0	0	0	0	4728	4956	5185	5414	5414	5250	5250	5940
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	42797	42201	42141	42825	42519	42480	40665	42100	43827	43732	43522	41834	41702	41702	41491	41222	41104	40760	40815	40617	39674	39326	38985	38985	35434	35434	6773
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	42797	42201	42141	42825	42519	42480	40665	42100	43827	43732	43522	41834	41702	41702	41491	41222	41104	40760	40815	40617	39674	39326	38985	38985	35434	35434	6773
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	7290	8194	39769	11866	9120	11291	7493	45455	8437	7971	14007	15040	71599	22121	18509	14804	16164	54284	20119	12928	11850	9255	57162	13918	14446	41616	23426
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	7290	8194	39769	11866	9120	11291	7493	45455	8437	7971	14007	15040	71599	22121	18509	14804	16164	54284	20119	12928	11850	9255	57162	13918	14446	41616	23426
Giá vốn hàng bán###Cost of goods sold	6823	6627	31135	9411	8243	7173	6308	37367	7126	6401	10538	13303	64300	20401	16747	12945	14207	45866	18171	10246	10004	7445	46482	11278	12199	32055	19157
Lợi nhuận gộp###Gross profit	467	1567	8635	2455	877	4118	1185	8087	1312	1570	3469	1737	7298	1720	1762	1860	1957	8418	1948	2683	1846	1810	10680	2640	2247	9562	4268
Doanh thu hoạt động tài chính###Financial activities Revenues	0	1	2	447	1	0	1	1	0	0	0	0	76	53	23	0	0	331	47	0	205	79	351	109	35	162	2
Chi phí tài chính###Financial Expenses	0	0	311	0	0	182	129	1483	198	266	256	263	843	178	195	286	240	878	249	207	204	220	826	189	204	1425	1105
Chi phí bán hàng###Selling Expenses	-245	245	564	0	0	-240	240	877	119	189	265	309	1207	510	250	192	254	1149	315	303	258	272	2312	1434	590	1373	1549
Chi phí quản lý doanh nghiệp###Managing Expenses	-136	1252	2884	520	843	1276	585	4728	876	852	837	1000	4109	807	1050	1225	1027	4226	1168	993	1074	991	3410	0	786	2533	989
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	848	71	4877	2381	34	2900	232	1000	119	263	2112	164	1215	278	290	156	436	2497	262	1179	516	407	4484	1126	703	4393	627
Thu nhập khác###Other incomes	0	5	893	0	0	38	175	0	0	0	0	0	0	0	0	0	0	0	-1	0	132	0	0	0	300	27	815
Chi phí khác###Other Expenses	2	0	5719	2755	1	1123	1842	401	1	0	0	0	23	2	9	7	5	69	13	1	1	1	30	13	0	20	1078
Lợi nhuận khác###Other profits	-2	4	-4827	-2755	-1	-1085	-1667	-401	-1	0	0	0	-23	-2	-9	-7	-5	-69	-14	-1	131	-1	-30	-13	300	7	-263
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	846	76	51	-373	34	1815	-1435	599	118	263	2112	164	1192	276	280	150	430	2427	248	1178	647	406	4454	1113	1003	4400	364
Chi phí thuế TNDN###Corporate Income Tax Expenses	170	15	10	0	7	0	0	201	24	53	423	33	251	55	56	32	86	472	50	236	118	65	903	221	213	621	91
Chi phí thuế TNDN###Corporate Income Tax Expenses	170	15	10	0	7	0	0	201	24	53	423	33	251	55	56	32	86	472	50	236	118	65	903	221	213	621	91
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	676	60	41	-373	27	1815	-1435	398	95	210	1688	131	942	221	224	117	344	1955	198	942	528	341	3551	892	790	3779	273
---Cac Chi So Tai Chinh---																											
EBITDA	-0.17	0.10	-0.22	-0.22	0.13	0.59	0.53	0.59	0.59	0.61	0.11	-0.06	-0.73	-0.73	-0.17	2.24	2.30	2.42	2.42	2.64	3.62	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.70	32.80	32.80	32.80	21.60	26.50	34.30	38.80	38.80	37.70	35.00	52.00	61.70	61.70	25.00	16.30	13.70	10.60	10.60	9.40	10.70	14.80	0.00	0.00	0.00	0.00	0.00
