CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	571209	513255	487317	487317	514414	504051	482383	477140	477140	499454	478190	462869	419964	419964	392682	420400	382022	288866	288866	290268	269424	245828	198133	198133	219400	201454	177546	165822	165586	183415	180054	189347	179946	179946	190442	199626	171045	159230	157386	168867	99613	78979	57667
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255939	308919	253630	253630	232015	262331	331393	254232	251835	229265	247800	167949	101826



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	282757	287421	914408	327650	155779	302231	128747	803437	250759	197437	143993	211247	688226	105963	139526	144423	298314	520500	39653	55179	162036	267214	554815	35575	129914	183236	207009	411764	66557	42800	126433	175973	575084	63086	54312	278243	179443	598669	53972	47045	365324	192113	123989
Các khoản giảm trừ doanh thu###Deduction revenues	5238	0	26	26	0	0	0	1537	1534	0	0	3	258	0	0	0	258	0	0	0	0	0	1674	0	1674	0	0	97	0	0	0	97	0	0	0	0	0	5711	5689	0	70	0	0
Doanh thu thuần###Net Sales	277519	287421	914382	327624	155779	302231	128747	801900	249225	197437	143993	211244	687968	105963	139526	144423	298056	520500	39653	55179	162036	267214	553141	35575	128241	183236	207009	411667	66557	42800	126433	175876	575084	63086	54312	278243	179443	592958	48283	47045	365254	192113	123989
Giá vốn hàng bán###Cost of goods sold	210554	248910	797413	289319	129723	268478	109893	647869	219433	161252	112113	155071	463528	71315	104705	94647	192862	363402	23581	29639	104570	208822	457369	24626	100767	146597	186298	375524	71538	36756	111291	156237	484048	58519	41828	235666	148284	475836	42641	38890	300318	139559	105830
Lợi nhuận gộp###Gross profit	66965	38511	116969	38305	26057	33753	18854	154030	29792	36186	31880	56173	224440	34649	34821	49776	105194	157098	16072	25540	57466	58392	95772	10949	27473	36639	20711	36143	-4981	6044	15142	19639	91036	4567	12484	42577	31160	117123	5642	8155	64936	52554	18159
Doanh thu hoạt động tài chính###Financial activities Revenues	4655	6701	13216	2394	2925	4567	3329	12535	939	1161	5601	4834	12670	5100	1687	4063	1819	5849	1619	17	2857	1264	6162	637	473	3146	1905	5204	1825	127	1456	2333	8408	2134	524	2471	3279	11609	1195	1895	2279	5177	3329
Chi phí tài chính###Financial Expenses	10186	10792	48057	11878	12140	12775	11264	46113	11630	12615	12238	9630	26271	7172	7257	7117	4725	6382	2088	1878	1272	1081	2958	2792	37	0	128	2131	659	379	605	605	1335	483	10	82	760	2125	54	0	844	2135	1237
Chi phí bán hàng###Selling Expenses	1153	2110	4490	703	755	1735	1297	4752	1193	409	1253	1898	3305	773	304	780	1448	2609	177	198	816	1419	3660	371	555	1326	1407	4979	523	435	2399	1622	13815	792	579	3158	9286	19429	992	1678	7685	9135	5433
Chi phí quản lý doanh nghiệp###Managing Expenses	2208	6842	15465	6275	2539	2219	4433	20354	5015	2963	5798	6578	22546	5520	1989	7507	7530	16039	4590	2281	-154	9322	16801	4641	2546	2068	7547	16483	6123	1749	1705	6973	17832	4252	1823	3015	8493	21473	8765	1976	16524	12596	5723
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	58073	25468	62172	21843	13548	21591	5190	95347	12892	21361	18192	42901	184988	26285	26958	38435	93310	137917	10836	21200	58388	47835	78515	3782	24808	36390	13534	17754	-10460	3608	11889	12772	66463	1175	10595	38794	15899	85705	-2973	6396	42163	33865	9096
Thu nhập khác###Other incomes	153	552	385	9	16	173	188	2108	2175	0	-79	11	8060	1324	3337	3333	67	275	2316	16	57	181	2082	1049	154	809	70	8513	7203	919	2	372	1417	1108	0	309	0	508	494	0	27	277	403
Chi phí khác###Other Expenses	273	82	220	-11	1	95	135	2903	6	98	2792	6	3328	143	53	3128	4	466	2663	70	18	11	300	0	215	11	74	2868	2212	70	22	15	37	37	0	0	0	0	0	0	0	293	9
Lợi nhuận khác###Other profits	-119	470	165	20	14	78	53	-795	2169	-98	-2871	4	4733	1180	3284	205	63	-191	-347	-54	39	170	1782	1049	-60	798	-4	5645	4991	849	-20	357	1379	1070	0	309	0	508	494	0	27	-16	394
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	57953	25938	62337	21863	13562	21669	5243	94552	15062	21263	15322	42905	189721	27465	30242	38640	93373	137726	10489	21146	58427	48005	80298	4832	24748	37188	13530	23399	-5469	4457	11869	13129	67842	2245	10595	39103	15899	86212	-2479	6396	42190	33849	9490
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	263	217	692	92	4	331	310	1429	-1102	2	1123	1406	6239	-321	980	2217	3282	16960	879	2331	9776	0	17156	0	0	7477	8462	1697
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	263	217	692	92	4	331	310	1429	-1102	2	1123	1406	6239	-321	980	2217	3282	16960	879	2331	9776	3975	17156	-3032	0	7477	8462	1697
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	57953	25938	62337	21863	13562	21669	5243	94552	15062	21263	15322	0	189241	0	0	0	0	137033	10398	21143	58096	47695	78868	5933	24746	36065	12124	17160	-5148	3476	9652	9847	50881	1366	8264	29327	11924	69056	552	6396	34713	25387	7793
---Cac Chi So Tai Chinh---																																											
EBITDA	0.65	0.83	0.57	0.57	0.16	-0.03	0.24	0.10	0.10	0.25	0.36	0.06	0.16	0.16	0.56	0.43	1.47	1.26	1.26	1.16	1.16	0.66	0.49	0.49	0.47	0.17	0.28	0.41	0.41	0.48	0.31	0.08	-0.53	-0.53	-0.32	-0.11	-0.09	0.83	0.83	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	49.50	41.00	42.40	42.40	36.99	33.58	48.36	44.96	44.96	53.62	66.38	69.75	123.45	123.45	121.57	118.92	88.48	59.39	59.39	83.93	68.03	37.01	27.83	27.83	19.35	12.57	13.16	13.70	13.70	11.37	12.32	11.04	10.31	10.31	8.41	9.20	9.13	9.13	9.13	0.00	0.00	0.00	0.00
