CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q2 2010	 2009	Q4 2009	Q3 2009	 2008
Nợ dài hạn###Long term Liabilities	46365	46648	45680	12408	11459	11913	9549	9549	9549	5194	5157	4106	4068	4093	1857	1819	1782	1745	1745	3682	3644	3607	3570	1595	1558	1521	3296	1248	0	1248	1248	0	0	0	0	0	0	0	0	169	170	180	183	183	188	190	198	206	206	0	16801	16801	0	26
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	273545	256519	248583	252042	234412	225463	240694	231979	233097	227297	217163	230972	223571	224569	216255	209478	225342	221324	220748	212344	204943	242698	230872	233437	218251	213052	232695	199998	226061	212955	206955	205571	197775	198661	191025	188170	219840	207098	209901	203118	190794	215103	192143	192411	182054	209219	191112	172222	172222	0	117737	117737	0	74805
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-238
Vốn chủ sở hữu ###Owners equity	273545	256519	248583	252042	234412	225463	240694	231979	233097	227297	217163	230972	223571	224569	216255	209478	225342	221324	220748	212344	204943	242698	230872	233437	218251	213052	232695	199998	226061	212955	206955	205571	197775	198661	191025	188170	219840	207098	209901	203118	190794	215103	192143	192411	182054	209219	191112	172222	172222	0	117737	117737	0	75043
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24109	23240	24014	23018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314550	261362	247470	247470	237824	250688	296161	276922	277183	287029	279931	293070	254024	254325	221019	252470	241911	240124	240124	0	221595	221595	0	172136



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	116139	91216	473661	165359	94896	97292	116117	380466	87854	112205	84251	96128	276653	72036	71335	74124	59174	402005	110283	94481	104784	92566	350199	125003	67573	71700	85923	344306	135306	74618	60993	73608	361174	75075	67556	102279	116263	377423	50549	84755	115858	126261	336370	79980	69862	90564	95964	316760	91053	86443	58773	80491	274968	148758
Các khoản giảm trừ doanh thu###Deduction revenues	39	25	22	13	0	9	0	9	7	0	1	0	451	279	157	14	0	14	14	0	0	0	134	0	6	28	100	31	18	2	12	0	123	0	3	8	111	2	2	0	0	0	35	0	22	0	13	315	112	52	151	0	0	0
Doanh thu thuần###Net Sales	116099	91192	473638	165346	94896	97283	116117	380457	87847	112205	84249	96128	276203	71757	71178	74109	59174	401991	110269	94481	104784	92566	350065	125003	67566	71673	85823	344274	135289	74617	60981	73608	361050	75075	67553	102270	116152	377421	50547	84755	115858	126261	336335	79980	69841	90564	95951	316444	90941	86391	58622	80491	274968	148758
Giá vốn hàng bán###Cost of goods sold	81627	69439	383962	134361	73660	79384	93880	304205	71309	88356	66682	76195	215056	57022	53673	58685	45719	301217	85046	73136	74942	68042	261699	96466	48084	51833	65439	281236	114325	57762	49149	60543	306494	62269	60331	85933	97961	295995	42038	67553	89339	97220	260040	62387	55471	68110	74072	244023	69768	68468	43744	62042	208318	119290
Lợi nhuận gộp###Gross profit	34473	21753	89676	30985	21236	17900	22236	76252	16538	23849	17567	19933	61147	14735	17505	15424	13455	100774	25223	21345	29842	24524	88366	28537	19482	19840	20384	63038	20964	16855	11832	13065	54556	12806	7222	16337	18190	81427	8509	17202	26519	29041	76295	17594	14369	22453	21879	72422	21173	17922	14877	18449	66650	29468
Doanh thu hoạt động tài chính###Financial activities Revenues	620	68	3207	1088	986	422	696	1890	450	769	376	296	824	394	105	192	134	859	135	99	373	253	562	79	179	212	93	6171	2504	222	2977	468	2108	484	592	488	544	3843	1766	675	720	684	3192	813	1467	519	393	1359	645	264	187	264	704	66
Chi phí tài chính###Financial Expenses	3127	2012	2138	690	684	376	235	-1025	-898	194	-540	373	-1549	-2053	255	229	215	4153	77	313	3508	256	2111	1644	106	183	51	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	2125	217	637	680	591	4037	0
Chi phí bán hàng###Selling Expenses	4201	3733	13295	3803	2822	3053	3630	13827	3050	3796	3521	3460	9567	2545	2531	2257	2234	20059	5134	5136	5761	3966	20910	4833	5515	5549	5013	11851	3743	4614	2033	1546	7093	2088	1500	1753	1752	8221	1852	2030	2005	1701	7025	2344	1579	1844	1259	5588	1639	1501	1452	995	1839	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5972	6274	25078	6283	6130	6686	6004	23514	6415	5611	6084	5521	22733	5854	5462	5796	5621	23795	5601	5593	7173	5355	19212	5369	4946	4651	4186	14107	4796	4117	2630	2576	12199	3301	2740	3330	2828	11578	2669	2648	3282	2901	9913	2560	2316	2772	1963	7364	2337	1949	1937	1141	6176	2007
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	21792	9802	52373	21297	12586	8207	13063	41825	8421	15017	8878	10876	31220	8783	9361	7333	5520	53626	14547	10402	13773	15200	46695	16770	9094	9669	11227	43242	14918	8346	10146	9412	37372	7901	3575	11742	14154	65471	5754	13198	21953	25123	62545	13503	11937	18356	19050	58705	17625	14099	10995	15986	55302	27527
Thu nhập khác###Other incomes	463	189	5270	3349	132	1761	60	555	333	63	84	87	2367	1021	77	1156	113	874	309	49	83	274	813	291	198	59	121	1931	110	179	0	1458	976	967	4	0	4	155	155	0	0	0	0	0	0	0	0	4	4	0	0	0	2084	1316
Chi phí khác###Other Expenses	73	73	368	136	72	102	57	316	94	70	78	87	280	75	77	68	61	238	65	43	82	48	263	101	146	102	0	1152	6	16	0	747	236	235	0	0	0	0	0	0	0	0	5	0	5	0	0	5	-50	-8	53	10	369	1227
Lợi nhuận khác###Other profits	390	116	4902	3214	60	1659	3	239	239	-7	6	0	2087	946	0	1089	52	636	245	6	1	226	551	190	52	-44	121	778	104	163	0	711	740	732	4	0	4	155	155	0	0	0	-5	0	-5	0	0	-1	54	8	-53	-10	1715	89
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	22182	9918	57275	24510	12646	9865	13066	42064	8660	15010	8884	10876	33307	9730	9361	8422	5572	54263	14792	10407	13774	15426	47246	16960	9145	9625	11347	44020	15023	8509	10146	10123	38112	8633	3579	11742	14158	65626	5909	13198	21953	25123	62540	13503	11931	18356	19050	58704	17678	14107	10942	15977	57016	27616
Chi phí thuế TNDN###Corporate Income Tax Expenses	4396	1982	11412	4635	2555	2033	2723	8789	1830	3083	1860	2182	6903	2129	1927	1755	1180	8792	2695	1596	3282	1955	6871	1613	1420	1626	1658	4718	1289	1530	747	952	3836	894	406	1070	0	4223	0	0	0	2163	1113	370	391	249	104	423	0	81	59	88	574	6573
Chi phí thuế TNDN###Corporate Income Tax Expenses	3975	1982	11917	4635	2555	2033	2723	8789	1830	3083	1860	2182	6903	2129	1927	1755	1180	8750	2695	1596	3240	1955	6561	1613	1420	3045	0	4434	1313	1575	747	952	3836	894	406	1070	1417	4223	-875	874	1968	2163	1113	370	391	249	104	423	195	81	59	88	574	6573
Chi phí thuế TNDN###Corporate Income Tax Expenses	420	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	42	0	310	0	0	-1420	1658	284	-24	-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	19575	8239	49386	21175	11056	8954	10948	35640	8005	12632	7024	9403	28647	8416	7977	7059	4884	49033	12097	8812	10491	13471	43001	15347	7726	7999	9689	40646	13734	6979	9400	9171	34277	7739	3172	10672	12742	61403	6784	12324	19985	22960	61427	13133	11541	18107	18946	58281	17483	14026	10883	15889	56443	21043
---Cac Chi So Tai Chinh---																																																						
EBITDA	0.34	0.08	-0.18	-0.18	-0.07	-0.07	0.10	0.12	0.12	0.07	0.07	0.09	0.07	0.07	0.24	0.21	0.16	0.28	0.28	0.32	0.39	0.29	0.19	0.19	0.09	-0.23	0.23	0.27	0.27	0.51	0.63	0.64	0.30	0.30	0.29	0.29	0.49	0.72	0.72	0.70	0.87	0.60	0.52	0.52	0.40	0.69	1.34	1.12	1.12	1.54	0.89	-0.18	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	17.20	18.90	19.40	19.40	19.70	18.17	19.81	19.91	19.91	17.35	16.34	17.11	16.86	16.86	20.20	22.54	22.92	24.17	24.17	25.42	20.97	19.29	17.36	17.36	18.93	20.29	21.45	20.86	20.86	17.79	18.31	19.65	15.73	15.73	14.19	15.73	15.95	13.44	13.44	12.50	11.93	8.43	8.12	8.12	8.61	9.70	10.28	11.76	11.76	9.31	15.87	13.08	10.87	0.00
