CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2906	-2879	-2817	-2817	-2754	-2692	-2630	-2567	-2579	-2510	-2448	-2387	-2327	-2327	-2267	-2207	-2148	-2088	-2088	-2029	-1969	-1899	-1829	-1587	-1401	-1231
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	12483	11687	12051	11804	11227	10896	12065	11941	11941	10394	10191	10498	9758	9758	9332	8000	8062	8365	8365	7832	7332	6694	7371	7638	9365	7292
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	282503	292667	301005	300622	306996	295645	284446	289847	286885	274838	274327	270999	283299	283645	275158	260714	261435	255870	255870	257449	247969	240437	240136	256083	256361	263828
Nợ phải trả ###Liabilities	52839	57125	75895	75459	72567	70704	59990	80896	77934	59138	60236	52345	62788	63135	61948	51207	52222	61185	61185	53865	48619	38553	48208	48110	54305	84017
Nợ ngắn hạn###Short term Liabilities	52724	57046	75876	75440	72356	70657	59900	80854	77892	58849	60101	52137	62734	63081	61886	50929	51901	61043	61043	53706	48481	38379	48029	41388	40722	61054
Nợ dài hạn###Long term Liabilities	114	79	18	19	212	47	90	42	42	289	136	208	54	54	62	278	321	142	142	159	138	174	179	6722	13582	22963
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	229664	235541	225110	225163	234429	224942	224456	208951	208951	215700	214091	218654	220511	220511	213210	209507	209213	194684	194684	203584	199350	201884	191928	207973	202056	179810
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	229664	235541	225110	225163	234429	224942	224456	208951	208951	215700	214091	218654	220511	220511	213210	209507	209213	194684	194684	203584	199350	201884	191928	207973	202056	179810
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	113859	136313	660649	173239	180819	167076	139516	581627	155928	153970	145729	126000	542999	143956	145723	135813	117508	479529	131070	128538	116150	103771	444225	428139	408976	399664
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	3
Doanh thu thuần###Net Sales	113859	136313	660649	173239	180819	167076	139516	581627	155928	153970	145729	126000	542999	143956	145723	135813	117508	479529	131070	128538	116150	103771	444225	428137	408969	399661
Giá vốn hàng bán###Cost of goods sold	86241	109950	509409	141688	134077	127872	105771	446576	124974	116176	109506	95919	417687	117143	109693	102150	88702	367284	105912	93158	87622	80592	340356	326653	307037	296132
Lợi nhuận gộp###Gross profit	27617	26362	151241	31551	46742	39203	33745	135051	30954	37794	36223	30080	125312	26813	36030	33663	28806	112245	25159	35380	28527	23179	103869	101484	101932	103529
Doanh thu hoạt động tài chính###Financial activities Revenues	213	230	803	297	261	142	104	1171	193	239	344	395	1270	430	310	310	220	425	100	118	113	94	411	555	1031	1312
Chi phí tài chính###Financial Expenses	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	521	1658	4281	7937
Chi phí bán hàng###Selling Expenses	2603	2921	13701	3889	3253	3492	3063	12908	3600	3330	3281	2698	12497	3582	3061	3228	2626	11727	3334	2901	2860	2631	10628	9996	9817	10573
Chi phí quản lý doanh nghiệp###Managing Expenses	9206	11869	53190	16779	12143	12262	11961	49680	15152	11557	11783	11187	43565	13837	10169	9762	9797	38057	12057	9324	8275	8402	33742	31557	31443	31666
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	16021	11803	85143	11164	31607	23592	18825	73634	12394	23146	21503	16590	70520	9823	23111	20983	16603	62886	9867	23274	17505	12240	59389	58829	57422	54664
Thu nhập khác###Other incomes	377	537	2051	993	432	340	287	1891	914	335	339	314	1311	669	169	160	314	1701	601	322	217	561	1394	933	1114	1384
Chi phí khác###Other Expenses	16	9	592	403	4	130	38	589	133	140	318	8	694	390	114	190	2	570	442	110	15	4	412	454	140	642
Lợi nhuận khác###Other profits	360	528	1459	590	427	210	248	1302	781	194	21	306	616	279	55	-30	312	1131	160	212	202	557	982	479	974	742
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	16381	12331	86602	11754	32034	23802	19073	74936	13175	23341	21525	16896	71136	10102	23165	20953	16915	64017	10026	23486	17707	12798	60371	59308	58396	55407
Chi phí thuế TNDN###Corporate Income Tax Expenses	1842	1387	9621	1238	3588	2666	2136	8324	1321	2684	2409	1891	8104	1016	2618	2559	1910	7212	1212	2610	1968	1422	6888	6778	6733	6284
Chi phí thuế TNDN###Corporate Income Tax Expenses	1842	1387	9621	1238	3588	2666	2136	8324	1321	2684	2409	1891	8104	1016	2618	2559	1910	7212	1212	2610	1968	1422	6888	6778	6733	6284
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	14539	10944	76981	10517	28446	21135	16937	66611	11853	20657	19115	15005	63032	9086	20547	18395	15005	56804	8815	20875	15739	11375	53483	52530	51663	49123
---Cac Chi So Tai Chinh---																										
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	46.61	48.33	49.59	49.59	48.80	52.92	53.30	50.05	50.05	50.05	50.40	62.55	58.15	58.15	37.50	39.57	40.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
