CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-8137	-7599	-8018	-8018	-27539	-25648	-24034	-22952	-22952	-23942	-22524	-21310	-19112	-19112	-16828	-18973	-16519	-14381	-14381	-12018	-9726	-7432	-5767	-5767	-5291	-7407	-6904	-6338	-6338	-27223	-25584	-23989	-22438	-22438	-21526	-20709	-19525	-25988	-25983	-25301	-23595	-22793	-21847	-21847	-30915	-29566	-27335	-26503	-26503	-24495	-22885	-22307	-18675	-18675	-15077	-11656	-16110	-14098	-7726	-7411
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-84	-80	-76	-73	-73	-69	-65	-61	-57	-57	-53	-50	-46	-42	-42	-38	-34	-30	-27	-27	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	134777	134274	134274	134274	134274	134274	135469	135469	135469	135469	135469	135718	135718	135718	135718	135718	32039	32039	32039	6039	6039	6435	6435	6435	6435	6435	6837	6837	6837	9804	9804	10147	10147	10147	10147	10147	10666	10666	10830	11411	11411	11414	11424	11424	11434	9456	9466	9174	9174	1687	1697	1740	1750	1750	214	224	234	244	210	262
Tài sản dài hạn khác###Other long term assets	162986	163181	163721	163721	166798	170407	172982	174723	174496	174588	175207	172849	174601	174601	177266	180192	181155	180121	182435	110623	4485	4146	4899	4899	3687	3453	2794	3996	3917	3094	2469	1965	3253	3253	2950	3132	2220	1850	354	196	195	196	222	852	263	330	594	240	240	214	297	435	581	581	753	913	1115	1632	336	479
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	859405	823437	806806	806806	827207	811274	827401	846574	846392	918294	906493	871751	857495	857495	852691	871092	757941	724257	726570	659571	571064	541111	536043	536043	558830	547282	507876	521034	520952	528708	541991	527108	525288	525038	539863	568304	559518	533757	535297	585877	625817	613223	660513	661041	610368	590341	606770	570723	569978	629725	632219	618202	581816	581812	563467	502272	472411	558386	473069	469166
Nợ phải trả ###Liabilities	479595	434733	425468	425468	466883	457425	483935	505741	505741	563315	557308	523731	514256	514256	495836	518842	401193	380073	380686	294909	221435	191547	203648	203363	208176	221669	175863	199413	199395	216361	252194	214617	230294	230073	257849	301123	290401	283023	283863	344921	399730	389048	446905	446994	399574	383496	367948	333094	330262	390214	399002	386906	345932	340542	345180	326613	327768	414851	318633	387058
Nợ ngắn hạn###Short term Liabilities	196702	151335	141564	141564	182472	172672	198541	220347	220347	263074	263857	230280	221914	221914	189694	216115	202466	181347	181960	253099	182687	152800	165752	165467	193065	207208	162181	188034	188017	201089	237422	200733	213582	213361	241107	285478	274757	268239	269079	319193	372716	363023	420138	420227	361796	352957	340706	307508	304676	351036	359809	348579	309727	304338	246521	228172	248697	337817	258860	298326
Nợ dài hạn###Long term Liabilities	282893	283398	283903	283903	284412	284753	285395	285395	285395	300241	293451	293451	292343	292343	306142	302727	198727	198727	198727	41810	38747	38747	37896	37896	15111	14460	13682	11379	11379	15272	14773	13884	16712	16712	16742	15645	15645	14784	14784	25728	27014	26025	26767	26767	37778	30539	27242	25587	25587	39178	39193	38327	36204	36204	98659	98440	79071	77034	59773	88732
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Vốn chủ sở hữu ###Owners equity	379810	388704	381338	381338	360324	353849	343466	340833	340651	354979	349185	348019	343238	343238	356855	352251	356748	344183	345884	364662	349630	349564	332395	332680	350654	325613	332014	321622	321557	312348	289797	312491	294994	294965	282013	267181	269116	250734	251434	240957	226087	224175	213608	214048	210794	206845	238822	237628	239716	239511	233217	231296	235885	241270	218287	175659	144643	143535	154436	82108
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	-150	-150	-119	-119	83	250	250	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	-42	-42	-42	-7	-48	-21	-21	-21	22	201	328	328	328	154	154	182	182	182	196	181	223	223	1073	1350	1455	1821	1849	336	-101
Vốn chủ sở hữu ###Owners equity	379810	388704	381338	381338	360324	353849	343466	340983	340801	355098	349304	347937	342988	342988	356505	351901	356748	344183	345884	364662	349630	349564	332395	332680	350654	325613	332014	321622	321557	312348	289779	312533	295036	295006	282021	267229	269137	250755	251455	240935	225886	223847	213281	213720	210640	206690	238640	237446	239534	239315	233037	231073	235661	240197	216937	174204	142821	141686	154100	82209
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541991	527108	525288	525038	539863	568304	559518	533757	535297	585877	625817	613223	660513	661041	610368	590341	606770	570723	569978	629725	632219	618202	581816	581812	563467	502272	472411	558386	473069	469166



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	205782	194792	929147	219304	232022	247247	230575	928603	223478	244504	244073	216548	936281	242087	244307	238687	211200	912996	248006	221355	244017	199618	967436	232535	264503	273807	196592	995726	256984	260035	270512	208195	982941	245030	253814	255379	228494	1094712	246782	267335	281474	298983	1218311	295622	321306	295113	304295	1153299	298961	307300	294644	251208	1096404	291533	299972	302217	202682	926251	897154	486685
Các khoản giảm trừ doanh thu###Deduction revenues	-565	565	2930	1500	336	748	345	3359	1731	544	931	152	2544	544	829	1119	52	3943	297	123	2854	668	7173	2341	1089	3485	259	2443	927	192	1083	241	568	25	230	264	49	6362	423	1415	2059	2466	5944	2491	3016	161	0	1153	787	193	161	11	3375	1973	138	499	766	5959	1237	3001
Doanh thu thuần###Net Sales	206347	194227	926217	217804	231685	246499	230230	925244	221747	243960	243141	216396	933737	241543	243478	237568	211148	909054	247709	221232	241164	198950	960263	230194	263414	270322	196333	993283	256056	259842	269430	207955	982373	245006	253583	255115	228445	1088350	246359	265921	279415	296517	1212367	293131	318290	294952	304295	1152146	298174	307106	294483	251197	1093029	289560	299835	301718	201916	920292	895917	483683
Giá vốn hàng bán###Cost of goods sold	155936	152453	764613	182652	185639	201552	194769	780814	193484	208363	200881	178314	784454	212052	209578	193613	169210	727811	205556	178201	187354	156700	773946	194510	206163	209663	163610	801693	211400	205152	217416	167833	791361	194936	209299	204053	183073	919743	207203	218895	238020	252427	1108738	261806	287359	268909	281868	1041989	274119	272971	268440	225989	888072	237938	227569	243978	178587	829847	794004	419330
Lợi nhuận gộp###Gross profit	50411	41774	161605	35152	46046	44946	35460	144430	28263	35597	42261	38082	149283	29491	33900	43955	41938	181243	42153	43031	53809	42249	186317	35683	57251	60659	32723	191590	44656	54690	52014	40122	191012	50070	44284	51062	45372	168607	39157	47026	41395	44090	103629	31325	30930	26044	22427	110158	24054	34135	26044	25208	204957	51622	72266	57740	23329	90445	101913	64353
Doanh thu hoạt động tài chính###Financial activities Revenues	1225	958	2079	840	765	372	102	1302	488	275	244	295	1572	361	300	462	449	1997	612	537	365	483	1946	443	851	446	205	1013	188	252	274	298	1080	300	299	291	190	848	198	197	203	196	1832	211	233	461	318	1673	476	188	461	548	1430	592	227	483	129	1014	680	246
Chi phí tài chính###Financial Expenses	1343	1509	10445	2027	2286	3680	2453	14291	3662	4115	3547	2967	11690	3004	2848	3023	2814	13074	5108	2611	3052	2303	9950	2691	2031	3043	2186	14586	3126	3389	4387	3684	22831	4200	4976	7472	6183	42551	7914	8320	11118	15337	50765	15098	11959	10492	11103	43247	9796	11823	10492	7602	27775	5736	5334	6476	10229	47077	26417	23677
Chi phí bán hàng###Selling Expenses	1853	16543	33041	-9796	19263	11093	12481	46696	12444	8704	11960	13587	37936	10424	6491	11112	9909	33637	4855	7861	12122	8799	20156	-2135	8548	7770	5985	34610	10003	9167	11484	3955	27012	8571	8341	5860	4240	24686	2523	6396	8975	6792	20364	3879	5393	6831	2067	25151	6671	8796	6831	2854	26686	6821	9076	6579	4211	24381	25948	19356
Chi phí quản lý doanh nghiệp###Managing Expenses	24718	15533	69044	17995	17110	16277	17662	71980	20033	17686	18324	15938	66983	18116	19096	15729	14043	55655	15792	14267	13098	10185	62218	19944	14894	15495	11636	55928	20175	13569	12510	9757	55343	19172	11634	13616	10737	40241	15081	12477	8130	9594	32095	6947	8959	7093	8281	27482	7262	6629	7093	6525	35456	12927	8598	9207	4725	19704	25051	13349
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	23723	9147	51154	25766	8152	14269	2967	12765	-7388	5367	8674	5885	34246	-1693	5765	14553	15621	80874	17010	18828	25903	21446	95939	15627	32629	34798	13123	87478	11540	28818	23906	23023	86906	18428	19633	24405	24401	61978	13837	20031	13376	12562	2237	5612	4853	2088	1293	15951	801	7075	2088	8775	116470	26730	49485	35962	4293	296	25177	8218
Thu nhập khác###Other incomes	241	63	653	169	55	264	165	2550	121	1974	132	322	9094	8569	50	378	97	2290	2091	26	126	47	619	175	127	107	208	852	173	142	410	127	714	181	112	253	169	1532	294	186	950	101	1116	302	667	321	225	1533	822	137	321	253	1041	623	104	177	138	1022	2273	1486
Chi phí khác###Other Expenses	32	3	97	29	5	34	29	62	0	25	14	22	99	31	27	34	7	323	262	24	8	31	990	28	653	302	8	174	29	7	15	15	335	83	24	190	37	130	104	92	663	11	331	156	140	89	25	138	50	0	89	0	215	152	51	1	11	176	1429	136
Lợi nhuận khác###Other profits	209	60	556	140	50	230	136	2488	121	1949	118	301	8995	8538	23	344	90	1967	1828	2	118	15	-372	148	-526	-194	200	678	144	136	395	112	379	97	88	62	132	1401	190	95	287	89	785	146	527	233	201	1395	772	137	233	253	826	471	53	176	126	845	844	1349
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	23932	9207	51711	25906	8202	14499	3104	15253	-7267	7316	8792	6186	43242	6845	5788	14898	15711	82841	18838	18831	26022	21461	95567	15775	32103	34603	13323	88157	11684	28954	24301	23135	87286	18525	19721	24467	24533	63379	14027	20125	13662	12652	3022	5758	5380	2321	1494	17346	1573	7212	2321	9029	117296	27200	49538	36138	4420	1141	26021	9567
Chi phí thuế TNDN###Corporate Income Tax Expenses	6173	1841	10342	5181	1640	2900	621	3051	-1453	1463	1758	1237	8998	1719	1158	2980	3142	16568	3768	3766	5204	4292	21124	3470	7063	7613	2931	19394	2571	6370	5346	5090	21821	4631	4930	0	0	15845	0	0	0	3163	755	543	0	-373	373	2863	197	901	290	1129	14827	3400	6235	4474	552	348	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	6173	1841	10342	5181	1640	2900	621	3051	-1453	1463	1758	1237	8998	1719	1158	2980	3142	16568	3768	3766	5204	4292	21124	3470	7063	7613	2931	19394	2571	6370	5346	5090	21821	4631	4930	6117	6133	15845	3507	5031	-3163	3163	755	948	0	290	373	2863	197	901	290	1129	14827	3400	6235	4474	552	348	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	17758	7365	41368	20725	6561	11599	2483	12203	-5814	5852	7033	4949	34243	5126	4631	11918	12569	66273	15070	15065	20817	17169	74443	12304	25041	26991	10392	68762	9114	22584	18955	18045	65464	13894	14791	18350	18400	47534	10520	15094	10247	9489	2266	4809	5380	2031	1120	14482	1377	6310	2031	7900	102469	23800	43302	31664	3867	794	26021	9567
---Cac Chi So Tai Chinh---																																																												
EBITDA	0.34	0.63	0.54	0.54	0.24	0.57	0.47	0.45	0.45	0.47	0.47	0.42	0.48	0.48	1.49	1.51	1.37	1.25	1.25	0.69	0.46	0.53	0.43	0.43	0.85	0.94	1.27	1.23	1.23	0.93	1.25	1.20	1.09	1.09	1.05	1.18	1.55	1.73	1.73	1.89	1.75	1.25	1.04	1.04	1.40	1.71	1.87	2.02	2.02	5.87	4.91	5.15	5.37	5.37	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.70	14.37	17.32	17.32	20.88	21.79	16.84	12.84	12.84	12.36	10.22	13.46	11.73	11.73	12.17	14.26	14.29	14.58	14.58	20.78	18.80	18.02	18.86	18.86	13.74	13.26	14.43	15.58	15.58	13.70	9.90	10.46	8.13	8.13	7.80	7.63	5.46	5.00	5.00	4.72	5.87	3.12	2.07	2.07	4.24	5.36	7.65	8.21	8.21	8.84	12.28	12.12	13.01	13.01	2.77	2.77	0.00	0.00	0.00	0.00
